Name,Age,#days,Lev,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,mlbID
CJ Abrams,21,562,Maj-NL,San Diego,43,134,121,15,28,5,0,2,11,4,0,25,5,2,2,4,1,2,0.231,0.28,0.322,0.603,682928
Jos\xc3\xa9 Abreu,35,558,Maj-AL,Chicago,95,416,363,53,109,26,0,11,47,46,1,64,5,0,2,8,0,0,0.3,0.385,0.463,0.847,547989
Ronald Acuna Jr.,24,558,Maj-NL,Atlanta,64,294,251,39,65,11,0,8,23,31,1,72,9,0,3,2,21,6,0.259,0.357,0.398,0.756,660670
Willy Adames,26,558,Maj-NL,Milwaukee,76,331,298,52,64,14,0,20,53,31,0,90,1,0,1,8,3,1,0.215,0.29,0.463,0.753,642715
Riley Adams,26,586,Maj-NL,Washington,27,88,78,8,15,1,0,3,5,9,0,26,1,0,0,1,0,1,0.192,0.284,0.321,0.605,656180
Jo Adell,23,558,Maj-AL,Los Angeles,34,122,115,6,27,5,0,3,13,5,0,42,2,0,0,4,3,1,0.235,0.279,0.357,0.635,666176
Ehire Adrianza,32,559,Maj-NL,Washington,28,87,77,5,15,2,0,0,7,8,0,21,1,0,1,1,1,0,0.195,0.276,0.221,0.497,501303
Jes\xc3\xbas Aguilar,32,559,Maj-NL,Miami,88,367,335,32,83,14,0,11,39,21,0,86,3,0,4,8,1,0,0.248,0.295,0.388,0.683,542583
Nick Ahmed,32,630,Maj-NL,Arizona,17,54,52,7,12,2,0,3,7,2,0,15,0,0,0,2,0,1,0.231,0.259,0.442,0.702,605113
Hanser Alberto,29,561,Maj-NL,Los Angeles,44,93,92,10,22,5,1,2,9,1,0,17,0,0,0,3,0,0,0.239,0.247,0.38,0.628,593643
Ozzie Albies,25,601,Maj-NL,Atlanta,62,263,242,34,59,15,0,8,33,15,0,46,2,0,4,0,3,5,0.244,0.289,0.405,0.694,645277
Sergio Alc\xc3\xa1ntara,25,558,Maj-NL,"Arizona,San Diego",57,127,118,12,22,3,1,3,15,5,0,34,0,2,2,3,0,2,0.186,0.216,0.305,0.521,642727
Jorge Alfaro,29,558,Maj-NL,San Diego,59,211,198,22,55,13,0,6,30,10,0,71,1,0,2,3,1,0,0.278,0.313,0.434,0.747,595751
Anthony Alford,27,652,Maj-NL,Pittsburgh,2,4,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0.25,0.25,0.25,0.5,546990
Austin Allen,28,645,Maj-AL,Oakland,5,16,14,1,1,0,0,0,0,1,0,9,1,0,0,1,0,0,0.071,0.188,0.071,0.259,664119
Greg Allen,29,558,Maj-NL,Pittsburgh,3,12,12,1,1,0,0,0,0,0,0,6,0,0,0,1,0,0,0.083,0.083,0.083,0.167,656185
Nick Allen,23,558,Maj-AL,Oakland,41,123,113,12,22,4,0,1,6,9,0,24,1,0,0,2,1,2,0.195,0.26,0.257,0.517,669397
Albert Almora,28,574,Maj-NL,Cincinnati,48,175,167,18,39,6,1,5,26,5,0,36,1,1,1,6,2,2,0.234,0.259,0.371,0.63,546991
Pete Alonso,27,558,Maj-NL,New York,96,411,357,54,100,18,0,25,83,36,7,82,10,0,8,10,2,1,0.28,0.355,0.541,0.896,624413
Jos\xc3\xa9 Altuve,32,558,Maj-AL,Houston,81,351,308,54,85,17,0,19,36,36,0,55,6,0,1,8,8,1,0.276,0.362,0.516,0.878,514888
Jos\xc3\xa9 Alvarado,27,597,Maj-NL,Philadelphia,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,621237
Eddy Alvarez,32,585,Maj-NL,Los Angeles,14,27,25,1,4,0,0,0,3,0,0,9,0,1,1,1,1,0,0.16,0.154,0.16,0.314,657193
Yordan \xc3\x81lvarez,25,558,Maj-AL,Houston,81,337,283,63,87,13,2,28,66,48,6,63,3,0,3,7,1,1,0.307,0.41,0.664,1.074,670541
Brian Anderson,29,561,Maj-NL,Miami,54,205,180,26,46,11,1,3,12,22,1,58,3,0,0,3,1,0,0.256,0.346,0.378,0.724,605119
Tim Anderson,29,558,Maj-AL,Chicago,69,308,289,47,89,12,0,6,24,14,1,43,5,0,0,8,12,0,0.308,0.351,0.412,0.762,641313
