Name,Age,#days,Lev,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,mlbID
CJ Abrams,21,644,Maj-NL,San Diego,16,53,44,8,8,2,0,1,3,3,0,10,3,2,1,3,1,1,0.182,0.275,0.296,0.57,682928
Jos\xc3\xa9 Abreu,35,644,Maj-AL,Chicago,20,83,73,10,16,3,0,2,7,9,0,17,1,0,0,1,0,0,0.219,0.313,0.343,0.656,547989
Ronald Acuna Jr.,24,644,Maj-NL,Atlanta,3,14,13,0,2,0,0,0,1,1,0,6,0,0,0,0,2,0,0.154,0.214,0.154,0.368,660670
Willy Adames,26,644,Maj-NL,Milwaukee,23,99,87,15,20,5,0,5,14,12,0,28,0,0,0,3,1,1,0.23,0.323,0.46,0.783,642715
Riley Adams,26,645,Maj-NL,Washington,8,26,24,1,3,0,0,1,2,1,0,10,1,0,0,0,0,0,0.125,0.192,0.25,0.442,656180
Jo Adell,23,644,Maj-AL,Los Angeles,18,63,62,4,14,3,0,3,8,1,0,22,0,0,0,2,1,1,0.226,0.238,0.419,0.658,666176
Jes\xc3\xbas Aguilar,32,645,Maj-NL,Miami,19,82,65,5,15,0,0,1,6,14,0,20,0,0,3,2,0,0,0.231,0.354,0.277,0.631,542583
Nick Ahmed,32,644,Maj-NL,Arizona,7,23,23,4,8,2,0,3,4,0,0,6,0,0,0,0,0,0,0.348,0.348,0.826,1.174,605113
Hanser Alberto,29,644,Maj-NL,Los Angeles,8,18,18,1,5,0,0,0,2,0,0,1,0,0,0,0,0,0,0.278,0.278,0.278,0.556,593643
Ozzie Albies,25,644,Maj-NL,Atlanta,23,102,88,10,18,4,0,6,11,10,0,19,2,0,2,0,2,1,0.205,0.294,0.455,0.749,645277
Sergio Alc\xc3\xa1ntara,25,645,Maj-NL,Arizona,20,45,42,5,6,2,0,1,5,1,0,11,0,1,1,3,0,0,0.143,0.159,0.262,0.421,642727
Jorge Alfaro,29,645,Maj-NL,San Diego,11,40,35,3,8,2,0,1,4,2,0,20,1,0,2,0,1,0,0.229,0.275,0.371,0.646,595751
