Name,Age,#days,Lev,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,mlbID
CJ Abrams,21,586,Maj-NL,San Diego,28,94,83,12,16,3,0,1,6,4,0,18,4,2,1,3,1,1,0.193,0.261,0.265,0.526,682928
Jos\xc3\xa9 Abreu,35,586,Maj-AL,Chicago,71,313,271,41,74,19,0,9,35,38,0,48,3,0,1,7,0,0,0.273,0.367,0.443,0.81,547989
Ronald Acuna Jr.,24,589,Maj-NL,Atlanta,43,196,167,28,47,8,0,7,18,20,1,51,6,0,3,1,13,4,0.281,0.372,0.455,0.828,660670
Willy Adames,26,586,Maj-NL,Milwaukee,54,228,207,36,45,10,0,15,39,20,0,62,1,0,0,8,1,1,0.217,0.29,0.483,0.773,642715
Riley Adams,26,586,Maj-NL,Washington,27,88,78,8,15,1,0,3,5,9,0,26,1,0,0,1,0,1,0.192,0.284,0.321,0.605,656180
Jo Adell,23,604,Maj-AL,Los Angeles,25,87,84,5,21,5,0,3,10,3,0,30,0,0,0,4,1,1,0.25,0.276,0.417,0.693,666176
Ehire Adrianza,32,586,Maj-NL,Washington,12,34,32,1,5,1,0,0,1,2,0,9,0,0,0,1,0,0,0.156,0.206,0.188,0.393,501303
Jes\xc3\xbas Aguilar,32,586,Maj-NL,Miami,65,271,246,24,62,12,0,9,31,18,0,64,1,0,4,7,0,0,0.252,0.301,0.411,0.712,542583
Nick Ahmed,32,630,Maj-NL,Arizona,17,54,52,7,12,2,0,3,7,2,0,15,0,0,0,2,0,1,0.231,0.259,0.442,0.702,605113
Hanser Alberto,29,586,Maj-NL,Los Angeles,36,74,73,8,17,3,0,2,5,1,0,13,0,0,0,3,0,0,0.233,0.243,0.356,0.599,593643
Ozzie Albies,25,601,Maj-NL,Atlanta,62,263,242,34,59,15,0,8,33,15,0,46,2,0,4,0,3,5,0.244,0.289,0.405,0.694,645277
