Name,Age,#days,Lev,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,mlbID
CJ Abrams,21,491,Maj-NL,"San Diego,Washington",87,294,276,33,68,11,2,2,21,5,0,48,9,2,2,5,6,4,0.246,0.281,0.323,0.603,682928
Jos\xc3\xa9 Abreu,35,492,Maj-AL,Chicago,154,667,592,84,180,38,0,15,75,60,2,109,11,0,4,19,0,0,0.304,0.376,0.444,0.821,547989
Ronald Acuna Jr.,24,491,Maj-NL,Atlanta,116,520,457,70,123,24,0,15,49,50,3,122,10,0,3,8,28,11,0.269,0.352,0.42,0.772,660670
Willy Adames,26,491,Maj-NL,Milwaukee,136,602,548,83,130,31,0,31,96,49,3,163,1,0,4,11,8,2,0.237,0.299,0.464,0.763,642715
Riley Adams,26,491,Maj-NL,Washington,46,150,137,13,24,4,0,4,8,12,0,42,1,0,0,2,0,1,0.175,0.247,0.292,0.539,656180
Jo Adell,23,491,Maj-AL,Los Angeles,84,270,254,21,57,12,1,8,24,11,0,101,3,0,1,6,4,2,0.224,0.264,0.374,0.638,666176
Ehire Adrianza,32,509,Maj-NL,"Atlanta,Washington",36,105,92,8,16,3,0,0,7,11,0,24,1,0,1,2,1,0,0.174,0.267,0.207,0.473,501303
Jes\xc3\xbas Aguilar,32,492,"Maj-AL,Maj-NL","Baltimore,Miami",128,503,460,38,107,18,0,16,51,28,1,119,4,0,5,8,1,0,0.233,0.28,0.376,0.656,542583
Ryan Aguilar,27,517,Maj-AL,Los Angeles,7,26,22,2,3,1,0,0,2,2,0,14,1,0,1,0,0,0,0.136,0.231,0.182,0.413,666922
Nick Ahmed,32,630,Maj-NL,Arizona,17,54,52,7,12,2,0,3,7,2,0,15,0,0,0,2,0,1,0.231,0.259,0.442,0.702,605113
Hanser Alberto,29,491,Maj-NL,Los Angeles,70,157,154,13,36,9,2,2,15,3,0,25,0,0,0,7,0,1,0.234,0.248,0.357,0.606,593643
Ozzie Albies,25,505,Maj-NL,Atlanta,64,269,247,36,61,16,0,8,35,16,0,47,2,0,4,0,3,5,0.247,0.294,0.409,0.703,645277
Sergio Alc\xc3\xa1ntara,25,491,Maj-NL,"Arizona,San Diego",89,209,192,25,43,8,1,5,26,11,0,54,1,2,3,4,1,2,0.224,0.266,0.354,0.62,642727
Jorge Alfaro,29,495,Maj-NL,San Diego,79,271,253,25,63,14,0,7,40,11,0,97,4,0,3,5,1,0,0.249,0.288,0.387,0.675,595751
