Name,Age,#days,Lev,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,mlbID
CJ Abrams,21,637,Maj-NL,San Diego,20,65,55,9,10,2,0,1,4,4,0,14,3,2,1,3,1,1,0.182,0.27,0.273,0.543,682928
Jos\xc3\xa9 Abreu,35,609,Maj-AL,Chicago,50,216,188,25,48,11,0,7,23,24,0,35,3,0,1,4,0,0,0.255,0.347,0.426,0.773,547989
Ronald Acuna Jr.,24,609,Maj-NL,Atlanta,26,120,99,18,31,7,0,3,13,14,1,36,4,0,3,1,10,1,0.313,0.408,0.475,0.883,660670
Willy Adames,26,630,Maj-NL,Milwaukee,35,148,130,23,27,6,0,9,24,17,0,42,1,0,0,4,1,1,0.208,0.304,0.462,0.766,642715
Riley Adams,26,611,Maj-NL,Washington,20,64,58,7,12,0,0,3,5,5,0,19,1,0,0,0,0,0,0.207,0.281,0.362,0.643,656180
Jo Adell,23,608,Maj-AL,Los Angeles,21,73,72,4,15,3,0,3,9,1,0,27,0,0,0,3,1,1,0.208,0.219,0.375,0.594,666176
Jes\xc3\xbas Aguilar,32,609,Maj-NL,Miami,49,203,181,16,46,9,0,6,22,18,0,50,0,0,4,4,0,0,0.254,0.315,0.403,0.719,542583
Nick Ahmed,32,630,Maj-NL,Arizona,17,54,52,7,12,2,0,3,7,2,0,15,0,0,0,2,0,1,0.231,0.259,0.442,0.702,605113
Hanser Alberto,29,610,Maj-NL,Los Angeles,28,59,58,7,14,3,0,1,4,1,0,7,0,0,0,3,0,0,0.241,0.254,0.345,0.599,593643
Ozzie Albies,25,609,Maj-NL,Atlanta,55,237,219,31,54,13,0,6,24,13,0,40,2,0,3,0,3,5,0.247,0.291,0.388,0.679,645277
Sergio Alc\xc3\xa1ntara,25,610,Maj-NL,"Arizona,San Diego",32,71,64,8,10,2,1,1,8,3,0,17,0,2,2,3,0,1,0.156,0.188,0.266,0.454,642727
Jorge Alfaro,29,608,Maj-NL,San Diego,28,96,88,11,23,5,0,3,12,5,0,39,1,0,2,1,1,0,0.261,0.302,0.421,0.723,595751
Anthony Alford,27,652,Maj-NL,Pittsburgh,2,4,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0.25,0.25,0.25,0.5,546990
Austin Allen,28,645,Maj-AL,Oakland,5,16,14,1,1,0,0,0,0,1,0,9,1,0,0,1,0,0,0.071,0.188,0.071,0.259,664119
Nick Allen,23,624,Maj-AL,Oakland,10,26,23,2,4,2,0,0,0,2,0,7,1,0,0,0,1,0,0.174,0.269,0.261,0.53,669397
Albert Almora,28,608,Maj-NL,Cincinnati,21,75,72,9,22,3,0,2,13,2,0,12,0,1,0,4,2,1,0.306,0.324,0.431,0.755,546991
Pete Alonso,27,608,Maj-NL,New York,57,250,216,38,61,9,0,16,54,23,6,54,6,0,5,4,1,0,0.282,0.36,0.546,0.906,624413
Jos\xc3\xa9 Altuve,32,608,Maj-AL,Houston,40,175,157,26,44,7,0,11,19,16,0,25,2,0,0,6,3,1,0.28,0.354,0.535,0.889,514888
Eddy Alvarez,32,609,Maj-NL,Los Angeles,2,5,5,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0.4,0.4,0.4,0.8,657193
Yordan \xc3\x81lvarez,25,608,Maj-AL,Houston,49,207,177,35,51,5,2,16,34,27,2,33,2,0,1,4,0,0,0.288,0.387,0.61,0.997,670541
Brian Anderson,29,618,Maj-NL,Miami,32,123,105,21,28,9,0,2,6,16,1,34,2,0,0,0,1,0,0.267,0.374,0.41,0.784,605119
Tim Anderson,29,616,Maj-AL,Chicago,40,173,163,24,58,9,0,5,19,6,1,20,4,0,0,4,8,0,0.356,0.393,0.503,0.896,641313
Elvis Andrus,33,609,Maj-AL,Oakland,51,184,168,20,41,14,0,3,11,15,0,27,1,0,0,6,3,0,0.244,0.31,0.381,0.691,462101
Miguel And\xc3\xbajar,27,611,Maj-AL,New York,12,43,41,4,11,2,0,0,3,1,0,7,0,0,1,0,3,0,0.268,0.279,0.317,0.596,609280
