Name,Age,#days,Lev,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,mlbID
CJ Abrams,21,658,Maj-NL,San Diego,9,31,26,4,3,0,0,1,1,3,0,6,1,1,0,1,1,1,0.115,0.233,0.231,0.464,682928
Jos\xc3\xa9 Abreu,35,658,Maj-AL,Chicago,9,37,33,8,7,2,0,1,4,4,0,10,0,0,0,0,0,0,0.212,0.297,0.364,0.661,547989
Willy Adames,26,657,Maj-NL,Milwaukee,11,47,40,7,8,2,0,1,3,7,0,13,0,0,0,3,0,1,0.2,0.319,0.325,0.644,642715
Riley Adams,26,658,Maj-NL,Washington,3,10,8,0,1,0,0,0,1,1,0,4,1,0,0,0,0,0,0.125,0.3,0.125,0.425,656180
Jo Adell,23,657,Maj-AL,Los Angeles,10,35,34,3,6,2,0,2,3,1,0,17,0,0,0,0,0,0,0.177,0.2,0.412,0.612,666176
Jes\xc3\xbas Aguilar,32,658,Maj-NL,Miami,8,34,28,1,5,0,0,0,3,4,0,8,0,0,2,1,0,0,0.179,0.265,0.179,0.443,542583
Hanser Alberto,29,658,Maj-NL,Los Angeles,3,5,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,593643
Ozzie Albies,25,657,Maj-NL,Atlanta,12,54,47,7,10,2,0,5,9,5,0,12,1,0,1,0,0,1,0.213,0.296,0.575,0.871,645277
Sergio Alc\xc3\xa1ntara,25,659,Maj-NL,Arizona,8,14,14,2,2,1,0,1,3,0,0,4,0,0,0,0,0,0,0.143,0.143,0.429,0.572,642727
Jorge Alfaro,29,657,Maj-NL,San Diego,5,19,19,1,5,1,0,1,1,0,0,10,0,0,0,0,0,0,0.263,0.263,0.474,0.737,595751
Austin Allen,28,661,Maj-AL,Oakland,2,8,6,1,1,0,0,0,0,1,0,4,1,0,0,0,0,0,0.167,0.375,0.167,0.542,664119
Pete Alonso,27,658,Maj-NL,New York,10,45,39,7,9,3,0,3,14,1,0,9,3,0,2,2,0,0,0.231,0.289,0.539,0.827,624413
Jos\xc3\xa9 Altuve,32,657,Maj-AL,Houston,9,41,36,2,6,0,0,1,3,5,0,10,0,0,0,3,2,0,0.167,0.268,0.25,0.518,514888
Yordan \xc3\x81lvarez,25,657,Maj-AL,Houston,5,22,19,5,5,1,0,3,6,3,1,2,0,0,0,0,0,0,0.263,0.364,0.79,1.153,670541
Brian Anderson,29,658,Maj-NL,Miami,7,25,21,4,6,2,0,0,0,3,0,10,1,0,0,0,0,0,0.286,0.4,0.381,0.781,605119
