Name,Age,#days,Lev,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,mlbID
CJ Abrams,21,647,Maj-NL,San Diego,14,48,41,7,6,1,0,1,2,3,0,10,3,1,0,3,1,1,0.146,0.255,0.244,0.499,682928
Jos\xc3\xa9 Abreu,35,647,Maj-AL,Chicago,17,70,63,9,13,3,0,2,6,7,0,16,0,0,0,0,0,0,0.206,0.286,0.349,0.635,547989
Ronald Acuna Jr.,24,647,Maj-NL,Atlanta,1,5,5,0,1,0,0,0,0,0,0,2,0,0,0,0,2,0,0.2,0.2,0.2,0.4,660670
Willy Adames,26,647,Maj-NL,Milwaukee,20,85,75,12,16,3,0,4,12,10,0,25,0,0,0,3,1,1,0.213,0.306,0.413,0.719,642715
Riley Adams,26,647,Maj-NL,Washington,7,22,20,1,2,0,0,1,2,1,0,8,1,0,0,0,0,0,0.1,0.182,0.25,0.432,656180
Jo Adell,23,647,Maj-AL,Los Angeles,17,58,57,4,14,3,0,3,8,1,0,21,0,0,0,1,1,1,0.246,0.259,0.456,0.715,666176
Jes\xc3\xbas Aguilar,32,647,Maj-NL,Miami,17,74,59,3,12,0,0,1,5,12,0,19,0,0,3,2,0,0,0.203,0.324,0.254,0.579,542583
Nick Ahmed,32,647,Maj-NL,Arizona,5,16,16,2,5,2,0,1,2,0,0,3,0,0,0,0,0,0,0.313,0.313,0.625,0.938,605113
Hanser Alberto,29,649,Maj-NL,Los Angeles,7,15,15,0,4,0,0,0,2,0,0,1,0,0,0,0,0,0,0.267,0.267,0.267,0.533,593643
Ozzie Albies,25,647,Maj-NL,Atlanta,20,90,79,10,18,4,0,6,11,7,0,18,2,0,2,0,1,1,0.228,0.3,0.506,0.806,645277
Sergio Alc\xc3\xa1ntara,25,648,Maj-NL,Arizona,18,38,35,5,4,1,0,1,4,1,0,10,0,1,1,1,0,0,0.114,0.135,0.229,0.364,642727
Jorge Alfaro,29,647,Maj-NL,San Diego,10,36,31,2,7,2,0,1,4,2,0,19,1,0,2,0,1,0,0.226,0.278,0.387,0.665,595751
Anthony Alford,27,652,Maj-NL,Pittsburgh,2,4,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0.25,0.25,0.25,0.5,546990
Austin Allen,28,651,Maj-AL,Oakland,4,13,11,1,1,0,0,0,0,1,0,7,1,0,0,0,0,0,0.091,0.231,0.091,0.322,664119
Nick Allen,23,649,Maj-AL,Oakland,6,17,15,2,2,2,0,0,0,2,0,4,0,0,0,0,0,0,0.133,0.235,0.267,0.502,669397
Pete Alonso,27,648,Maj-NL,New York,20,86,77,10,20,3,0,3,16,3,0,18,4,0,2,2,0,0,0.26,0.314,0.416,0.73,624413
Jos\xc3\xa9 Altuve,32,657,Maj-AL,Houston,9,41,36,2,6,0,0,1,3,5,0,10,0,0,0,3,2,0,0.167,0.268,0.25,0.518,514888
Yordan \xc3\x81lvarez,25,647,Maj-AL,Houston,14,58,51,8,12,2,0,4,8,7,1,8,0,0,0,0,0,0,0.235,0.328,0.51,0.837,670541
Brian Anderson,29,647,Maj-NL,Miami,14,50,40,7,10,4,0,0,1,9,0,16,1,0,0,0,1,0,0.25,0.4,0.35,0.75,605119
Tim Anderson,29,647,Maj-AL,Chicago,15,61,59,8,17,4,0,2,6,1,0,10,1,0,0,0,3,0,0.288,0.312,0.458,0.769,641313
Elvis Andrus,33,648,Maj-AL,Oakland,18,69,61,8,12,4,0,1,3,8,0,14,0,0,0,3,1,0,0.197,0.29,0.312,0.601,462101
Aristides Aquino,28,647,Maj-NL,Cincinnati,14,43,41,3,2,0,0,1,2,2,0,23,0,0,0,0,0,0,0.049,0.093,0.122,0.215,606157
Jonathan Ara\xc3\xbaz,23,658,Maj-AL,Boston,5,9,7,1,0,0,0,0,1,0,0,2,0,1,1,0,0,0,0.0,0.0,0.0,0.0,660620
Orlando Arcia,27,651,Maj-NL,Atlanta,9,32,26,1,7,2,0,0,5,5,0,7,0,0,1,1,0,0,0.269,0.375,0.346,0.721,606115
Nolan Arenado,31,647,Maj-NL,St. Louis,18,77,68,11,26,6,0,5,17,9,1,13,0,0,0,0,0,0,0.382,0.455,0.691,1.146,571448
Gabriel Arias,22,655,Maj-AL,Cleveland,2,8,8,2,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0.125,0.125,0.125,0.25,672356
Randy Arozarena,27,647,Maj-AL,Tampa Bay,18,73,70,9,14,6,0,0,4,2,0,20,1,0,0,4,2,0,0.2,0.233,0.286,0.519,668227
Luis Arr\xc3\xa1ez,25,647,Maj-AL,Minnesota,18,64,57,6,19,2,0,1,7,7,1,4,0,0,0,0,0,1,0.333,0.406,0.421,0.827,650333
Christian Arroyo,27,647,Maj-AL,Boston,13,38,36,2,7,0,0,0,2,0,0,8,0,1,1,1,1,0,0.194,0.189,0.194,0.384,624414
Jos\xc3\xa9 Azocar,26,647,Maj-NL,San Diego,17,17,13,0,3,1,0,0,2,4,0,8,0,0,0,0,2,2,0.231,0.412,0.308,0.72,640492
Akil Baddoo,23,648,Maj-AL,Detroit,12,39,36,4,4,1,0,1,2,3,0,11,0,0,0,1,0,0,0.111,0.18,0.222,0.402,668731
Harrison Bader,28,647,Maj-NL,St. Louis,18,63,56,9,14,4,0,0,2,5,0,13,2,0,0,0,5,0,0.25,0.333,0.321,0.655,664056
