Name,Age,#days,Lev,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,mlbID
CJ Abrams,21,637,Maj-NL,San Diego,20,65,55,9,10,2,0,1,4,4,0,14,3,2,1,3,1,1,0.182,0.27,0.273,0.543,682928
Jos\xc3\xa9 Abreu,35,619,Maj-AL,Chicago,42,180,157,22,37,11,0,5,19,20,0,31,2,0,1,4,0,0,0.236,0.328,0.401,0.729,547989
Ronald Acuna Jr.,24,618,Maj-NL,Atlanta,18,81,66,11,20,5,0,2,9,11,1,27,2,0,2,0,8,0,0.303,0.407,0.47,0.877,660670
Willy Adames,26,630,Maj-NL,Milwaukee,35,148,130,23,27,6,0,9,24,17,0,42,1,0,0,4,1,1,0.208,0.304,0.462,0.766,642715
Riley Adams,26,620,Maj-NL,Washington,16,48,45,4,9,0,0,2,3,2,0,16,1,0,0,0,0,0,0.2,0.25,0.333,0.583,656180
Jo Adell,23,643,Maj-AL,Los Angeles,19,66,65,4,14,3,0,3,8,1,0,24,0,0,0,2,1,1,0.215,0.227,0.4,0.627,666176
Jes\xc3\xbas Aguilar,32,618,Maj-NL,Miami,41,172,154,13,41,6,0,6,20,14,0,43,0,0,4,3,0,0,0.266,0.32,0.422,0.742,542583
Nick Ahmed,32,630,Maj-NL,Arizona,17,54,52,7,12,2,0,3,7,2,0,15,0,0,0,2,0,1,0.231,0.259,0.442,0.702,605113
Hanser Alberto,29,618,Maj-NL,Los Angeles,22,48,47,5,11,3,0,0,3,1,0,5,0,0,0,2,0,0,0.234,0.25,0.298,0.548,593643
Ozzie Albies,25,618,Maj-NL,Atlanta,46,200,183,26,45,9,0,6,22,12,0,34,2,0,3,0,3,5,0.246,0.295,0.393,0.688,645277
Sergio Alc\xc3\xa1ntara,25,623,Maj-NL,"Arizona,San Diego",27,58,54,7,10,2,1,1,7,1,0,13,0,2,1,3,0,0,0.185,0.196,0.315,0.511,642727
Jorge Alfaro,29,618,Maj-NL,San Diego,23,76,70,6,17,3,0,2,10,3,0,32,1,0,2,1,1,0,0.243,0.276,0.371,0.648,595751
Anthony Alford,27,652,Maj-NL,Pittsburgh,2,4,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0.25,0.25,0.25,0.5,546990
Austin Allen,28,645,Maj-AL,Oakland,5,16,14,1,1,0,0,0,0,1,0,9,1,0,0,1,0,0,0.071,0.188,0.071,0.259,664119
Nick Allen,23,624,Maj-AL,Oakland,10,26,23,2,4,2,0,0,0,2,0,7,1,0,0,0,1,0,0.174,0.269,0.261,0.53,669397
Albert Almora,28,618,Maj-NL,Cincinnati,12,41,39,7,13,3,0,0,5,1,0,7,0,1,0,3,1,0,0.333,0.35,0.41,0.76,546991
Pete Alonso,27,618,Maj-NL,New York,47,204,180,27,51,8,0,12,45,15,3,44,5,0,4,4,1,0,0.283,0.348,0.528,0.876,624413
Jos\xc3\xa9 Altuve,32,618,Maj-AL,Houston,31,135,123,22,35,6,0,9,14,11,0,22,1,0,0,6,2,1,0.285,0.348,0.553,0.901,514888
Yordan \xc3\x81lvarez,25,618,Maj-AL,Houston,40,167,142,27,36,4,1,12,25,24,2,31,0,0,1,3,0,0,0.254,0.359,0.549,0.909,670541
Brian Anderson,29,618,Maj-NL,Miami,32,123,105,21,28,9,0,2,6,16,1,34,2,0,0,0,1,0,0.267,0.374,0.41,0.784,605119
Tim Anderson,29,619,Maj-AL,Chicago,38,167,157,24,57,9,0,5,19,6,1,19,4,0,0,3,7,0,0.363,0.401,0.516,0.917,641313
Elvis Andrus,33,618,Maj-AL,Oakland,43,153,138,16,32,8,0,3,7,14,0,25,1,0,0,5,2,0,0.232,0.307,0.355,0.662,462101
Miguel And\xc3\xbajar,27,618,Maj-AL,New York,6,21,21,1,6,1,0,0,2,0,0,3,0,0,0,0,1,0,0.286,0.286,0.333,0.619,609280
Aristides Aquino,28,618,Maj-NL,Cincinnati,21,60,58,6,7,2,0,3,7,2,0,28,0,0,0,0,1,0,0.121,0.15,0.31,0.46,606157
Jonathan Ara\xc3\xbaz,23,658,Maj-AL,Boston,5,9,7,1,0,0,0,0,1,0,0,2,0,1,1,0,0,0,0.0,0.0,0.0,0.0,660620
Orlando Arcia,27,619,Maj-NL,Atlanta,15,51,44,4,14,4,0,1,8,6,0,13,0,0,1,2,0,0,0.318,0.392,0.477,0.87,606115
Nolan Arenado,31,618,Maj-NL,St. Louis,44,183,162,20,45,13,0,9,32,19,1,26,0,0,2,2,0,1,0.278,0.35,0.525,0.874,571448
Gabriel Arias,22,655,Maj-AL,Cleveland,2,8,8,2,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0.125,0.125,0.125,0.25,672356
Randy Arozarena,27,618,Maj-AL,Tampa Bay,44,183,170,21,44,12,1,4,18,11,2,48,1,0,1,6,7,4,0.259,0.306,0.412,0.718,668227
Luis Arr\xc3\xa1ez,25,618,Maj-AL,Minnesota,38,149,126,20,44,5,0,1,12,22,1,11,1,0,0,1,2,1,0.349,0.45,0.413,0.862,650333
Christian Arroyo,27,618,Maj-AL,Boston,24,68,63,6,12,1,0,2,6,2,0,14,1,1,1,1,1,0,0.191,0.224,0.302,0.526,624414
Willians Astudillo,30,620,Maj-NL,Miami,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,553902
Jos\xc3\xa9 Azocar,26,618,Maj-NL,San Diego,31,54,48,2,11,1,0,0,5,5,0,16,0,0,1,0,2,4,0.229,0.296,0.25,0.546,640492
Akil Baddoo,23,637,Maj-AL,Detroit,17,55,50,5,7,1,0,1,2,5,0,15,0,0,0,1,1,1,0.14,0.218,0.22,0.438,668731
Harrison Bader,28,618,Maj-NL,St. Louis,43,157,145,22,37,5,0,4,15,9,0,23,2,0,1,3,13,0,0.255,0.306,0.372,0.678,664056
Javier B\xc3\xa1ez,29,619,Maj-AL,Detroit,35,145,137,10,28,7,0,3,13,6,0,38,2,0,0,4,0,0,0.204,0.248,0.321,0.57,595879
Rylan Bannon,26,629,Maj-AL,Baltimore,4,15,14,0,2,0,0,0,0,0,0,5,1,0,0,0,0,0,0.143,0.2,0.143,0.343,676625
Austin Barnes,32,619,Maj-NL,Los Angeles,19,57,51,11,12,2,0,4,9,5,0,10,1,0,0,3,0,0,0.235,0.316,0.51,0.826,605131
Tucker Barnhart,31,619,Maj-AL,Detroit,31,100,95,4,23,3,0,0,4,5,0,31,0,0,0,2,0,0,0.242,0.28,0.274,0.554,571466
Luis Barrera,26,618,Maj-AL,Oakland,18,52,47,3,14,4,0,1,7,4,0,10,0,0,1,2,3,0,0.298,0.346,0.447,0.793,642456
Joey Bart,25,618,Maj-NL,San Francisco,30,95,79,11,13,1,0,4,7,13,0,43,3,0,0,2,1,1,0.165,0.305,0.329,0.634,663698
Anthony Bass,34,627,Maj-NL,Miami,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,542914
Matt Beaty,29,638,Maj-NL,San Diego,16,40,37,6,4,1,1,0,1,2,0,6,1,0,0,3,0,0,0.108,0.175,0.189,0.364,607461
Seth Beer,25,631,Maj-NL,Arizona,27,93,81,4,17,3,0,1,9,8,1,24,3,0,1,3,0,0,0.21,0.301,0.284,0.585,666179
Josh Bell,29,619,Maj-NL,Washington,45,188,162,24,48,8,0,4,25,19,1,21,3,0,2,12,0,1,0.296,0.376,0.42,0.796,605137
Cody Bellinger,26,618,Maj-NL,Los Angeles,43,175,160,20,36,11,2,5,18,14,0,52,1,0,0,2,6,1,0.225,0.291,0.413,0.704,641355
Brandon Belt,34,627,Maj-NL,San Francisco,26,120,101,14,23,2,1,4,11,16,0,32,2,0,1,6,1,0,0.228,0.342,0.386,0.728,474832
Anthony Bemboom,32,625,Maj-AL,Baltimore,22,59,52,4,6,2,0,1,1,6,0,17,0,1,0,1,0,0,0.115,0.207,0.212,0.418,621532
Andrew Benintendi,27,618,Maj-AL,Kansas City,44,182,159,13,51,5,2,2,18,20,0,25,1,0,2,3,0,0,0.321,0.396,0.415,0.811,643217
Jon Berti,32,618,Maj-NL,Miami,18,54,44,11,13,2,1,2,4,9,0,11,1,0,0,1,3,1,0.296,0.426,0.523,0.949,542932
Christian Bethancourt,30,618,Maj-AL,Oakland,31,93,85,12,19,6,0,0,8,6,0,19,1,1,0,3,3,0,0.224,0.283,0.294,0.577,542194
Mookie Betts,29,618,Maj-NL,Los Angeles,43,199,172,48,51,11,0,13,31,24,0,33,2,0,1,3,3,1,0.297,0.387,0.587,0.974,605141
Bo Bichette,24,618,Maj-AL,Toronto,45,196,187,20,46,11,0,6,23,9,0,49,0,0,0,3,4,3,0.246,0.281,0.401,0.682,666182
Cavan Biggio,27,618,Maj-AL,Toronto,15,34,28,2,2,0,0,0,0,4,0,13,2,0,0,1,1,0,0.071,0.235,0.071,0.307,624415
Charlie Blackmon,35,619,Maj-NL,Colorado,38,167,149,21,33,7,1,6,18,13,0,24,1,4,0,3,1,1,0.222,0.288,0.403,0.691,453568
Dairon Blanco,29,619,Maj-AL,Kansas City,4,7,7,1,2,0,0,0,2,0,0,4,0,0,0,0,0,0,0.286,0.286,0.286,0.571,680118
Xander Bogaerts,29,618,Maj-AL,Boston,44,190,167,29,54,9,0,5,20,18,1,39,3,0,2,5,2,0,0.323,0.395,0.467,0.862,593428
Alec Bohm,25,618,Maj-NL,Philadelphia,44,171,155,23,45,6,1,3,17,10,0,39,1,0,5,5,1,1,0.29,0.328,0.4,0.728,664761
Bobby Bradley,26,648,Maj-AL,Cleveland,8,17,17,1,2,0,0,0,0,0,0,9,0,0,0,0,0,0,0.118,0.118,0.118,0.235,656252
Jackie Bradley Jr.,32,618,Maj-AL,Boston,42,145,132,7,29,13,0,1,15,11,0,31,0,2,0,0,1,2,0.22,0.28,0.341,0.621,598265
Michael Brantley,35,618,Maj-AL,Houston,40,173,150,16,42,8,1,3,16,20,1,18,1,1,1,0,0,1,0.28,0.366,0.407,0.773,488726
Rob Brantly,32,623,Maj-AL,New York,1,3,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.333,0.333,0.667,1.0,542963
Alex Bregman,28,618,Maj-AL,Houston,45,187,156,22,36,11,0,6,26,26,0,29,2,0,3,4,0,0,0.231,0.342,0.417,0.759,608324
Mike Brosseau,28,618,Maj-NL,Milwaukee,26,60,53,5,16,1,0,3,9,7,0,14,0,0,0,0,1,0,0.302,0.383,0.491,0.874,670712
Seth Brown,29,618,Maj-AL,Oakland,44,146,133,14,27,8,2,5,23,11,1,40,1,0,1,3,4,0,0.203,0.267,0.406,0.673,664913
Vidal Bruj\xc3\xa1n,24,618,Maj-AL,Tampa Bay,15,49,46,4,6,2,0,0,1,3,0,8,0,0,0,1,1,2,0.13,0.184,0.174,0.358,660644
Kris Bryant,30,623,Maj-NL,Colorado,17,73,63,11,17,4,0,0,4,7,0,15,1,0,2,1,0,0,0.27,0.343,0.333,0.676,592178
Jake Burger,26,619,Maj-AL,Chicago,24,86,79,7,18,2,0,3,11,5,0,30,0,1,1,3,0,0,0.228,0.271,0.367,0.638,669394
Byron Buxton,28,619,Maj-AL,Minnesota,31,133,119,24,24,5,0,11,21,10,0,36,3,0,1,0,1,0,0.202,0.278,0.521,0.799,621439
Miguel Cabrera,39,619,Maj-AL,Detroit,39,153,140,12,42,6,0,3,18,10,2,42,1,0,2,4,0,0,0.3,0.346,0.407,0.754,408234
Lorenzo Cain,36,619,Maj-NL,Milwaukee,31,114,104,13,19,4,0,0,4,7,0,28,2,0,1,4,2,2,0.183,0.246,0.221,0.467,456715
Kole Calhoun,34,618,Maj-AL,Texas,42,140,129,18,34,4,1,7,16,8,0,37,2,0,1,2,1,1,0.264,0.314,0.473,0.787,594777
Willie Calhoun,27,646,Maj-AL,Texas,18,53,44,7,6,3,0,1,2,8,0,6,1,0,0,1,0,0,0.136,0.283,0.273,0.556,641432
Johan Camargo,28,618,Maj-NL,Philadelphia,36,114,104,7,27,3,0,3,11,9,0,24,0,1,0,1,0,0,0.26,0.319,0.375,0.694,622666
Daz Cameron,25,619,Maj-AL,Detroit,8,25,23,1,4,0,0,0,2,2,0,7,0,0,0,1,1,0,0.174,0.24,0.174,0.414,663662
Luis Campusano,23,645,Maj-NL,San Diego,4,13,12,1,1,0,0,0,1,0,0,2,0,0,1,1,0,0,0.083,0.077,0.083,0.16,669134
Jeimer Candelario,28,619,Maj-AL,Detroit,42,162,150,15,28,6,1,4,14,10,0,39,2,0,0,5,0,0,0.187,0.247,0.32,0.567,600869
Mark Canha,33,618,Maj-NL,New York,35,139,123,19,36,1,0,4,17,11,0,28,4,0,1,0,0,1,0.293,0.367,0.398,0.765,592192
Robinson Can\xc3\xb3,39,618,Maj-NL,"New York,San Diego",20,68,65,4,11,0,0,1,4,3,0,17,0,0,0,0,0,0,0.169,0.206,0.215,0.421,429664
Vinny Capra,25,621,Maj-AL,Toronto,8,7,5,2,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0.2,0.429,0.2,0.629,681962
V\xc3\xadctor Caratini,28,621,Maj-NL,Milwaukee,18,59,51,3,9,1,0,1,4,6,0,14,1,0,1,2,0,0,0.177,0.271,0.255,0.526,605170
Dylan Carlson,23,624,Maj-NL,St. Louis,39,158,146,15,36,9,1,2,11,8,0,23,2,0,2,3,1,0,0.247,0.291,0.363,0.654,666185
Matt Carpenter,36,618,Maj-AL,New York,2,8,5,3,1,0,0,1,1,2,0,2,1,0,0,0,0,0,0.2,0.5,0.8,1.3,572761
Curt Casali,33,625,Maj-NL,San Francisco,19,61,53,7,14,2,0,3,10,7,0,15,0,0,1,1,0,0,0.264,0.344,0.472,0.816,592200
Nick Castellanos,30,618,Maj-NL,Philadelphia,45,191,174,21,44,12,0,5,24,14,0,47,2,0,1,4,2,0,0.253,0.314,0.408,0.722,592206
Diego Castillo,24,618,Maj-NL,Pittsburgh,34,111,105,10,25,5,0,2,9,4,0,23,1,0,1,4,1,1,0.238,0.27,0.343,0.613,660636
Harold Castro,28,620,Maj-AL,Detroit,25,76,73,10,22,3,1,3,8,2,0,14,0,0,1,2,0,0,0.301,0.316,0.493,0.809,605612
Jason Castro,35,618,Maj-AL,Houston,19,50,41,3,5,2,0,0,1,7,0,21,1,0,1,0,0,0,0.122,0.26,0.171,0.431,488771
Rodolfo Castro,23,618,Maj-NL,Pittsburgh,14,51,45,5,9,2,0,0,0,5,0,12,1,0,0,1,2,2,0.2,0.294,0.244,0.539,666801
Willi Castro,25,620,Maj-AL,Detroit,27,85,78,7,21,3,0,1,4,5,0,14,1,0,1,2,1,2,0.269,0.318,0.346,0.664,650489
Gilberto Celestino,23,619,Maj-AL,Minnesota,31,85,74,10,24,4,0,0,4,7,0,18,2,2,0,3,0,1,0.324,0.398,0.378,0.776,665482
Yu Chang,26,625,Maj-AL,Cleveland,4,10,10,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0.0,0.0,0.0,0.0,644374
Matt Chapman,29,618,Maj-AL,Toronto,45,172,152,16,29,6,0,6,18,18,0,46,1,0,1,3,0,0,0.191,0.279,0.349,0.628,656305
Michael Chavis,26,618,Maj-NL,Pittsburgh,37,122,112,11,32,5,2,4,15,5,0,32,2,0,3,1,0,1,0.286,0.32,0.473,0.793,656308
