,Name,Age,#days,Lev,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,mlbID,Early OPS,OPS Diff
433,Christian Walker,32,124,Maj-NL,Arizona,157,661,582,86,150,36,2,33,103,62,3,127,8,0,8,13,11,0,0.258,0.333,0.497,0.83,572233,0.773,0.05699999999999994
447,Patrick Wisdom,31,123,Maj-NL,Chicago,97,302,268,43,55,8,1,23,46,30,0,111,2,1,1,4,4,2,0.205,0.289,0.5,0.789,621550,0.845,0.05599999999999994
351,Anthony Santander,28,123,Maj-AL,Baltimore,153,656,591,81,152,41,1,28,95,55,1,152,6,0,4,11,5,1,0.257,0.325,0.472,0.797,623993,0.853,0.05599999999999994
136,Ty France,28,123,Maj-AL,Seattle,158,665,587,79,147,32,0,12,58,43,0,117,34,0,1,25,1,0,0.25,0.337,0.366,0.703,664034,0.758,0.05500000000000005
123,Tommy Edman,28,123,Maj-NL,St. Louis,137,528,479,69,119,25,4,13,47,35,1,84,7,3,4,9,27,4,0.248,0.307,0.399,0.705,669242,0.76,0.05500000000000005
142,TJ Friedl,27,124,Maj-NL,Cincinnati,138,556,488,73,136,22,8,18,66,47,1,90,10,8,3,0,27,6,0.279,0.352,0.467,0.819,670770,0.873,0.05400000000000005
254,MJ Melendez,24,123,Maj-AL,Kansas City,148,602,533,65,125,29,5,16,56,62,2,170,3,0,4,4,6,4,0.235,0.316,0.398,0.713,669004,0.659,0.05399999999999994
369,Pavin Smith,27,143,Maj-NL,Arizona,67,228,191,26,36,5,0,7,30,35,0,45,1,0,0,3,1,1,0.189,0.317,0.325,0.642,656976,0.696,0.05399999999999994
2,Ronald Acuna Jr.,25,123,Maj-NL,Atlanta,159,735,643,149,217,35,4,41,106,80,3,84,9,0,3,15,72,14,0.338,0.416,0.596,1.012,660670,0.959,0.05300000000000005
94,Brandon Crawford,36,123,Maj-NL,San Francisco,93,320,283,31,55,11,1,7,38,28,1,81,4,1,4,5,3,0,0.194,0.273,0.315,0.587,543063,0.64,0.05300000000000005
297,Vinnie Pasquantino,25,237,Maj-AL,Kansas City,61,260,231,24,57,17,0,9,26,25,2,31,2,0,1,7,0,0,0.247,0.324,0.437,0.762,686469,0.815,0.052999999999999936
38,Cody Bellinger,27,124,Maj-NL,Chicago,130,556,499,95,153,29,1,26,97,40,3,87,5,0,12,7,20,6,0.307,0.356,0.525,0.881,641355,0.831,0.050000000000000044
237,Jorge Mateo,28,123,Maj-AL,Baltimore,116,350,318,58,69,14,2,7,34,22,0,82,1,5,3,8,32,5,0.217,0.267,0.34,0.607,622761,0.657,0.050000000000000044
327,Bryan Reynolds,28,124,Maj-NL,Pittsburgh,145,640,574,85,151,31,5,24,84,53,2,138,7,0,6,13,12,1,0.263,0.33,0.46,0.79,668804,0.839,0.04899999999999993
171,Mitch Haniger,32,129,Maj-NL,San Francisco,61,229,211,27,44,13,1,6,28,15,0,65,2,0,1,7,1,0,0.209,0.266,0.365,0.631,571745,0.679,0.04800000000000004
33,Jos\xc3\xa9 Barrero,25,232,Maj-NL,Cincinnati,46,149,133,15,29,8,0,2,17,15,0,44,0,0,1,1,3,2,0.218,0.295,0.323,0.619,676480,0.666,0.04700000000000004
50,Xander Bogaerts,30,123,Maj-NL,San Diego,155,665,596,83,170,31,2,19,58,56,0,110,7,0,6,21,19,2,0.285,0.35,0.44,0.79,593428,0.744,0.04600000000000004
390,Dansby Swanson,29,124,Maj-NL,Chicago,147,638,565,81,138,25,3,22,80,66,0,154,5,0,2,9,9,1,0.244,0.328,0.416,0.744,621020,0.789,0.04500000000000004
195,Connor Joe,30,123,Maj-NL,Pittsburgh,133,472,413,63,102,31,4,11,42,50,0,110,8,0,1,4,3,5,0.247,0.339,0.421,0.76,656582,0.804,0.04400000000000004
90,William Contreras,25,123,Maj-NL,Milwaukee,141,611,540,86,156,38,1,17,78,63,2,126,5,1,2,23,6,1,0.289,0.367,0.457,0.825,661388,0.783,0.041999999999999926
344,Esteury Ruiz,24,123,Maj-AL,Oakland,132,497,449,47,114,24,1,5,47,20,1,99,16,4,1,7,67,13,0.254,0.309,0.345,0.654,665923,0.696,0.041999999999999926
308,Jace Peterson,33,123,"Maj-AL,Maj-NL","Arizona,Oakland",133,430,374,35,79,10,4,6,37,47,2,101,4,2,3,7,15,2,0.211,0.304,0.308,0.611,607054,0.57,0.041000000000000036
51,Alec Bohm,26,123,Maj-NL,Philadelphia,145,611,558,74,153,31,0,20,97,42,1,94,5,0,6,23,4,1,0.274,0.327,0.437,0.765,664761,0.724,0.041000000000000036
3,Willy Adames,27,123,Maj-NL,Milwaukee,149,638,553,73,120,29,2,24,80,71,1,165,6,0,6,12,5,3,0.217,0.31,0.407,0.717,642715,0.676,0.040999999999999925
61,Byron Buxton,29,184,Maj-AL,Minnesota,85,347,304,49,63,17,1,17,42,35,2,109,4,0,4,3,9,0,0.207,0.294,0.438,0.731,621439,0.771,0.040000000000000036
413,Justin Turner,38,123,Maj-AL,Boston,146,626,558,86,154,31,0,23,96,51,0,110,11,0,6,10,4,1,0.276,0.345,0.455,0.8,457759,0.76,0.040000000000000036
57,Kris Bryant,31,123,Maj-NL,Colorado,80,335,300,36,70,10,0,10,31,29,0,68,6,0,0,6,0,0,0.233,0.313,0.367,0.68,592178,0.72,0.039999999999999925
69,Jeimer Candelario,29,123,Maj-NL,"Chicago,Washington",140,576,505,77,127,39,3,22,70,53,1,127,13,0,4,11,8,1,0.252,0.336,0.471,0.807,600869,0.769,0.038000000000000034
266,Gabriel Moreno,23,124,Maj-NL,Arizona,111,380,341,33,97,19,1,7,50,29,0,75,3,0,7,17,6,2,0.285,0.34,0.408,0.747,672515,0.709,0.038000000000000034
135,Jake Fraley,28,127,Maj-NL,Cincinnati,111,380,336,41,86,18,0,15,65,37,2,71,6,0,1,5,21,5,0.256,0.34,0.444,0.783,641584,0.745,0.038000000000000034
163,Robbie Grossman,33,124,Maj-AL,Texas,115,420,353,56,84,23,1,10,49,57,0,98,2,0,8,8,1,0,0.238,0.341,0.394,0.734,543257,0.697,0.03700000000000003
179,Jonah Heim,28,123,Maj-AL,Texas,131,501,457,61,118,28,0,18,95,40,2,96,1,0,3,10,2,0,0.258,0.317,0.438,0.755,641680,0.792,0.03700000000000003
360,Nick Senzel,28,123,Maj-NL,Cincinnati,104,330,301,49,71,10,0,13,42,26,0,74,1,0,2,9,6,2,0.236,0.297,0.399,0.696,669222,0.733,0.03700000000000003
423,Christian V\xc3\xa1zquez,32,123,Maj-AL,Minnesota,102,355,327,34,73,13,0,6,32,25,1,82,1,1,1,11,1,0,0.223,0.28,0.318,0.598,543877,0.561,0.03699999999999992
428,David Villar,26,192,Maj-NL,San Francisco,46,140,124,15,18,6,0,5,12,11,0,45,4,0,1,1,1,1,0.145,0.236,0.315,0.55,681584,0.514,0.03600000000000003
194,Eloy Jim\xc3\xa9nez,26,124,Maj-AL,Chicago,120,489,456,50,124,23,0,18,64,30,2,93,1,0,2,13,0,0,0.272,0.317,0.441,0.758,650391,0.794,0.03600000000000003
64,Oswaldo Cabrera,24,123,Maj-AL,New York,114,330,298,35,63,11,0,5,29,25,1,72,2,3,2,6,8,0,0.211,0.275,0.299,0.574,665828,0.538,0.03599999999999992
374,Edmundo Sosa,27,123,Maj-NL,Philadelphia,104,300,279,34,70,15,2,10,30,8,0,74,9,2,1,10,4,2,0.251,0.293,0.427,0.719,624641,0.683,0.03599999999999992
75,Matt Carpenter,37,144,Maj-NL,San Diego,76,237,188,18,33,12,0,5,31,41,0,67,2,0,5,2,1,0,0.176,0.322,0.319,0.641,572761,0.675,0.03400000000000003
229,Manuel Margot,28,123,Maj-AL,Tampa Bay,99,336,311,39,82,21,1,4,38,18,0,55,4,0,3,6,9,3,0.264,0.31,0.376,0.686,622534,0.653,0.03300000000000003
79,Harold Castro,29,128,Maj-NL,Colorado,99,270,258,24,65,13,0,1,31,9,0,66,0,1,2,5,1,0,0.252,0.275,0.314,0.589,605612,0.622,0.03300000000000003
319,Jos\xc3\xa9 Ram\xc3\xadrez,30,123,Maj-AL,Cleveland,156,691,611,87,172,36,5,24,80,73,22,73,1,0,6,8,28,6,0.282,0.356,0.475,0.831,608070,0.798,0.03299999999999992
164,Vladimir Guerrero Jr.,24,124,Maj-AL,Toronto,156,682,602,78,159,30,0,26,94,67,5,100,9,0,4,23,5,3,0.264,0.345,0.444,0.788,665489,0.821,0.03299999999999992
318,Harold Ram\xc3\xadrez,28,123,Maj-AL,Tampa Bay,122,434,400,58,125,19,2,12,68,22,0,79,6,0,6,7,5,3,0.313,0.353,0.46,0.813,623912,0.845,0.03200000000000003
373,Jorge Soler,31,124,Maj-NL,Miami,137,580,504,77,126,24,0,36,75,66,4,141,6,0,4,20,1,0,0.25,0.341,0.512,0.853,624585,0.885,0.03200000000000003
20,Nolan Arenado,32,133,Maj-NL,St. Louis,144,612,560,71,149,26,2,26,93,41,5,101,3,0,8,21,3,3,0.266,0.315,0.459,0.774,571448,0.742,0.03200000000000003
23,Luis Arr\xc3\xa1ez,26,125,Maj-NL,Miami,147,617,574,71,203,30,3,10,69,35,10,34,4,1,3,18,3,2,0.354,0.393,0.469,0.862,650333,0.894,0.03200000000000003
401,Lane Thomas,27,123,Maj-NL,Washington,156,682,628,101,168,36,3,28,86,36,0,176,11,0,7,5,20,5,0.268,0.315,0.468,0.783,657041,0.815,0.03199999999999992
47,Charlie Blackmon,36,123,Maj-NL,Colorado,96,413,359,57,100,24,5,8,40,39,0,55,11,0,4,6,4,1,0.279,0.363,0.44,0.803,453568,0.835,0.03199999999999992
227,Trey Mancini,31,185,Maj-NL,Chicago,79,263,235,31,55,12,0,4,28,21,1,78,2,0,3,5,0,0,0.234,0.299,0.336,0.635,641820,0.666,0.031000000000000028
128,Stuart Fairchild,27,123,Maj-NL,Cincinnati,97,255,219,34,50,16,2,5,28,25,0,69,6,3,2,2,10,3,0.228,0.321,0.388,0.71,656413,0.741,0.031000000000000028
324,Hunter Renfroe,31,137,"Maj-AL,Maj-NL","Cincinnati,Los Angeles",140,548,498,60,116,31,0,20,60,44,0,125,3,0,3,15,0,0,0.233,0.297,0.416,0.713,592669,0.744,0.031000000000000028
300,Jeremy Pe\xc3\xb1a,25,123,Maj-AL,Houston,150,634,577,81,152,32,3,10,52,43,1,129,9,1,1,11,13,9,0.263,0.324,0.381,0.705,665161,0.735,0.030000000000000027
139,Freddie Freeman,33,123,Maj-NL,Los Angeles,161,730,637,131,211,59,2,29,102,72,12,121,16,0,5,14,23,1,0.331,0.41,0.567,0.976,518692,1.006,0.030000000000000027
234,J.D. Martinez,35,123,Maj-NL,Los Angeles,112,479,432,61,117,27,2,33,103,34,1,149,2,0,9,11,1,0,0.271,0.321,0.572,0.893,502110,0.922,0.029000000000000026
315,Jurickson Profar,30,123,Maj-NL,"Colorado,San Diego",125,521,459,55,111,27,2,9,46,50,0,90,6,0,5,11,1,0,0.242,0.321,0.368,0.689,595777,0.718,0.029000000000000026
138,Adam Frazier,31,123,Maj-AL,Baltimore,141,455,412,59,99,21,2,13,60,32,0,68,4,4,2,4,11,4,0.24,0.3,0.396,0.696,624428,0.725,0.029000000000000026
0,CJ Abrams,22,123,Maj-NL,Washington,151,614,563,83,138,28,6,18,64,32,2,118,13,3,3,7,47,4,0.245,0.3,0.412,0.712,682928,0.683,0.028999999999999915
93,Carlos Correa,28,136,Maj-AL,Minnesota,135,580,514,60,118,29,2,18,65,59,3,131,4,0,3,30,0,0,0.23,0.312,0.399,0.711,621043,0.682,0.028999999999999915
421,Daulton Varsho,26,123,Maj-AL,Toronto,158,581,527,65,116,23,3,20,61,45,0,135,4,1,3,5,16,7,0.22,0.285,0.389,0.674,662139,0.646,0.028000000000000025
206,Ha-Seong Kim,27,123,Maj-NL,San Diego,152,626,538,84,140,23,0,17,60,75,1,124,3,5,5,7,38,9,0.26,0.351,0.398,0.749,673490,0.721,0.028000000000000025
259,Jos\xc3\xa9 Miranda,25,207,Maj-AL,Minnesota,40,152,142,12,30,4,0,3,13,9,0,24,1,0,0,8,0,0,0.211,0.263,0.303,0.566,669304,0.593,0.027000000000000024
172,Ian Happ,28,124,Maj-NL,Chicago,158,691,580,86,144,35,4,21,84,99,2,153,6,0,6,12,14,3,0.248,0.36,0.431,0.791,664023,0.818,0.026999999999999913
211,Steven Kwan,25,123,Maj-AL,Cleveland,158,718,638,93,171,36,7,5,54,70,2,75,3,1,6,9,21,3,0.268,0.34,0.37,0.71,680757,0.683,0.026999999999999913
117,Brandon Drury,30,123,Maj-AL,Los Angeles,125,523,485,61,127,30,3,26,83,25,0,136,8,0,5,14,0,2,0.262,0.306,0.497,0.803,592273,0.777,0.026000000000000023
199,Corey Julks,27,157,Maj-AL,Houston,93,323,298,35,73,14,0,6,33,22,0,75,1,0,2,6,15,3,0.245,0.297,0.352,0.65,667452,0.676,0.026000000000000023
346,Adley Rutschman,25,123,Maj-AL,Baltimore,154,687,588,84,163,31,1,20,80,92,6,101,2,0,5,14,1,2,0.277,0.374,0.435,0.81,668939,0.836,0.025999999999999912
96,C.J. Cron,33,133,"Maj-AL,Maj-NL","Colorado,Los Angeles",71,278,258,38,64,12,0,12,37,17,0,65,1,0,2,13,0,0,0.248,0.295,0.434,0.729,543068,0.704,0.025000000000000022
137,Wander Franco,22,173,Maj-AL,Tampa Bay,112,491,442,65,124,23,6,17,58,42,3,69,3,0,4,18,30,10,0.281,0.344,0.475,0.819,677551,0.844,0.025000000000000022
76,Corbin Carroll,22,124,Maj-NL,Arizona,155,645,565,116,161,30,10,25,76,57,1,125,13,6,4,7,54,5,0.285,0.362,0.506,0.868,682998,0.893,0.025000000000000022
256,Whit Merrifield,34,123,Maj-AL,Toronto,145,592,547,66,149,27,0,11,67,36,2,101,3,0,6,15,26,10,0.272,0.318,0.382,0.7,593160,0.725,0.025000000000000022
181,Enrique Hern\xc3\xa1ndez,31,123,"Maj-AL,Maj-NL","Boston,Los Angeles",140,508,465,57,110,23,0,11,61,34,1,97,3,0,6,17,4,1,0.237,0.289,0.357,0.646,571771,0.671,0.025000000000000022
277,Zach Neto,22,123,Maj-AL,Los Angeles,84,329,289,38,65,17,0,9,34,20,0,77,16,1,3,5,5,1,0.225,0.308,0.377,0.685,687263,0.709,0.02399999999999991
73,Dylan Carlson,24,176,Maj-NL,St. Louis,76,255,219,27,48,8,1,5,27,26,0,49,7,0,3,4,3,0,0.219,0.318,0.333,0.651,666185,0.628,0.02300000000000002
359,Marcus Semien,32,123,Maj-AL,Texas,162,753,670,122,185,40,4,29,100,72,1,110,5,0,5,5,14,3,0.276,0.348,0.478,0.826,543760,0.849,0.02300000000000002
244,Andrew McCutchen,36,150,Maj-NL,Pittsburgh,112,473,390,55,100,19,0,12,43,75,1,100,4,0,4,8,11,3,0.256,0.378,0.397,0.776,457705,0.799,0.02300000000000002
430,Anthony Volpe,22,123,Maj-AL,New York,159,601,541,62,113,23,4,21,60,52,0,167,5,1,2,10,24,5,0.209,0.283,0.383,0.666,683011,0.643,0.02300000000000002
52,Jackie Bradley Jr.,33,239,Maj-AL,Kansas City,43,113,105,10,14,5,0,1,6,5,0,29,2,1,0,3,0,0,0.133,0.188,0.21,0.397,598265,0.42,0.022999999999999965
422,Andrew Vaughn,25,123,Maj-AL,Chicago,152,615,566,67,146,30,2,21,80,36,0,129,11,0,2,15,0,0,0.258,0.314,0.429,0.743,683734,0.765,0.02200000000000002
282,Austin Nola,33,201,Maj-NL,San Diego,52,154,130,9,19,3,0,1,8,18,0,31,2,4,0,5,0,0,0.146,0.26,0.192,0.452,543592,0.43,0.02200000000000002
312,Jorge Polanco,29,125,Maj-AL,Minnesota,80,343,302,38,77,18,0,14,48,36,0,88,2,0,3,2,4,0,0.255,0.335,0.454,0.789,593871,0.811,0.02200000000000002
231,Ketel Marte,29,124,Maj-NL,Arizona,150,650,569,94,157,26,9,25,82,71,2,109,5,0,5,16,8,2,0.276,0.359,0.485,0.844,606466,0.822,0.02200000000000002
97,Jake Cronenworth,29,160,Maj-NL,San Diego,127,522,458,54,105,24,7,10,48,46,2,97,11,1,5,8,6,1,0.229,0.312,0.378,0.689,630105,0.71,0.02100000000000002
384,Bryson Stott,25,123,Maj-NL,Philadelphia,151,640,585,78,164,32,2,15,62,39,1,100,7,1,8,10,31,3,0.28,0.329,0.419,0.747,681082,0.726,0.02100000000000002
207,Isiah Kiner-Falefa,28,123,Maj-AL,New York,113,361,326,39,79,12,1,6,37,28,0,70,3,1,3,12,14,5,0.242,0.306,0.341,0.646,643396,0.667,0.02100000000000002
385,Myles Straw,28,124,Maj-AL,Cleveland,147,518,462,52,110,18,3,1,29,42,0,97,2,6,6,10,20,6,0.238,0.301,0.297,0.597,664702,0.618,0.02100000000000002
66,Willie Calhoun,28,225,Maj-AL,New York,44,149,134,16,32,7,0,5,16,14,1,20,0,0,1,2,0,0,0.239,0.309,0.403,0.712,641432,0.733,0.02100000000000002
389,Seiya Suzuki,28,124,Maj-NL,Chicago,138,583,515,75,147,31,6,20,74,59,3,130,2,0,7,8,6,7,0.285,0.357,0.485,0.842,673548,0.862,0.020000000000000018
279,Kevin Newman,29,170,Maj-NL,Cincinnati,74,253,225,28,57,16,0,3,28,17,0,34,4,2,5,7,8,1,0.253,0.311,0.364,0.675,621028,0.695,0.019999999999999907
445,Jesse Winker,29,192,Maj-NL,Milwaukee,60,197,166,16,33,5,0,1,23,26,0,51,4,0,1,0,0,0,0.199,0.32,0.247,0.567,608385,0.547,0.019999999999999907
155,Yan Gomes,35,124,Maj-NL,Chicago,116,419,382,44,102,20,2,10,63,21,1,81,9,0,7,9,1,0,0.267,0.315,0.408,0.723,543228,0.742,0.019000000000000017
213,Trevor Larnach,26,123,Maj-AL,Minnesota,58,212,183,26,39,7,3,8,40,27,1,72,0,0,2,2,1,1,0.213,0.311,0.415,0.727,663616,0.708,0.019000000000000017
162,Trent Grisham,26,123,Maj-NL,San Diego,153,555,469,67,93,31,1,13,50,75,0,154,5,4,1,7,15,3,0.198,0.315,0.352,0.666,663757,0.685,0.019000000000000017
407,Alan Trejo,27,124,Maj-NL,Colorado,82,227,207,24,48,11,0,4,26,16,0,51,1,1,2,3,5,1,0.232,0.288,0.343,0.631,676701,0.612,0.019000000000000017
121,Jarren Duran,26,165,Maj-AL,Boston,101,362,332,46,98,34,2,8,40,24,1,90,3,0,2,3,24,2,0.295,0.346,0.482,0.828,680776,0.809,0.018999999999999906
78,Nick Castellanos,31,123,Maj-NL,Philadelphia,157,671,626,79,170,37,2,29,106,36,0,185,3,0,6,17,11,2,0.272,0.312,0.476,0.788,592206,0.806,0.018000000000000016
410,Mike Trout,31,163,Maj-AL,Los Angeles,82,362,308,54,81,14,1,18,44,45,2,104,7,0,2,4,2,0,0.263,0.367,0.49,0.858,545361,0.876,0.018000000000000016
380,Spencer Steer,25,124,Maj-NL,Cincinnati,156,665,582,74,158,37,3,23,86,68,0,139,11,0,4,9,15,3,0.272,0.356,0.464,0.82,668715,0.838,0.018000000000000016
406,Ezequiel Tovar,21,123,Maj-NL,Colorado,153,615,581,79,147,37,4,15,73,25,0,166,4,2,3,10,11,5,0.253,0.287,0.408,0.695,678662,0.677,0.017999999999999905
184,Jason Heyward,33,124,Maj-NL,Los Angeles,124,377,334,56,90,23,0,15,40,34,1,64,3,0,3,7,2,2,0.27,0.34,0.473,0.813,518792,0.83,0.017000000000000015
148,Luis Garc\xc3\xada,23,123,Maj-NL,Washington,122,482,447,61,119,18,4,9,50,27,1,60,0,1,7,10,9,4,0.266,0.304,0.385,0.688,671277,0.671,0.016999999999999904
129,Kyle Farmer,32,123,Maj-AL,Minnesota,120,369,336,49,86,14,2,11,46,23,0,86,8,0,2,7,2,4,0.256,0.317,0.408,0.725,571657,0.709,0.016000000000000014
251,Jeff McNeil,31,127,Maj-NL,New York,156,648,585,75,158,25,4,10,55,39,0,65,18,3,3,5,10,0,0.27,0.333,0.378,0.711,643446,0.727,0.016000000000000014
81,Willi Castro,26,123,Maj-AL,Minnesota,124,409,358,60,92,18,5,9,34,34,1,99,12,2,3,5,33,5,0.257,0.339,0.411,0.75,650489,0.766,0.016000000000000014
416,Ram\xc3\xb3n Ur\xc3\xadas,29,123,Maj-AL,Baltimore,116,396,360,45,95,22,3,4,42,27,0,101,8,0,1,10,3,1,0.264,0.328,0.375,0.703,602104,0.718,0.015000000000000013
296,Isaac Paredes,24,123,Maj-AL,Tampa Bay,143,571,492,71,123,24,0,31,98,58,0,104,20,0,1,11,1,0,0.25,0.352,0.488,0.84,670623,0.825,0.015000000000000013
320,J.T. Realmuto,32,124,Maj-NL,Philadelphia,135,540,489,70,123,28,5,20,63,35,3,138,9,0,5,10,16,5,0.252,0.31,0.452,0.762,592663,0.747,0.015000000000000013
214,Ram\xc3\xb3n Laureano,28,123,Maj-AL,"Cleveland,Oakland",105,404,361,46,81,18,4,9,35,33,0,114,9,0,1,9,12,1,0.224,0.305,0.371,0.676,657656,0.661,0.015000000000000013
29,Javier B\xc3\xa1ez,30,123,Maj-AL,Detroit,136,547,510,58,113,18,4,9,59,24,0,125,9,0,3,12,12,0,0.222,0.267,0.326,0.593,595879,0.578,0.015000000000000013
332,Luis Robert Jr.,25,130,Maj-AL,Chicago,145,595,546,90,144,36,1,38,80,30,5,172,12,0,2,10,20,4,0.264,0.315,0.542,0.857,673357,0.842,0.015000000000000013
16,Tim Anderson,30,124,Maj-AL,Chicago,123,524,493,52,121,18,2,1,25,26,0,122,3,0,2,15,13,2,0.245,0.286,0.296,0.582,641313,0.596,0.014000000000000012
417,Gio Urshela,31,231,Maj-AL,Los Angeles,62,228,214,22,64,8,1,2,24,10,0,36,1,0,3,9,3,2,0.299,0.329,0.374,0.703,570482,0.717,0.014000000000000012
283,Lars Nootbaar,25,123,Maj-NL,St. Louis,117,503,426,74,111,23,1,14,46,72,2,99,1,1,3,7,11,1,0.261,0.367,0.418,0.784,663457,0.77,0.014000000000000012
366,Dominic Smith,28,123,Maj-NL,Washington,153,586,527,57,134,21,1,12,46,47,1,91,10,0,2,12,1,1,0.254,0.326,0.366,0.692,642086,0.678,0.013999999999999901
212,Shea Langeliers,25,124,Maj-AL,Oakland,135,490,448,52,92,19,4,22,63,34,2,143,5,1,2,10,3,2,0.205,0.268,0.413,0.681,669127,0.668,0.013000000000000012
235,Michael Massey,25,123,Maj-AL,Kansas City,129,461,428,42,98,18,1,15,55,24,0,99,4,1,4,3,6,2,0.229,0.274,0.381,0.655,686681,0.642,0.013000000000000012
408,Jose Trevino,30,199,Maj-AL,New York,55,168,157,15,33,4,0,4,15,8,0,22,2,1,0,6,0,0,0.21,0.258,0.312,0.57,624431,0.582,0.01200000000000001
98,Nelson Cruz,42,213,Maj-NL,San Diego,49,152,143,9,35,5,1,5,23,6,1,46,2,0,1,2,1,0,0.245,0.283,0.399,0.682,443558,0.67,0.01200000000000001
230,Brandon Marsh,25,123,Maj-NL,Philadelphia,133,472,404,58,112,25,6,12,60,59,2,144,4,1,4,4,10,2,0.277,0.372,0.458,0.829,669016,0.841,0.01200000000000001
395,Chris Taylor,32,123,Maj-NL,Los Angeles,117,384,338,51,80,15,1,15,56,41,2,125,4,0,1,2,16,3,0.237,0.326,0.42,0.746,621035,0.758,0.01200000000000001
173,Bryce Harper,30,124,Maj-NL,Philadelphia,126,546,457,84,134,29,1,21,72,80,8,119,5,0,4,10,11,3,0.293,0.401,0.499,0.9,547180,0.888,0.01200000000000001
146,Adolis Garc\xc3\xada,30,123,Maj-AL,Texas,148,632,555,108,136,29,0,39,107,65,0,175,6,0,6,12,9,1,0.245,0.328,0.508,0.836,666969,0.825,0.01100000000000001
405,Gleyber Torres,26,124,Maj-AL,New York,158,672,596,90,163,28,2,25,68,67,0,98,3,0,6,19,13,6,0.274,0.347,0.453,0.8,650402,0.79,0.010000000000000009
13,Yordan \xc3\x81lvarez,26,123,Maj-AL,Houston,114,496,410,77,120,24,1,31,97,69,5,92,13,0,4,7,0,0,0.293,0.407,0.583,0.99,670541,1.0,0.010000000000000009
233,Starling Marte,34,180,Maj-NL,New York,86,341,315,38,78,7,1,5,28,16,1,69,8,2,0,8,24,4,0.248,0.301,0.324,0.625,516782,0.634,0.009000000000000008
238,Nick Maton,26,167,Maj-AL,Detroit,93,293,249,29,43,9,0,8,32,38,1,73,3,1,2,4,1,2,0.173,0.288,0.305,0.593,665155,0.602,0.009000000000000008
118,Mauricio Dub\xc3\xb3n,28,123,Maj-AL,Houston,132,492,467,76,130,26,3,10,46,19,0,70,3,0,3,10,7,2,0.278,0.309,0.411,0.72,643289,0.711,0.009000000000000008
339,Josh Rojas,29,123,"Maj-AL,Maj-NL","Arizona,Seattle",105,350,314,47,77,17,0,4,40,27,0,81,1,2,4,3,12,0,0.245,0.304,0.338,0.641,668942,0.632,0.009000000000000008
160,Riley Greene,22,153,Maj-AL,Detroit,99,416,378,51,109,19,4,11,37,35,0,114,1,0,2,7,7,0,0.288,0.349,0.447,0.796,682985,0.805,0.009000000000000008
215,DJ LeMahieu,34,123,Maj-AL,New York,136,562,497,55,121,22,3,15,44,60,2,125,3,0,2,14,2,2,0.244,0.327,0.39,0.718,518934,0.709,0.009000000000000008
209,Alejandro Kirk,24,124,Maj-AL,Toronto,123,422,372,34,93,16,0,8,43,42,1,45,6,0,2,21,0,0,0.25,0.334,0.358,0.692,672386,0.7,0.008000000000000007
255,Joey Meneses,31,123,Maj-NL,Washington,154,657,611,71,168,36,1,13,89,38,0,130,5,0,3,15,0,0,0.275,0.321,0.401,0.722,608841,0.714,0.008000000000000007
392,Fernando Tatis Jr.,24,123,Maj-NL,San Diego,141,635,575,91,148,33,1,25,78,53,0,141,3,1,3,17,29,4,0.257,0.322,0.449,0.771,665487,0.763,0.008000000000000007
376,Juan Soto,24,123,Maj-NL,San Diego,162,708,568,97,156,32,1,35,109,132,11,129,2,1,5,18,12,5,0.275,0.41,0.519,0.93,665742,0.938,0.007999999999999896
316,Cal Raleigh,26,123,Maj-AL,Seattle,145,569,513,78,119,23,1,30,75,54,1,158,1,0,1,6,0,0,0.232,0.306,0.456,0.762,663728,0.769,0.007000000000000006
377,George Springer,33,124,Maj-AL,Toronto,154,683,613,87,158,25,1,21,72,60,1,125,5,0,3,20,20,5,0.258,0.328,0.405,0.732,543807,0.725,0.007000000000000006
222,Nathaniel Lowe,27,123,Maj-AL,Texas,161,724,623,89,163,38,3,17,82,93,2,165,5,0,3,22,1,0,0.262,0.361,0.414,0.775,663993,0.782,0.007000000000000006
381,Tyler Stephenson,26,123,Maj-NL,Cincinnati,142,517,465,59,113,20,2,13,56,47,2,135,4,0,1,16,0,1,0.243,0.317,0.379,0.696,663886,0.69,0.006000000000000005
412,Brice Turang,23,123,Maj-NL,Milwaukee,137,448,404,46,88,9,3,6,34,38,1,94,1,3,2,9,26,4,0.218,0.285,0.3,0.585,668930,0.58,0.0050000000000000044
59,Alec Burleson,24,135,Maj-NL,St. Louis,107,347,315,34,77,20,1,8,36,23,0,45,3,1,2,13,3,1,0.244,0.3,0.391,0.691,676475,0.686,0.004999999999999893
40,Andrew Benintendi,28,125,Maj-AL,Chicago,151,621,562,72,147,34,2,5,45,52,5,89,3,1,3,12,13,2,0.262,0.326,0.356,0.682,643217,0.678,0.0040000000000000036
261,Yo\xc3\xa1n Moncada,28,124,Maj-AL,Chicago,92,357,334,39,87,20,1,11,40,20,0,107,2,0,1,6,1,0,0.261,0.305,0.425,0.73,660162,0.732,0.0020000000000000018
333,V\xc3\xadctor Robles,26,226,Maj-NL,Washington,36,126,107,15,32,5,1,0,8,11,0,18,4,4,0,3,8,1,0.299,0.385,0.365,0.75,645302,0.748,0.0020000000000000018
