,Name,Age,#days,Lev,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,mlbID,Early OPS,OPS Diff
331,Anthony Rizzo,33,184,Maj-AL,New York,99,421,373,45,91,14,0,12,41,35,1,97,12,0,1,10,0,3,0.244,0.328,0.378,0.706,519203,0.88,0.17400000000000004
361,Gavin Sheets,27,123,Maj-AL,Chicago,117,344,311,24,63,10,0,10,43,28,2,66,1,0,4,6,1,0,0.203,0.267,0.331,0.599,657757,0.771,0.17200000000000004
91,Willson Contreras,31,134,Maj-NL,St. Louis,125,495,428,55,113,27,0,20,67,51,0,111,13,1,2,12,6,3,0.264,0.358,0.467,0.826,575929,0.654,0.17199999999999993
314,Nick Pratto,24,123,Maj-AL,Kansas City,95,345,306,33,71,16,0,7,35,29,0,138,6,0,4,3,1,1,0.232,0.307,0.353,0.66,668472,0.827,0.16699999999999993
109,El\xc3\xadas D\xc3\xadaz,32,123,Maj-NL,Colorado,141,526,486,48,130,25,1,14,72,34,0,118,2,0,4,12,1,0,0.268,0.316,0.41,0.725,553869,0.891,0.16600000000000004
63,Miguel Cabrera,40,123,Maj-AL,Detroit,98,370,334,21,86,20,0,4,34,31,0,74,2,0,3,11,0,0,0.258,0.322,0.353,0.675,408234,0.511,0.16400000000000003
43,Christian Bethancourt,31,124,Maj-AL,Tampa Bay,104,332,315,49,71,16,0,11,33,13,0,91,0,1,3,6,1,0,0.225,0.254,0.381,0.635,542194,0.797,0.16200000000000003
399,Matt Thaiss,28,141,Maj-AL,Los Angeles,95,307,262,32,56,6,0,9,31,36,1,83,6,0,3,4,2,0,0.214,0.319,0.34,0.659,642136,0.821,0.16199999999999992
161,Randal Grichuk,31,123,"Maj-AL,Maj-NL","Colorado,Los Angeles",118,471,434,65,116,31,2,16,44,29,2,96,6,0,2,11,2,2,0.267,0.321,0.459,0.779,545341,0.937,0.15800000000000003
80,Rodolfo Castro,24,126,Maj-NL,"Philadelphia,Pittsburgh",92,256,227,21,48,7,0,6,24,23,1,74,5,0,1,4,1,4,0.212,0.297,0.322,0.619,666801,0.777,0.15800000000000003
132,Wilmer Flores,31,124,Maj-NL,San Francisco,126,454,405,51,115,22,0,23,60,41,1,63,5,0,3,13,0,0,0.284,0.355,0.509,0.863,527038,0.706,0.15700000000000003
150,Stone Garrett,27,162,Maj-NL,Washington,89,271,234,40,63,17,0,9,40,26,0,82,3,0,5,6,3,1,0.269,0.343,0.457,0.801,656448,0.644,0.15700000000000003
176,Ke\'Bryan Hayes,26,124,Maj-NL,Pittsburgh,124,525,494,65,134,31,7,15,61,28,1,104,0,0,3,11,10,6,0.271,0.309,0.453,0.762,663647,0.607,0.15500000000000003
203,Tony Kemp,31,130,Maj-AL,Oakland,124,419,359,42,75,13,3,5,27,44,0,40,6,7,3,9,15,4,0.209,0.303,0.304,0.607,643393,0.455,0.15199999999999997
276,Josh Naylor,26,123,Maj-AL,Cleveland,121,495,452,52,139,31,0,17,97,33,9,68,3,0,7,11,10,3,0.308,0.354,0.489,0.842,647304,0.692,0.15000000000000002
166,Lourdes Gurriel Jr.,29,123,Maj-NL,Arizona,145,592,551,65,144,35,2,24,82,33,1,103,6,0,2,20,5,0,0.261,0.309,0.463,0.772,666971,0.915,0.14300000000000002
44,Mookie Betts,30,123,Maj-NL,Los Angeles,152,693,584,126,179,40,1,39,107,96,3,107,8,0,5,5,14,3,0.307,0.408,0.579,0.987,605141,0.845,0.14200000000000002
1,Jos\xc3\xa9 Abreu,36,123,Maj-AL,Houston,141,594,540,62,128,23,1,18,90,42,1,130,6,0,6,16,0,1,0.237,0.296,0.383,0.68,547989,0.54,0.14
205,Kevin Kiermaier,33,124,Maj-AL,Toronto,129,408,370,58,98,21,6,8,36,29,0,86,4,1,4,9,14,1,0.265,0.322,0.419,0.741,595281,0.877,0.136
306,Salvador P\xc3\xa9rez,33,123,Maj-AL,Kansas City,140,580,538,59,137,21,0,23,80,19,6,135,13,0,8,11,0,0,0.255,0.292,0.422,0.714,521692,0.849,0.135
370,Will Smith,28,123,Maj-NL,Los Angeles,126,554,464,80,121,21,2,19,76,63,2,89,15,0,12,8,3,0,0.261,0.359,0.438,0.797,669257,0.93,0.133
12,Francisco \xc3\x81lvarez,21,123,Maj-NL,New York,123,423,382,51,80,12,0,25,63,34,0,110,6,0,1,14,2,0,0.209,0.284,0.437,0.721,682626,0.853,0.132
293,Marcell Ozuna,32,123,Maj-NL,Atlanta,144,592,530,84,145,29,1,40,100,57,1,134,3,0,2,9,0,0,0.274,0.346,0.559,0.905,542303,0.773,0.132
22,Randy Arozarena,28,124,Maj-AL,Tampa Bay,151,654,551,95,140,19,3,23,83,80,1,156,18,0,5,10,22,10,0.254,0.364,0.425,0.789,668227,0.921,0.132
