Name,Age,#days,Lev,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,mlbID
Jos\xc3\xa9 Abreu,34,952,Maj-AL,Chicago,74,313,270,38,66,12,1,13,55,28,0,76,9,0,6,10,1,0,0.244,0.329,0.441,0.77,547989
Ronald Acuna Jr.,23,952,Maj-NL,Atlanta,74,323,269,63,76,18,1,22,48,43,2,77,7,0,4,0,16,5,0.283,0.39,0.602,0.992,660670
Willy Adames,25,952,"Maj-AL,Maj-NL","Milwaukee,Tampa Bay",79,296,269,36,64,17,1,12,43,27,0,87,0,0,0,3,3,3,0.238,0.307,0.442,0.75,642715
Matt Adams,32,975,Maj-NL,Colorado,17,35,31,3,5,1,0,0,1,4,1,8,0,0,0,1,0,0,0.161,0.257,0.194,0.451,571431
Riley Adams,25,953,Maj-AL,Toronto,12,30,28,2,3,2,0,0,0,2,0,12,0,0,0,1,0,0,0.107,0.167,0.179,0.345,656180
Ehire Adrianza,31,952,Maj-NL,Atlanta,60,135,116,18,30,5,2,4,21,14,0,25,1,1,3,4,0,0,0.259,0.336,0.44,0.776,501303
Jes\xc3\xbas Aguilar,31,953,Maj-NL,Miami,76,301,268,25,69,15,0,12,53,24,3,55,2,0,7,5,0,0,0.258,0.316,0.448,0.763,542583
Nick Ahmed,31,952,Maj-NL,Arizona,70,247,225,21,49,15,2,1,12,19,1,60,2,1,0,6,3,2,0.218,0.285,0.316,0.6,605113
Shogo Akiyama,33,952,Maj-NL,Cincinnati,40,83,76,7,17,3,0,0,6,5,0,15,2,0,0,0,1,1,0.224,0.289,0.263,0.552,673451
Hanser Alberto,28,952,Maj-AL,Kansas City,57,140,133,12,34,11,2,0,9,2,0,15,2,2,1,1,0,1,0.256,0.275,0.368,0.644,593643
Ozzie Albies,24,952,Maj-NL,Atlanta,78,334,302,50,80,23,5,15,57,27,0,58,3,0,2,1,12,2,0.265,0.329,0.523,0.853,645277
Sandy Alc\xc3\xa1ntara,25,956,Maj-NL,Miami,15,34,30,0,2,1,0,0,0,3,0,23,1,0,0,0,0,0,0.067,0.177,0.1,0.277,645261
