Name,Age,#days,Lev,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,mlbID
Jos\xc3\xa9 Abreu,34,1033,Maj-AL,Chicago,9,43,37,5,8,1,0,2,9,5,0,13,0,0,1,1,1,0,0.216,0.302,0.405,0.708,547989
Ronald Acuna Jr.,23,1033,Maj-NL,Atlanta,9,39,36,8,16,5,0,4,8,2,0,6,0,0,1,0,2,0,0.444,0.462,0.917,1.378,660670
Willy Adames,25,1033,Maj-AL,Tampa Bay,9,32,30,2,7,3,0,1,3,2,0,9,0,0,0,0,0,1,0.233,0.281,0.433,0.715,642715
Ehire Adrianza,31,1033,Maj-NL,Atlanta,4,4,4,2,2,1,0,1,3,0,0,0,0,0,0,0,0,0,0.5,0.5,1.5,2.0,501303
Jes\xc3\xbas Aguilar,31,1033,Maj-NL,Miami,9,35,30,2,9,2,0,0,6,4,0,5,0,0,1,0,0,0,0.3,0.371,0.367,0.738,542583
Nick Ahmed,31,1033,Maj-NL,Arizona,2,8,7,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0.286,0.375,0.286,0.661,605113
Hanser Alberto,28,1033,Maj-AL,Kansas City,6,14,14,2,4,3,0,0,2,0,0,3,0,0,0,0,0,1,0.286,0.286,0.5,0.786,593643
Ozzie Albies,24,1033,Maj-NL,Atlanta,9,37,36,5,5,2,0,1,4,1,0,6,0,0,0,0,0,0,0.139,0.162,0.278,0.44,645277
Sandy Alc\xc3\xa1ntara,25,1038,Maj-NL,Miami,2,3,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,645261
Jorge Alfaro,28,1033,Maj-NL,Miami,5,19,18,1,3,0,0,0,0,1,0,6,0,0,0,0,1,0,0.167,0.211,0.167,0.377,595751
Anthony Alford,26,1034,Maj-NL,Pittsburgh,7,18,15,1,0,0,0,0,0,3,0,12,0,0,0,0,1,1,0.0,0.167,0.0,0.167,546990
Albert Almora,27,1037,Maj-NL,New York,2,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,546991
Pete Alonso,26,1033,Maj-NL,New York,6,28,24,4,5,2,0,1,3,4,0,9,0,0,0,0,0,0,0.208,0.321,0.417,0.738,624413
Jos\xc3\xa9 Altuve,31,1034,Maj-AL,Houston,9,42,37,11,13,3,0,1,5,4,0,4,0,0,1,1,0,0,0.351,0.405,0.514,0.918,514888
Yordan \xc3\x81lvarez,24,1034,Maj-AL,Houston,9,41,38,6,11,4,0,2,8,1,0,12,1,0,1,1,0,0,0.29,0.317,0.553,0.87,670541
Adbert Alzolay,26,1038,Maj-NL,Chicago,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,640470
Brett Anderson,33,1033,Maj-NL,Milwaukee,2,4,3,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0.0,0.25,0.0,0.25,474463
Brian Anderson,28,1033,Maj-NL,Miami,9,32,29,1,6,1,0,0,0,2,0,7,1,0,0,0,0,0,0.207,0.281,0.241,0.523,605119
Chase Anderson,33,1038,Maj-NL,Philadelphia,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,502624
Ian Anderson,23,1034,Maj-NL,Atlanta,2,3,2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0.5,0.5,1.0,1.5,666120
Tim Anderson,28,1040,Maj-AL,Chicago,4,15,15,3,3,0,0,1,1,0,0,3,0,0,0,0,0,0,0.2,0.2,0.4,0.6,641313
Tyler Anderson,31,1036,Maj-NL,Pittsburgh,2,4,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,542881
Elvis Andrus,32,1034,Maj-AL,Oakland,10,37,35,1,4,2,0,0,1,1,0,5,0,0,1,2,0,0,0.114,0.135,0.171,0.307,462101
Tejay Antone,27,1035,Maj-NL,Cincinnati,2,2,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,,1.0,,,622088
Aristides Aquino,27,1033,Maj-NL,Cincinnati,9,13,12,2,3,1,0,2,3,1,1,4,0,0,0,0,0,0,0.25,0.308,0.833,1.141,606157
Orlando Arcia,26,1039,Maj-NL,Milwaukee,4,11,11,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0.091,0.091,0.091,0.182,606115
Nolan Arenado,30,1033,Maj-NL,St. Louis,9,39,36,5,12,2,0,2,5,3,0,7,0,0,0,1,0,0,0.333,0.385,0.556,0.94,571448
Randy Arozarena,26,1033,Maj-AL,Tampa Bay,8,37,35,5,11,1,0,2,5,1,0,12,1,0,0,2,1,0,0.314,0.351,0.514,0.866,668227
Luis Arr\xc3\xa1ez,24,1033,Maj-AL,Minnesota,8,35,28,6,10,1,0,1,5,6,0,6,0,0,1,0,0,0,0.357,0.457,0.5,0.957,650333
Jake Arrieta,35,1036,Maj-NL,Chicago,2,4,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,453562
Christian Arroyo,26,1033,Maj-AL,Boston,6,21,21,1,5,3,0,0,2,0,0,5,0,0,0,0,0,0,0.238,0.238,0.381,0.619,624414
Willians Astudillo,29,1034,Maj-AL,Minnesota,6,14,13,1,6,2,0,0,4,0,0,1,0,0,1,0,0,0,0.462,0.429,0.615,1.044,553902
Akil Baddoo,22,1034,Maj-AL,Detroit,6,17,16,2,5,0,1,2,7,1,0,4,0,0,0,0,1,0,0.313,0.353,0.813,1.165,668731
Javier B\xc3\xa1ez,28,1033,Maj-NL,"Chicago,New York",10,37,34,5,9,0,0,3,7,1,0,15,2,0,0,0,3,0,0.265,0.324,0.529,0.854,595879
Austin Barnes,31,1033,Maj-NL,Los Angeles,5,20,18,0,5,1,0,0,3,2,0,6,0,0,0,1,0,0,0.278,0.35,0.333,0.683,605131
Tucker Barnhart,30,1034,Maj-NL,Cincinnati,6,23,22,5,10,4,0,1,7,0,0,9,1,0,0,0,0,0,0.455,0.478,0.773,1.251,571466
Tres Barrera,26,1037,Maj-NL,Washington,1,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,668663
Trevor Bauer,30,1042,Maj-NL,Los Angeles,1,4,2,0,0,0,0,0,1,0,0,2,0,2,0,0,0,0,0.0,0.0,0.0,0.0,545333
Jake Bauers,25,1033,Maj-AL,Cleveland,6,14,13,0,1,0,0,0,1,1,0,2,0,0,0,0,0,0,0.077,0.143,0.077,0.22,641343
Matt Beaty,28,1033,Maj-NL,Los Angeles,6,7,6,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0.0,0.143,0.0,0.143,607461
Cody Bellinger,25,1039,Maj-NL,Los Angeles,4,21,19,2,4,1,1,0,2,2,0,5,0,0,0,0,0,0,0.211,0.286,0.368,0.654,641355
Brandon Belt,33,1033,Maj-NL,San Francisco,9,22,18,3,3,0,0,1,2,4,0,8,0,0,0,0,1,0,0.167,0.318,0.333,0.652,474832
Andrew Benintendi,26,1033,Maj-AL,Kansas City,7,32,29,3,6,0,0,0,1,3,0,9,0,0,0,1,1,1,0.207,0.281,0.207,0.488,643217
Jos\xc3\xa9 Berr\xc3\xados,27,1041,Maj-AL,Minnesota,1,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,621244
