Name,Age,#days,Lev,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,mlbID
Jos\xc3\xa9 Abreu,34,1017,Maj-AL,Chicago,22,97,84,11,18,2,0,5,17,11,0,28,0,0,2,4,1,0,0.214,0.299,0.417,0.716,547989
Ronald Acuna Jr.,23,1016,Maj-NL,Atlanta,22,97,80,24,28,6,1,8,17,14,0,14,2,0,1,0,3,0,0.35,0.454,0.75,1.204,660670
Willy Adames,25,1016,Maj-AL,Tampa Bay,24,79,75,7,13,3,1,2,5,4,0,24,0,0,0,0,1,1,0.173,0.215,0.32,0.535,642715
Ehire Adrianza,31,1018,Maj-NL,Atlanta,17,37,31,6,8,2,1,2,8,2,0,5,0,1,3,1,0,0,0.258,0.278,0.581,0.858,501303
Jes\xc3\xbas Aguilar,31,1016,Maj-NL,Miami,24,99,83,12,24,5,0,5,24,13,0,14,0,0,3,2,0,0,0.289,0.374,0.53,0.904,542583
Nick Ahmed,31,1016,Maj-NL,Arizona,16,56,54,5,9,3,0,0,4,2,0,11,0,0,0,1,1,1,0.167,0.196,0.222,0.419,605113
Hanser Alberto,28,1016,Maj-AL,Kansas City,19,50,48,5,11,4,2,0,5,0,0,6,1,1,0,0,0,1,0.229,0.245,0.396,0.641,593643
Ozzie Albies,24,1016,Maj-NL,Atlanta,22,92,80,13,17,8,0,4,12,8,0,15,2,0,2,0,1,0,0.213,0.294,0.463,0.756,645277
Sandy Alc\xc3\xa1ntara,25,1016,Maj-NL,Miami,6,13,13,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0.0,0.0,0.0,0.0,645261
Jorge Alfaro,28,1024,Maj-NL,Miami,11,40,39,1,8,1,0,0,3,1,0,14,0,0,0,0,1,0,0.205,0.225,0.231,0.456,595751
Anthony Alford,26,1026,Maj-NL,Pittsburgh,11,29,24,2,2,0,0,0,0,4,0,16,1,0,0,1,1,1,0.083,0.241,0.083,0.325,546990
Logan Allen,24,1028,Maj-AL,Cleveland,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,663531
Albert Almora,27,1019,Maj-NL,New York,10,8,7,1,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0.143,0.25,0.143,0.393,546991
Pete Alonso,26,1016,Maj-NL,New York,20,83,73,10,18,3,0,5,12,8,0,26,1,0,1,1,0,0,0.247,0.325,0.493,0.819,624413
Jos\xc3\xa9 Altuve,31,1016,Maj-AL,Houston,14,64,57,12,18,3,0,1,8,5,0,8,0,0,2,1,1,1,0.316,0.359,0.421,0.781,514888
Yordan \xc3\x81lvarez,24,1017,Maj-AL,Houston,18,76,68,10,21,7,1,2,14,3,1,19,3,0,2,2,0,0,0.309,0.355,0.529,0.885,670541
Adbert Alzolay,26,1020,Maj-NL,Chicago,3,5,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,640470
Brett Anderson,33,1027,Maj-NL,Milwaukee,3,7,6,0,0,0,0,0,1,1,0,3,0,0,0,1,0,0,0.0,0.143,0.0,0.143,474463
Brian Anderson,28,1024,Maj-NL,Miami,17,70,64,3,14,3,0,1,5,5,0,16,1,0,0,1,0,0,0.219,0.286,0.313,0.598,605119
Chase Anderson,33,1019,Maj-NL,Philadelphia,4,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,502624
Ian Anderson,23,1017,Maj-NL,Atlanta,4,7,6,0,1,1,0,0,0,0,0,4,0,1,0,0,0,0,0.167,0.167,0.333,0.5,666120
Tim Anderson,28,1017,Maj-AL,Chicago,13,57,54,13,18,2,0,3,4,3,0,14,0,0,0,0,3,2,0.333,0.368,0.537,0.905,641313
Tyler Anderson,31,1017,Maj-NL,Pittsburgh,4,8,8,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0.0,0.0,0.0,0.0,542881
Elvis Andrus,32,1017,Maj-AL,Oakland,24,87,79,7,12,3,0,0,4,6,1,18,0,0,2,2,3,0,0.152,0.207,0.19,0.397,462101
Tejay Antone,27,1018,Maj-NL,Cincinnati,4,4,2,1,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0.0,0.333,0.0,0.333,622088
Aristides Aquino,27,1031,Maj-NL,Cincinnati,10,14,13,2,3,1,0,2,3,1,1,5,0,0,0,0,0,0,0.231,0.286,0.769,1.055,606157
Orlando Arcia,26,1039,Maj-NL,Milwaukee,4,11,11,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0.091,0.091,0.091,0.182,606115
Nolan Arenado,30,1016,Maj-NL,St. Louis,24,101,94,10,24,6,0,4,13,7,1,18,0,0,0,4,0,0,0.255,0.307,0.447,0.754,571448
Randy Arozarena,26,1016,Maj-AL,Tampa Bay,23,98,90,13,27,4,0,3,11,6,0,32,2,0,0,3,2,0,0.3,0.357,0.444,0.802,668227
Luis Arr\xc3\xa1ez,24,1017,Maj-AL,Minnesota,21,86,74,10,21,2,0,1,9,11,0,11,0,0,1,1,0,0,0.284,0.372,0.351,0.724,650333
Jake Arrieta,35,1019,Maj-NL,Chicago,5,9,7,0,0,0,0,0,0,1,0,7,0,1,0,0,0,0,0.0,0.125,0.0,0.125,453562
Christian Arroyo,26,1019,Maj-AL,Boston,17,58,54,6,16,7,0,0,4,2,0,15,2,0,0,1,1,0,0.296,0.345,0.426,0.771,624414
Willians Astudillo,29,1016,Maj-AL,Minnesota,18,55,54,3,15,2,0,2,8,0,0,3,0,0,1,0,0,0,0.278,0.273,0.426,0.699,553902
Alex Avila,34,1017,Maj-NL,Washington,5,18,13,0,2,2,0,0,2,4,0,4,1,0,0,1,0,0,0.154,0.389,0.308,0.697,488671
Akil Baddoo,22,1017,Maj-AL,Detroit,18,61,58,6,14,4,3,4,13,2,0,26,0,0,1,0,1,0,0.241,0.262,0.621,0.883,668731
Javier B\xc3\xa1ez,28,1019,Maj-NL,"Chicago,New York",21,84,78,13,19,2,0,6,18,1,0,35,4,0,0,0,5,0,0.244,0.289,0.5,0.789,595879
Austin Barnes,31,1016,Maj-NL,Los Angeles,14,46,37,2,8,1,0,0,4,9,0,12,0,0,0,2,0,0,0.216,0.37,0.243,0.613,605131
Tucker Barnhart,30,1016,Maj-NL,Cincinnati,18,60,53,11,16,5,0,2,9,5,0,20,2,0,0,2,0,0,0.302,0.383,0.509,0.893,571466
Tres Barrera,26,1037,Maj-NL,Washington,1,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,668663
Chris Bassitt,32,1032,Maj-AL,Oakland,1,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,605135
Trevor Bauer,30,1020,Maj-NL,Los Angeles,4,11,8,0,0,0,0,0,1,0,0,4,0,3,0,0,0,0,0.0,0.0,0.0,0.0,545333
Jake Bauers,25,1016,Maj-AL,Cleveland,18,41,37,1,7,2,0,0,2,3,1,10,0,0,0,0,0,0,0.189,0.25,0.243,0.493,641343
Matt Beaty,28,1016,Maj-NL,Los Angeles,15,23,16,2,4,0,0,0,4,5,0,6,2,0,0,0,0,0,0.25,0.478,0.25,0.728,607461
Josh Bell,28,1016,Maj-NL,Washington,14,56,50,11,6,2,0,2,5,4,0,17,1,0,1,1,0,0,0.12,0.196,0.28,0.476,605137
