Name,Age,#days,Lev,Date,Tm, ,Opp,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,mlbID
Anthony Rendon,31,1043,Maj-AL,"Apr 1, 2021",Los Angeles,,Chicago,1,4,3,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0.333,0.5,0.333,0.833,543685
Franmil Reyes,25,1043,Maj-AL,"Apr 1, 2021",Cleveland,@,Detroit,1,4,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.0,0.25,0.0,0.25,614177
V\xc3\xadctor Reyes,26,1043,Maj-AL,"Apr 1, 2021",Detroit,,Cleveland,1,4,4,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,622682
Bryan Reynolds,26,1043,Maj-NL,"Apr 1, 2021",Pittsburgh,@,Chicago,1,5,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.25,0.4,0.25,0.65,668804
Austin Riley,24,1043,Maj-NL,"Apr 1, 2021",Atlanta,@,Philadelphia,1,4,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.333,0.5,0.333,0.833,663586
Edwin R\xc3\xados,27,1043,Maj-NL,"Apr 1, 2021",Los Angeles,@,Colorado,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,621458
Anthony Rizzo,31,1043,Maj-NL,"Apr 1, 2021",Chicago,,Pittsburgh,1,4,3,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0.333,0.25,0.667,0.917,519203
Luis Robert Jr.,23,1043,Maj-AL,"Apr 1, 2021",Chicago,@,Los Angeles,1,4,4,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0.25,0.25,0.5,0.75,673357
Daniel Robertson,27,1043,Maj-NL,"Apr 1, 2021",Milwaukee,,Minnesota,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,621002
Josh Rojas,27,1043,Maj-NL,"Apr 1, 2021",Arizona,@,San Diego,1,5,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,668942
Miguel Rojas,32,1043,Maj-NL,"Apr 1, 2021",Miami,,Tampa Bay,1,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,500743
Amed Rosario,25,1043,Maj-AL,"Apr 1, 2021",Cleveland,@,Detroit,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,2.0,642708
Eddie Rosario,29,1043,Maj-AL,"Apr 1, 2021",Cleveland,@,Detroit,1,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.5,592696
Gary S\xc3\xa1nchez,28,1043,Maj-AL,"Apr 1, 2021",New York,,Toronto,1,4,3,1,2,0,0,1,2,1,0,0,0,0,0,0,0,0,0.667,0.75,1.667,2.417,596142
Pablo Sandoval,34,1043,Maj-NL,"Apr 1, 2021",Atlanta,@,Philadelphia,1,1,1,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,1.0,1.0,4.0,5.0,467055
Miguel San\xc3\xb3,28,1043,Maj-AL,"Apr 1, 2021",Minnesota,@,Milwaukee,1,5,4,1,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0.25,0.4,0.25,0.65,593934
Carlos Santana,35,1043,Maj-AL,"Apr 1, 2021",Kansas City,,Texas,1,6,3,2,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0.333,0.667,0.333,1.0,467793
Jonathan Schoop,29,1043,Maj-AL,"Apr 1, 2021",Detroit,,Cleveland,1,4,3,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0.333,0.5,0.333,0.833,570731
Corey Seager,27,1043,Maj-NL,"Apr 1, 2021",Los Angeles,@,Colorado,1,5,3,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0.667,0.8,0.667,1.467,608369
Kyle Seager,33,1043,Maj-AL,"Apr 1, 2021",Seattle,,San Francisco,1,5,4,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0.25,0.4,0.5,0.9,572122
Jean Segura,31,1043,Maj-NL,"Apr 1, 2021",Philadelphia,,Atlanta,1,5,5,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0.4,0.4,0.4,0.8,516416
Marcus Semien,30,1043,Maj-AL,"Apr 1, 2021",Toronto,@,New York,1,5,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,543760
Nick Senzel,26,1043,Maj-NL,"Apr 1, 2021",Cincinnati,,St. Louis,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,669222
Travis Shaw,31,1043,Maj-NL,"Apr 1, 2021",Milwaukee,,Minnesota,1,5,4,0,2,1,0,0,3,1,0,0,0,0,0,0,0,0,0.5,0.6,0.75,1.35,543768
Magneuris Sierra,25,1043,Maj-NL,"Apr 1, 2021",Miami,,Tampa Bay,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,642423
Andrelton Simmons,31,1043,Maj-AL,"Apr 1, 2021",Minnesota,@,Milwaukee,1,5,4,1,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0.5,0.6,0.5,1.1,592743
Austin Slater,28,1043,Maj-NL,"Apr 1, 2021",San Francisco,@,Seattle,1,4,3,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0.333,0.5,1.333,1.833,596103
Pavin Smith,25,1043,Maj-NL,"Apr 1, 2021",Arizona,@,San Diego,1,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,1.0,1.5,656976
Will Smith,26,1043,Maj-NL,"Apr 1, 2021",Los Angeles,@,Colorado,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,1.0,,,669257
Eric Sogard,35,1043,Maj-NL,"Apr 1, 2021",Chicago,,Pittsburgh,1,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,1.0,1.5,519299
Nick Solak,26,1043,Maj-AL,"Apr 1, 2021",Texas,@,Kansas City,1,6,5,2,1,0,0,0,1,0,0,3,1,0,0,0,0,0,0.2,0.333,0.2,0.533,669256
Donovan Solano,33,1043,Maj-NL,"Apr 1, 2021",San Francisco,@,Seattle,1,5,5,2,2,1,0,0,0,0,0,1,0,0,0,1,0,0,0.4,0.4,0.6,1.0,456781
Jorge Soler,29,1043,Maj-AL,"Apr 1, 2021",Kansas City,,Texas,1,6,2,2,2,0,0,1,2,2,0,0,1,0,0,0,0,0,1.0,1.0,2.5,3.5,624585
Jacob Stallings,31,1043,Maj-NL,"Apr 1, 2021",Pittsburgh,@,Chicago,1,5,4,0,2,1,0,0,1,1,0,2,0,0,0,0,0,0,0.5,0.6,0.75,1.35,607732
Giancarlo Stanton,31,1043,Maj-AL,"Apr 1, 2021",New York,,Toronto,1,5,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,519317
Max Stassi,30,1043,Maj-AL,"Apr 1, 2021",Los Angeles,,Chicago,1,3,3,1,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0.667,0.667,1.667,2.333,545358
Tyler Stephenson,24,1043,Maj-NL,"Apr 1, 2021",Cincinnati,,St. Louis,1,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.667,663886
Trevor Story,28,1043,Maj-NL,"Apr 1, 2021",Colorado,,Los Angeles,1,5,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0.4,0.4,0.4,0.8,596115
Myles Straw,26,1043,Maj-AL,"Apr 1, 2021",Houston,@,Oakland,1,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,664702
Eugenio Su\xc3\xa1rez,29,1043,Maj-NL,"Apr 1, 2021",Cincinnati,,St. Louis,1,5,3,1,1,0,0,1,1,2,0,1,0,0,0,0,0,0,0.333,0.6,1.333,1.933,553993
Dansby Swanson,27,1043,Maj-NL,"Apr 1, 2021",Atlanta,@,Philadelphia,1,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,621020
Raimel Tapia,27,1043,Maj-NL,"Apr 1, 2021",Colorado,,Los Angeles,1,5,5,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,606132
Fernando Tatis Jr.,22,1043,Maj-NL,"Apr 1, 2021",San Diego,,Arizona,1,5,5,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0.2,0.2,0.2,0.4,665487
Mike Tauchman,30,1043,Maj-AL,"Apr 1, 2021",New York,,Toronto,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,,,,,643565
Leody Taveras,22,1043,Maj-AL,"Apr 1, 2021",Texas,@,Kansas City,1,5,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,665750
Chris Taylor,30,1043,Maj-NL,"Apr 1, 2021",Los Angeles,@,Colorado,1,5,3,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0.333,0.6,0.333,0.933,621035
Michael A. Taylor,30,1043,Maj-AL,"Apr 1, 2021",Kansas City,,Texas,1,5,5,1,3,0,0,1,3,0,0,0,0,0,0,0,0,0,0.6,0.6,1.2,1.8,572191
Rowdy Tellez,26,1043,Maj-AL,"Apr 1, 2021",Toronto,@,New York,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,642133
Ka\'ai Tom,27,1043,Maj-AL,"Apr 1, 2021",Oakland,,Houston,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,664789
Luis Torrens,25,1043,Maj-AL,"Apr 1, 2021",Seattle,,San Francisco,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,620443
Gleyber Torres,24,1043,Maj-AL,"Apr 1, 2021",New York,,Toronto,1,5,4,1,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0.25,0.4,0.25,0.65,650402
Taylor Trammell,23,1043,Maj-AL,"Apr 1, 2021",Seattle,,San Francisco,1,5,3,1,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0.0,0.4,0.0,0.4,666211
Jose Trevino,28,1043,Maj-AL,"Apr 1, 2021",Texas,@,Kansas City,1,5,5,1,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0.6,0.6,0.6,1.2,624431
Mike Trout,29,1043,Maj-AL,"Apr 1, 2021",Los Angeles,,Chicago,1,4,2,1,1,0,0,0,1,2,0,1,0,0,0,0,0,0,0.5,0.75,0.5,1.25,545361
Yoshi Tsutsugo,29,1043,Maj-AL,"Apr 1, 2021",Tampa Bay,@,Miami,1,4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.0,0.25,0.0,0.25,660294
Kyle Tucker,24,1043,Maj-AL,"Apr 1, 2021",Houston,@,Oakland,1,5,3,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0.0,0.2,0.0,0.2,663656
Justin Turner,36,1043,Maj-NL,"Apr 1, 2021",Los Angeles,@,Colorado,1,5,4,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0.25,0.2,0.25,0.45,457759
Justin Upton,33,1043,Maj-AL,"Apr 1, 2021",Los Angeles,,Chicago,1,4,3,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0.333,0.5,0.333,0.833,457708
Luis Ur\xc3\xadas,24,1043,Maj-NL,"Apr 1, 2021",Milwaukee,,Minnesota,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,649966
Gio Urshela,29,1043,Maj-AL,"Apr 1, 2021",New York,,Toronto,1,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,570482
Daniel Vogelbach,28,1043,Maj-NL,"Apr 1, 2021",Milwaukee,,Minnesota,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,596129
