Name,Age,#days,Lev,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,mlbID
CJ Abrams,22,311,Maj-NL,Washington,1,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,682928
Jos\xc3\xa9 Abreu,36,310,Maj-AL,Houston,2,8,7,1,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0.286,0.375,0.286,0.661,547989
Ronald Acuna Jr.,25,311,Maj-NL,Atlanta,1,6,6,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0.333,0.333,0.333,0.667,660670
Willy Adames,27,311,Maj-NL,Milwaukee,1,4,3,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0.333,0.5,0.333,0.833,642715
Jes\xc3\xbas Aguilar,33,311,Maj-AL,Oakland,1,4,3,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0.0,0.25,0.0,0.25,542583
Nick Ahmed,33,310,Maj-NL,Arizona,2,5,5,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0.2,0.2,0.4,0.6,605113
Ozzie Albies,26,311,Maj-NL,Atlanta,1,5,5,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0.4,0.4,0.4,0.8,645277
Nick Allen,24,311,Maj-AL,Oakland,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,669397
Pete Alonso,28,310,Maj-NL,New York,2,9,8,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0.125,0.222,0.5,0.722,624413
Yordan \xc3\x81lvarez,26,310,Maj-AL,Houston,2,8,6,2,2,1,0,1,4,1,0,3,1,0,0,0,0,0,0.333,0.5,1.0,1.5,670541
Brian Anderson,30,311,Maj-NL,Milwaukee,1,3,2,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0.5,0.667,0.5,1.167,605119
Tim Anderson,30,310,Maj-AL,Chicago,2,10,8,2,4,1,0,0,0,2,0,1,0,0,0,0,1,0,0.5,0.6,0.625,1.225,641313
Elvis Andrus,34,310,Maj-AL,Chicago,2,8,8,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0.25,0.25,0.25,0.5,462101
Orlando Arcia,28,311,Maj-NL,Atlanta,1,5,4,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0.25,0.4,0.25,0.65,606115
Nolan Arenado,32,311,Maj-NL,St. Louis,1,5,5,0,2,1,0,0,3,0,0,0,0,0,0,1,0,0,0.4,0.4,0.6,1.0,571448
Gabriel Arias,23,310,Maj-AL,Cleveland,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,672356
Randy Arozarena,28,311,Maj-AL,Tampa Bay,1,4,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.5,668227
Luis Arr\xc3\xa1ez,26,310,Maj-NL,Miami,2,8,7,1,3,1,0,0,1,1,0,1,0,0,0,0,0,0,0.429,0.5,0.571,1.071,650333
Christian Arroyo,28,311,Maj-AL,Boston,1,4,4,0,1,1,0,0,2,0,0,1,0,0,0,1,0,0,0.25,0.25,0.5,0.75,624414
Jos\xc3\xa9 Azocar,27,310,Maj-NL,San Diego,1,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,640492
Ji Hwan Bae,23,311,Maj-NL,Pittsburgh,1,4,3,2,2,1,0,0,0,1,0,0,0,0,0,0,2,0,0.667,0.75,1.0,1.75,678225
Javier B\xc3\xa1ez,30,311,Maj-AL,Detroit,1,4,3,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0.333,0.5,0.333,0.833,595879
Jos\xc3\xa9 Barrero,25,311,Maj-NL,Cincinnati,1,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,676480
Joey Bart,26,311,Maj-NL,San Francisco,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,663698
Matt Beaty,30,311,Maj-NL,San Francisco,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,607461
Josh Bell,30,310,Maj-AL,Cleveland,2,9,7,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0.143,0.333,0.143,0.476,605137
Cody Bellinger,27,311,Maj-NL,Chicago,1,4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.0,0.25,0.0,0.25,641355
Brandon Belt,35,311,Maj-AL,Toronto,1,4,4,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0.25,0.25,0.5,0.75,474832
Andrew Benintendi,28,310,Maj-AL,Chicago,2,9,9,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0.222,0.222,0.333,0.556,643217
Will Benson,25,311,Maj-NL,Cincinnati,1,4,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,666181
Jon Berti,33,310,Maj-NL,Miami,2,4,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0.25,0.25,0.25,0.5,542932
