Name,Age,#days,Lev,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,mlbID
CJ Abrams,22,204,Maj-NL,Washington,83,312,291,40,73,16,3,8,36,12,0,68,7,2,0,5,16,2,0.251,0.297,0.409,0.706,682928
Jos\xc3\xa9 Abreu,36,204,Maj-AL,Houston,89,374,343,32,84,15,0,8,49,23,1,85,3,0,5,11,0,1,0.245,0.294,0.359,0.653,547989
Ronald Acuna Jr.,25,204,Maj-NL,Atlanta,91,419,367,82,122,25,1,23,58,46,2,49,4,0,2,7,42,7,0.332,0.411,0.594,1.005,660670
Willy Adames,27,204,Maj-NL,Milwaukee,83,357,312,41,66,15,0,16,46,35,0,89,3,0,5,9,4,3,0.212,0.293,0.414,0.707,642715
Riley Adams,27,204,Maj-NL,Washington,23,87,79,4,22,5,2,3,10,6,0,26,1,1,0,4,0,0,0.279,0.337,0.506,0.844,656180
Jo Adell,24,211,Maj-AL,Los Angeles,5,14,13,2,3,1,1,1,3,1,0,6,0,0,0,0,0,0,0.231,0.286,0.692,0.978,666176
Ehire Adrianza,33,279,Maj-NL,Atlanta,5,11,10,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0.0,0.091,0.0,0.091,501303
Jes\xc3\xbas Aguilar,33,253,Maj-AL,Oakland,36,115,104,8,23,2,0,5,9,8,2,31,1,0,1,3,0,0,0.221,0.281,0.385,0.665,542583
Nick Ahmed,33,212,Maj-NL,Arizona,47,141,133,12,30,7,0,2,12,8,0,33,0,0,0,0,4,1,0.226,0.27,0.323,0.593,605113
Hanser Alberto,30,249,Maj-AL,Chicago,30,90,82,11,18,5,0,3,16,4,0,13,1,2,1,1,0,0,0.22,0.261,0.39,0.652,593643
Ozzie Albies,26,204,Maj-NL,Atlanta,91,389,350,51,94,16,3,22,66,27,2,57,4,0,6,6,7,0,0.269,0.323,0.52,0.843,645277
Jorge Alfaro,30,204,"Maj-AL,Maj-NL","Boston,Colorado",13,38,35,2,5,4,0,1,4,2,0,12,1,0,0,2,0,0,0.143,0.211,0.343,0.553,595751
Greg Allen,30,247,Maj-AL,New York,10,17,14,5,3,0,1,1,1,1,0,7,1,1,0,0,1,0,0.214,0.313,0.571,0.884,656185
Nick Allen,24,204,Maj-AL,Oakland,46,131,119,12,25,1,0,1,6,8,0,22,0,3,1,2,1,1,0.21,0.258,0.244,0.502,669397
Pete Alonso,28,204,Maj-NL,New York,84,355,310,50,65,7,1,26,61,34,0,76,11,0,0,11,3,0,0.21,0.31,0.49,0.8,624413
Jos\xc3\xa9 Altuve,33,216,Maj-AL,Houston,32,143,121,25,32,8,0,6,18,20,0,25,1,0,1,4,5,1,0.265,0.371,0.479,0.85,514888
Jake Alu,26,204,Maj-NL,Washington,5,15,14,0,3,0,0,0,0,1,0,4,0,0,0,0,1,0,0.214,0.267,0.214,0.481,666906
Francisco \xc3\x81lvarez,21,204,Maj-NL,New York,68,233,216,30,51,7,0,17,35,13,0,58,4,0,0,8,0,0,0.236,0.292,0.505,0.796,682626
Yordan \xc3\x81lvarez,26,241,Maj-AL,Houston,57,242,202,41,56,12,0,17,55,32,2,55,6,0,2,5,0,0,0.277,0.388,0.589,0.978,670541
Jacob Amaya,24,224,Maj-NL,Miami,4,9,9,1,2,0,0,0,2,0,0,1,0,0,0,0,1,0,0.222,0.222,0.222,0.444,676070
Miguel Amaya,24,204,Maj-NL,Chicago,23,73,58,9,16,4,0,2,10,5,0,19,8,1,1,1,0,0,0.276,0.403,0.448,0.851,665804
Brian Anderson,30,210,Maj-NL,Milwaukee,85,334,292,35,67,11,2,9,38,35,0,99,4,0,3,9,0,3,0.23,0.317,0.373,0.691,605119
Tim Anderson,30,204,Maj-AL,Chicago,69,298,282,29,63,9,1,0,13,14,0,64,0,0,2,11,9,1,0.223,0.258,0.262,0.521,641313
Elvis Andrus,34,210,Maj-AL,Chicago,63,232,207,17,43,6,0,2,18,19,1,41,4,1,1,1,6,4,0.208,0.286,0.266,0.551,462101
Miguel And\xc3\xbajar,28,263,Maj-NL,Pittsburgh,13,33,31,2,5,1,0,2,6,2,0,5,0,0,0,0,0,0,0.161,0.212,0.387,0.599,609280
Jonathan Aranda,25,204,Maj-AL,Tampa Bay,3,12,12,1,2,1,0,0,2,0,0,5,0,0,0,0,0,0,0.167,0.167,0.25,0.417,666018
