Name,Age,#days,Lev,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,mlbID
CJ Abrams,22,153,Maj-NL,Washington,128,508,470,68,116,22,4,15,51,20,0,100,13,3,2,6,38,3,0.247,0.295,0.406,0.701,682928
Jos\xc3\xa9 Abreu,36,153,Maj-AL,Houston,117,495,450,48,106,17,0,12,63,35,1,108,5,0,5,13,0,1,0.236,0.295,0.353,0.648,547989
Wilyer Abreu,24,154,Maj-AL,Boston,6,21,18,3,6,2,0,1,5,3,0,5,0,0,0,0,0,1,0.333,0.429,0.611,1.04,677800
Ronald Acuna Jr.,25,153,Maj-NL,Atlanta,135,626,546,123,184,32,3,32,85,71,3,74,7,0,2,13,62,11,0.337,0.419,0.582,1.001,660670
Willy Adames,27,153,Maj-NL,Milwaukee,123,528,464,59,98,19,0,22,65,52,0,139,5,0,5,10,4,3,0.211,0.295,0.394,0.689,642715
Jordyn Adams,23,167,Maj-AL,Los Angeles,10,14,14,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0.143,0.143,0.143,0.286,677941
Riley Adams,27,153,Maj-NL,Washington,41,152,138,8,38,13,2,4,20,11,0,43,2,1,0,5,0,0,0.275,0.338,0.486,0.823,656180
Jo Adell,24,209,Maj-AL,Los Angeles,5,14,13,2,3,1,1,1,3,1,0,6,0,0,0,0,0,0,0.231,0.286,0.692,0.978,666176
Ehire Adrianza,33,277,Maj-NL,Atlanta,5,11,10,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0.0,0.091,0.0,0.091,501303
Jes\xc3\xbas Aguilar,33,251,Maj-AL,Oakland,36,115,104,8,23,2,0,5,9,8,2,31,1,0,1,3,0,0,0.221,0.281,0.385,0.665,542583
Nick Ahmed,33,153,Maj-NL,Arizona,70,204,192,14,42,10,1,2,17,12,0,50,0,0,0,0,5,1,0.219,0.265,0.313,0.577,605113
Hanser Alberto,30,247,Maj-AL,Chicago,30,90,82,11,18,5,0,3,16,4,0,13,1,2,1,1,0,0,0.22,0.261,0.39,0.652,593643
Ozzie Albies,26,153,Maj-NL,Atlanta,122,535,482,76,130,21,4,28,90,36,2,88,8,0,7,7,11,0,0.27,0.327,0.504,0.831,645277
Jorge Alfaro,30,186,"Maj-AL,Maj-NL","Boston,Colorado",18,52,48,2,7,4,0,1,4,2,0,15,2,0,0,3,0,0,0.146,0.212,0.292,0.503,595751
Greg Allen,30,166,Maj-AL,New York,22,28,23,6,5,1,1,1,1,2,0,10,2,1,0,0,3,1,0.217,0.333,0.478,0.812,656185
Nick Allen,24,153,Maj-AL,Oakland,83,252,231,23,49,2,1,4,17,13,0,43,1,5,2,6,4,1,0.212,0.255,0.281,0.537,669397
Abraham Almonte,34,160,Maj-NL,New York,8,16,15,1,1,1,0,0,0,1,0,8,0,0,0,0,0,0,0.067,0.125,0.133,0.258,501659
Pete Alonso,28,153,Maj-NL,New York,128,543,468,75,103,15,2,39,96,56,3,122,17,0,2,16,4,1,0.22,0.324,0.511,0.835,624413
Jos\xc3\xa9 Altuve,33,154,Maj-AL,Houston,65,293,253,57,79,16,2,10,34,37,0,50,2,0,1,5,13,2,0.312,0.403,0.51,0.913,514888
Jake Alu,26,153,Maj-NL,Washington,30,102,95,8,24,1,0,1,11,5,0,25,1,0,1,1,4,1,0.253,0.294,0.295,0.589,666906
Francisco \xc3\x81lvarez,21,153,Maj-NL,New York,103,361,327,43,69,8,0,21,47,29,0,92,5,0,0,12,0,0,0.211,0.285,0.428,0.713,682626
Yordan \xc3\x81lvarez,26,153,Maj-AL,Houston,89,386,322,61,94,18,1,23,77,51,3,75,10,0,3,6,0,0,0.292,0.402,0.568,0.97,670541
Jacob Amaya,24,222,Maj-NL,Miami,4,9,9,1,2,0,0,0,2,0,0,1,0,0,0,0,1,0,0.222,0.222,0.222,0.444,676070
Miguel Amaya,24,154,Maj-NL,Chicago,42,131,107,15,24,4,0,4,17,11,0,34,11,1,1,2,0,0,0.224,0.354,0.374,0.728,665804
Brian Anderson,30,164,Maj-NL,Milwaukee,93,355,312,37,70,11,3,9,40,36,0,107,4,0,3,10,0,3,0.224,0.31,0.365,0.675,605119
Tim Anderson,30,153,Maj-AL,Chicago,102,442,414,45,99,16,2,1,24,23,0,102,3,0,2,15,12,1,0.239,0.283,0.295,0.578,641313
Elvis Andrus,34,156,Maj-AL,Chicago,92,335,304,34,74,15,1,5,36,24,1,57,4,1,2,5,11,4,0.243,0.305,0.349,0.654,462101
Miguel And\xc3\xbajar,28,153,Maj-NL,Pittsburgh,15,38,36,3,6,2,0,2,7,2,0,6,0,0,0,1,0,0,0.167,0.211,0.389,0.599,609280
Jonathan Aranda,25,154,Maj-AL,Tampa Bay,13,38,31,6,6,1,0,1,4,5,0,13,1,0,1,1,0,0,0.194,0.316,0.323,0.638,666018
Jonathan Ara\xc3\xbaz,24,153,Maj-NL,New York,23,63,56,2,7,0,0,2,6,5,0,17,0,2,0,1,0,0,0.125,0.197,0.232,0.429,660620
Orlando Arcia,28,153,Maj-NL,Atlanta,114,437,401,57,113,18,0,17,55,31,0,81,3,0,2,13,1,0,0.282,0.336,0.454,0.79,606115
Nolan Arenado,32,153,Maj-NL,St. Louis,129,546,501,62,136,24,2,26,87,35,4,93,3,0,7,20,2,3,0.272,0.319,0.483,0.802,571448
Gabriel Arias,23,153,Maj-AL,Cleveland,104,274,247,30,54,11,0,9,20,27,0,91,0,0,0,7,2,4,0.219,0.296,0.373,0.668,672356
Randy Arozarena,28,153,Maj-AL,Tampa Bay,130,562,471,85,123,15,2,21,77,69,0,132,17,0,5,7,20,10,0.261,0.372,0.435,0.807,668227
Luis Arr\xc3\xa1ez,26,153,Maj-NL,Miami,130,551,510,59,181,28,3,5,60,33,9,32,4,1,3,16,2,2,0.355,0.396,0.451,0.847,650333
Christian Arroyo,28,184,Maj-AL,Boston,66,206,195,23,47,16,0,3,24,7,0,45,1,1,2,8,1,3,0.241,0.268,0.369,0.638,624414
Jos\xc3\xa9 Azocar,27,153,Maj-NL,San Diego,36,67,61,11,16,4,0,0,5,2,0,15,0,4,0,0,6,2,0.262,0.286,0.328,0.614,640492
Akil Baddoo,24,153,Maj-AL,Detroit,92,302,265,35,60,11,0,9,28,34,2,73,0,2,1,3,10,3,0.226,0.313,0.37,0.683,668731
Harrison Bader,29,153,"Maj-AL,Maj-NL","Cincinnati,New York",87,313,291,41,69,11,2,7,37,14,0,56,3,1,4,6,18,2,0.237,0.276,0.361,0.636,664056
Ji Hwan Bae,23,153,Maj-NL,Pittsburgh,90,290,259,43,63,13,0,2,24,24,0,70,2,3,2,3,22,6,0.243,0.31,0.317,0.627,678225
Javier B\xc3\xa1ez,30,153,Maj-AL,Detroit,119,483,451,53,98,13,4,8,54,20,0,111,8,0,3,11,11,0,0.217,0.261,0.317,0.579,595879
Patrick Bailey,24,153,Maj-NL,San Francisco,81,300,274,26,70,17,1,7,45,20,0,80,3,2,1,5,1,0,0.256,0.312,0.402,0.714,672275
Luken Baker,26,156,Maj-NL,St. Louis,16,41,40,3,8,0,0,1,1,1,0,17,0,0,0,1,0,0,0.2,0.22,0.275,0.495,663609
Rylan Bannon,27,278,Maj-AL,Houston,2,6,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,676625
Austin Barnes,33,153,Maj-NL,Los Angeles,49,162,146,10,25,4,0,1,8,12,0,36,2,1,1,6,2,1,0.171,0.242,0.219,0.461,605131
Tucker Barnhart,32,170,Maj-NL,Chicago,43,123,109,6,22,3,0,1,9,12,0,42,1,0,1,4,1,0,0.202,0.285,0.257,0.542,571466
Tres Barrera,28,254,Maj-NL,St. Louis,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,668663
