Name,Age,#days,Lev,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,mlbID
CJ Abrams,22,126,Maj-NL,Washington,151,614,563,83,138,28,6,18,64,32,2,118,13,3,3,7,47,4,0.245,0.3,0.412,0.712,682928
Jos\xc3\xa9 Abreu,36,126,Maj-AL,Houston,141,594,540,62,128,23,1,18,90,42,1,130,6,0,6,16,0,1,0.237,0.296,0.383,0.68,547989
Wilyer Abreu,24,126,Maj-AL,Boston,28,85,76,10,24,6,0,2,14,9,0,23,0,0,0,0,3,1,0.316,0.388,0.474,0.862,677800
Ronald Acuna Jr.,25,126,Maj-NL,Atlanta,159,735,643,149,217,35,4,41,106,80,3,84,9,0,3,15,72,14,0.338,0.416,0.596,1.012,660670
Willy Adames,27,126,Maj-NL,Milwaukee,149,638,553,73,120,29,2,24,80,71,1,165,6,0,6,12,5,3,0.217,0.31,0.407,0.717,642715
Jordyn Adams,23,141,Maj-AL,Los Angeles,17,40,39,1,5,0,0,0,1,0,0,16,0,0,1,0,1,2,0.128,0.125,0.128,0.253,677941
Riley Adams,27,151,Maj-NL,Washington,44,158,143,8,39,13,2,4,21,11,0,45,2,1,1,5,0,0,0.273,0.331,0.476,0.807,656180
Jo Adell,24,126,Maj-AL,Los Angeles,17,62,58,7,12,3,1,3,6,4,0,25,0,0,0,1,1,0,0.207,0.258,0.448,0.706,666176
Ehire Adrianza,33,279,Maj-NL,Atlanta,5,11,10,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0.0,0.091,0.0,0.091,501303
Jes\xc3\xbas Aguilar,33,253,Maj-AL,Oakland,36,115,104,8,23,2,0,5,9,8,2,31,1,0,1,3,0,0,0.221,0.281,0.385,0.665,542583
Nick Ahmed,33,152,Maj-NL,Arizona,72,210,198,14,42,10,1,2,17,12,0,52,0,0,0,0,5,1,0.212,0.257,0.303,0.56,605113
Hanser Alberto,30,249,Maj-AL,Chicago,30,90,82,11,18,5,0,3,16,4,0,13,1,2,1,1,0,0,0.22,0.261,0.39,0.652,593643
Ozzie Albies,26,126,Maj-NL,Atlanta,148,660,596,96,167,30,5,33,109,46,2,107,8,0,8,9,13,1,0.28,0.336,0.513,0.849,645277
Jorge Alfaro,30,188,"Maj-AL,Maj-NL","Boston,Colorado",18,52,48,2,7,4,0,1,4,2,0,15,2,0,0,3,0,0,0.146,0.212,0.292,0.503,595751
Greg Allen,30,168,Maj-AL,New York,22,28,23,6,5,1,1,1,1,2,0,10,2,1,0,0,3,1,0.217,0.333,0.478,0.812,656185
Nick Allen,24,126,Maj-AL,Oakland,106,329,303,29,67,4,2,4,20,17,0,52,1,6,2,8,5,1,0.221,0.263,0.287,0.55,669397
Abraham Almonte,34,162,Maj-NL,New York,8,16,15,1,1,1,0,0,0,1,0,8,0,0,0,0,0,0,0.067,0.125,0.133,0.258,501659
Pete Alonso,28,126,Maj-NL,New York,154,658,568,92,123,21,2,46,118,65,6,151,21,0,4,17,4,1,0.217,0.318,0.504,0.821,624413
Jos\xc3\xa9 Altuve,33,126,Maj-AL,Houston,90,410,360,76,112,21,2,17,51,44,0,71,5,0,1,9,14,2,0.311,0.393,0.522,0.915,514888
Jake Alu,26,126,Maj-NL,Washington,51,175,159,14,36,2,1,2,16,10,0,42,3,1,2,2,5,1,0.226,0.282,0.289,0.571,666906
Francisco \xc3\x81lvarez,21,126,Maj-NL,New York,123,423,382,51,80,12,0,25,63,34,0,110,6,0,1,14,2,0,0.209,0.284,0.437,0.721,682626
Yordan \xc3\x81lvarez,26,126,Maj-AL,Houston,114,496,410,77,120,24,1,31,97,69,5,92,13,0,4,7,0,0,0.293,0.407,0.583,0.99,670541
Jacob Amaya,24,224,Maj-NL,Miami,4,9,9,1,2,0,0,0,2,0,0,1,0,0,0,0,1,0,0.222,0.222,0.222,0.444,676070
Miguel Amaya,24,126,Maj-NL,Chicago,53,156,131,17,28,4,0,5,18,12,0,40,11,1,1,2,0,0,0.214,0.329,0.359,0.688,665804
Brian Anderson,30,130,Maj-NL,Milwaukee,96,361,318,38,72,12,3,9,40,36,0,108,4,0,3,10,1,3,0.226,0.31,0.368,0.678,605119
Tim Anderson,30,127,Maj-AL,Chicago,123,524,493,52,121,18,2,1,25,26,0,122,3,0,2,15,13,2,0.245,0.286,0.296,0.582,641313
Elvis Andrus,34,126,Maj-AL,Chicago,112,406,374,39,94,20,1,6,44,25,1,71,4,1,2,11,12,4,0.251,0.304,0.358,0.662,462101
Miguel And\xc3\xbajar,28,126,Maj-NL,Pittsburgh,30,90,84,9,21,7,0,4,18,6,0,13,0,0,0,1,2,0,0.25,0.3,0.476,0.776,609280
Jonathan Aranda,25,126,Maj-AL,Tampa Bay,34,103,87,13,20,4,1,2,13,13,1,31,2,0,1,1,0,0,0.23,0.34,0.368,0.708,666018
Jonathan Ara\xc3\xbaz,24,140,Maj-NL,New York,27,66,59,3,8,0,0,3,9,5,0,18,0,2,0,1,0,0,0.136,0.203,0.288,0.491,660620
Orlando Arcia,28,126,Maj-NL,Atlanta,139,533,488,66,129,25,0,17,65,39,0,102,3,0,3,14,1,0,0.264,0.321,0.42,0.741,606115
Nolan Arenado,32,136,Maj-NL,St. Louis,144,612,560,71,149,26,2,26,93,41,5,101,3,0,8,21,3,3,0.266,0.315,0.459,0.774,571448
Gabriel Arias,23,131,Maj-AL,Cleveland,122,345,315,36,66,15,0,10,26,28,0,113,1,0,1,9,3,4,0.21,0.275,0.352,0.628,672356
Randy Arozarena,28,127,Maj-AL,Tampa Bay,151,654,551,95,140,19,3,23,83,80,1,156,18,0,5,10,22,10,0.254,0.364,0.425,0.789,668227
Luis Arr\xc3\xa1ez,26,128,Maj-NL,Miami,147,617,574,71,203,30,3,10,69,35,10,34,4,1,3,18,3,2,0.354,0.393,0.469,0.862,650333
Christian Arroyo,28,186,Maj-AL,Boston,66,206,195,23,47,16,0,3,24,7,0,45,1,1,2,8,1,3,0.241,0.268,0.369,0.638,624414
Jos\xc3\xa9 Azocar,27,126,Maj-NL,San Diego,55,102,91,16,21,6,0,2,9,4,0,24,2,5,0,2,8,2,0.231,0.278,0.363,0.641,640492
Akil Baddoo,24,126,Maj-AL,Detroit,112,357,312,40,68,13,1,11,34,42,2,89,0,2,1,4,14,3,0.218,0.31,0.372,0.682,668731
Harrison Bader,29,140,"Maj-AL,Maj-NL","Cincinnati,New York",98,344,319,44,74,12,2,7,40,17,0,59,3,1,4,7,20,3,0.232,0.274,0.348,0.622,664056
Ji Hwan Bae,23,126,Maj-NL,Pittsburgh,111,371,334,54,77,17,2,2,32,30,0,92,2,3,2,4,24,9,0.231,0.296,0.311,0.608,678225
Javier B\xc3\xa1ez,30,126,Maj-AL,Detroit,136,547,510,58,113,18,4,9,59,24,0,125,9,0,3,12,12,0,0.222,0.267,0.326,0.593,595879
Patrick Bailey,24,127,Maj-NL,San Francisco,97,353,326,29,76,18,1,7,48,21,0,100,3,2,1,8,1,0,0.233,0.285,0.359,0.644,672275
Luken Baker,26,126,Maj-NL,St. Louis,33,99,86,9,18,3,0,2,10,13,0,31,0,0,0,1,0,0,0.209,0.313,0.314,0.627,663609
Rylan Bannon,27,280,Maj-AL,Houston,2,6,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,676625
Austin Barnes,33,127,Maj-NL,Los Angeles,59,200,178,15,32,5,0,2,11,17,0,43,2,1,2,7,2,1,0.18,0.256,0.242,0.498,605131
Tucker Barnhart,32,172,Maj-NL,Chicago,43,123,109,6,22,3,0,1,9,12,0,42,1,0,1,4,1,0,0.202,0.285,0.257,0.542,571466
Tres Barrera,28,256,Maj-NL,St. Louis,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,668663
Jos\xc3\xa9 Barrero,25,235,Maj-NL,Cincinnati,46,149,133,15,29,8,0,2,17,15,0,44,0,0,1,1,3,2,0.218,0.295,0.323,0.619,676480
Joey Bart,26,146,Maj-NL,San Francisco,30,95,87,9,18,5,0,0,5,3,0,23,4,0,1,0,0,0,0.207,0.263,0.264,0.528,663698
Osleivis Basabe,22,126,Maj-AL,Tampa Bay,31,94,87,15,19,5,0,1,12,6,0,25,1,0,0,2,0,1,0.218,0.277,0.31,0.587,678545
Matthew Batten,28,126,Maj-NL,San Diego,43,139,120,19,31,6,0,2,11,17,0,30,1,1,0,0,2,2,0.258,0.355,0.358,0.713,676946
Brett Baty,23,126,Maj-NL,New York,108,389,353,41,75,12,0,9,34,29,0,109,2,1,1,8,2,0,0.213,0.275,0.323,0.598,683146
Jake Bauers,27,127,Maj-AL,New York,84,272,242,28,49,15,0,12,30,27,0,95,0,0,3,3,3,2,0.203,0.279,0.413,0.693,641343
Matt Beaty,30,151,"Maj-AL,Maj-NL","Kansas City,San Francisco",30,72,61,8,14,4,0,0,4,6,0,14,5,0,0,1,0,0,0.23,0.347,0.295,0.642,607461
Josh Bell,30,127,"Maj-AL,Maj-NL","Cleveland,Miami",150,617,547,52,135,28,0,22,74,63,2,134,2,0,3,13,0,1,0.247,0.325,0.419,0.744,605137
Cody Bellinger,27,127,Maj-NL,Chicago,130,556,499,95,153,29,1,26,97,40,3,87,5,0,12,7,20,6,0.307,0.356,0.525,0.881,641355
Brandon Belt,35,126,Maj-AL,Toronto,103,404,339,53,86,23,0,19,43,61,1,141,2,0,2,5,0,0,0.254,0.369,0.49,0.859,474832
Anthony Bemboom,33,217,Maj-AL,Baltimore,6,13,11,0,2,0,0,0,0,2,0,2,0,0,0,0,0,0,0.182,0.308,0.182,0.49,621532
Andrew Benintendi,28,128,Maj-AL,Chicago,151,621,562,72,147,34,2,5,45,52,5,89,3,1,3,12,13,2,0.262,0.326,0.356,0.682,643217
Will Benson,25,126,Maj-NL,Cincinnati,108,329,287,51,79,15,8,11,31,40,0,103,1,0,1,3,19,3,0.275,0.365,0.498,0.863,666181
Jon Berti,33,126,Maj-NL,Miami,133,424,388,53,114,16,3,7,33,29,2,77,2,2,3,10,16,6,0.294,0.344,0.405,0.748,542932
Christian Bethancourt,31,127,Maj-AL,Tampa Bay,104,332,315,49,71,16,0,11,33,13,0,91,0,1,3,6,1,0,0.225,0.254,0.381,0.635,542194
Mookie Betts,30,126,Maj-NL,Los Angeles,152,693,584,126,179,40,1,39,107,96,3,107,8,0,5,5,14,3,0.307,0.408,0.579,0.987,605141
Bo Bichette,25,126,Maj-AL,Toronto,135,601,571,69,175,30,3,20,73,27,0,115,2,0,1,14,5,3,0.307,0.339,0.475,0.814,666182
Cavan Biggio,28,126,Maj-AL,Toronto,111,338,289,54,68,12,0,9,40,40,0,88,7,0,2,0,5,2,0.235,0.34,0.37,0.71,624415
Charlie Blackmon,36,126,Maj-NL,Colorado,96,413,359,57,100,24,5,8,40,39,0,55,11,0,4,6,4,1,0.279,0.363,0.44,0.803,453568
Dairon Blanco,30,126,Maj-AL,Kansas City,69,138,124,19,32,7,4,3,18,10,0,33,2,2,0,2,24,5,0.258,0.324,0.452,0.775,680118
Travis Blankenhorn,26,143,Maj-NL,Washington,10,37,31,2,5,0,0,1,1,6,0,6,0,0,0,0,0,0,0.161,0.297,0.258,0.555,663905
JJ Bleday,25,126,Maj-AL,Oakland,82,303,256,35,50,11,0,10,27,42,0,72,2,0,3,3,5,1,0.195,0.31,0.356,0.666,668709
Xander Bogaerts,30,126,Maj-NL,San Diego,155,665,596,83,170,31,2,19,58,56,0,110,7,0,6,21,19,2,0.285,0.35,0.44,0.79,593428
Alec Bohm,26,126,Maj-NL,Philadelphia,145,611,558,74,153,31,0,20,97,42,1,94,5,0,6,23,4,1,0.274,0.327,0.437,0.765,664761
Sean Bouchard,27,126,Maj-NL,Colorado,21,43,38,11,12,2,0,4,7,4,0,14,0,0,1,0,0,1,0.316,0.372,0.684,1.056,656248
Jackie Bradley Jr.,33,242,Maj-AL,Kansas City,43,113,105,10,14,5,0,1,6,5,0,29,2,1,0,3,0,0,0.133,0.188,0.21,0.397,598265
Michael Brantley,36,126,Maj-AL,Houston,15,57,54,7,15,2,0,2,7,2,0,2,0,0,1,2,0,0,0.278,0.298,0.426,0.724,488726
