Name,Age,#days,Lev,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,mlbID
CJ Abrams,22,174,Maj-NL,Washington,109,430,397,57,102,22,4,11,44,19,0,86,10,3,1,6,29,3,0.257,0.307,0.416,0.722,682928
Jos\xc3\xa9 Abreu,36,177,Maj-AL,Houston,110,464,423,43,99,16,0,10,56,31,1,105,5,0,5,12,0,1,0.234,0.291,0.343,0.634,547989
Ronald Acuna Jr.,25,174,Maj-NL,Atlanta,116,536,464,106,156,29,2,26,71,63,2,66,7,0,2,11,53,9,0.336,0.422,0.575,0.997,660670
Willy Adames,27,174,Maj-NL,Milwaukee,106,457,400,49,81,17,0,18,51,46,0,118,4,0,5,9,4,3,0.203,0.288,0.38,0.668,642715
Jordyn Adams,23,174,Maj-AL,Los Angeles,6,6,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,677941
Riley Adams,27,178,Maj-NL,Washington,29,112,101,8,31,9,2,4,15,9,0,28,1,1,0,5,0,0,0.307,0.369,0.555,0.924,656180
Jo Adell,24,209,Maj-AL,Los Angeles,5,14,13,2,3,1,1,1,3,1,0,6,0,0,0,0,0,0,0.231,0.286,0.692,0.978,666176
Ehire Adrianza,33,277,Maj-NL,Atlanta,5,11,10,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0.0,0.091,0.0,0.091,501303
Jes\xc3\xbas Aguilar,33,251,Maj-AL,Oakland,36,115,104,8,23,2,0,5,9,8,2,31,1,0,1,3,0,0,0.221,0.281,0.385,0.665,542583
Nick Ahmed,33,174,Maj-NL,Arizona,58,171,162,13,35,9,0,2,14,9,0,42,0,0,0,0,5,1,0.216,0.257,0.309,0.566,605113
Hanser Alberto,30,247,Maj-AL,Chicago,30,90,82,11,18,5,0,3,16,4,0,13,1,2,1,1,0,0,0.22,0.261,0.39,0.652,593643
Ozzie Albies,26,174,Maj-NL,Atlanta,116,506,454,75,122,21,4,28,90,35,2,82,8,0,7,6,11,0,0.269,0.327,0.518,0.845,645277
Jorge Alfaro,30,186,"Maj-AL,Maj-NL","Boston,Colorado",18,52,48,2,7,4,0,1,4,2,0,15,2,0,0,3,0,0,0.146,0.212,0.292,0.503,595751
Greg Allen,30,175,Maj-AL,New York,19,23,19,6,3,0,1,1,1,2,0,9,1,1,0,0,3,1,0.158,0.273,0.421,0.694,656185
Nick Allen,24,174,Maj-AL,Oakland,65,196,180,17,36,2,1,3,11,11,0,35,0,4,1,5,4,1,0.2,0.245,0.272,0.517,669397
Abraham Almonte,34,174,Maj-NL,New York,4,12,11,1,1,1,0,0,0,1,0,7,0,0,0,0,0,0,0.091,0.167,0.182,0.349,501659
Pete Alonso,28,174,Maj-NL,New York,109,461,399,65,89,11,2,35,87,46,1,94,14,0,2,15,4,0,0.223,0.323,0.524,0.847,624413
Jos\xc3\xa9 Altuve,33,174,Maj-AL,Houston,47,213,181,43,58,12,1,9,27,29,0,35,2,0,1,4,11,2,0.32,0.418,0.547,0.965,514888
Jake Alu,26,174,Maj-NL,Washington,15,51,47,3,12,1,0,1,7,2,0,18,1,0,1,0,3,0,0.255,0.294,0.34,0.635,666906
Francisco \xc3\x81lvarez,21,174,Maj-NL,New York,87,307,281,41,64,8,0,21,44,22,0,75,4,0,0,10,0,0,0.228,0.293,0.48,0.774,682626
Yordan \xc3\x81lvarez,26,174,Maj-AL,Houston,72,307,259,52,72,14,0,21,64,39,2,68,7,0,2,6,0,0,0.278,0.384,0.575,0.96,670541
Jacob Amaya,24,222,Maj-NL,Miami,4,9,9,1,2,0,0,0,2,0,0,1,0,0,0,0,1,0,0.222,0.222,0.222,0.444,676070
Miguel Amaya,24,177,Maj-NL,Chicago,35,112,91,13,23,4,0,3,16,8,0,28,11,1,1,2,0,0,0.253,0.378,0.396,0.774,665804
Brian Anderson,30,178,Maj-NL,Milwaukee,90,347,304,37,69,11,3,9,38,36,0,103,4,0,3,9,0,3,0.227,0.314,0.372,0.686,605119
Tim Anderson,30,174,Maj-AL,Chicago,91,393,367,38,88,12,1,1,21,21,0,86,3,0,2,14,11,1,0.24,0.285,0.286,0.571,641313
Elvis Andrus,34,174,Maj-AL,Chicago,81,288,260,26,58,13,1,3,29,21,1,49,4,1,2,1,8,4,0.223,0.289,0.315,0.605,462101
Miguel And\xc3\xbajar,28,261,Maj-NL,Pittsburgh,13,33,31,2,5,1,0,2,6,2,0,5,0,0,0,0,0,0,0.161,0.212,0.387,0.599,609280
Jonathan Aranda,25,201,Maj-AL,Tampa Bay,4,15,15,2,3,1,0,0,2,0,0,6,0,0,0,0,0,0,0.2,0.2,0.267,0.467,666018
Jonathan Ara\xc3\xbaz,24,174,Maj-NL,New York,7,22,19,0,2,0,0,0,2,3,0,8,0,0,0,0,0,0,0.105,0.227,0.105,0.333,660620
Orlando Arcia,28,174,Maj-NL,Atlanta,95,364,334,49,98,17,0,13,43,27,0,67,2,0,1,12,1,0,0.293,0.349,0.461,0.81,606115
