Name,Age,#days,Lev,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,mlbID
CJ Abrams,22,197,Maj-NL,Washington,89,340,316,47,82,17,4,10,39,13,0,72,8,3,0,5,19,2,0.26,0.306,0.434,0.739,682928
Jos\xc3\xa9 Abreu,36,197,Maj-AL,Houston,95,400,368,33,90,16,0,8,50,24,1,92,3,0,5,11,0,1,0.245,0.293,0.353,0.646,547989
Ronald Acuna Jr.,25,197,Maj-NL,Atlanta,97,446,391,86,129,26,1,23,58,49,2,53,4,0,2,7,44,7,0.33,0.408,0.578,0.986,660670
Willy Adames,27,197,Maj-NL,Milwaukee,89,383,336,44,71,16,0,17,48,37,0,98,3,0,5,9,4,3,0.211,0.291,0.411,0.702,642715
Riley Adams,27,204,Maj-NL,Washington,23,87,79,4,22,5,2,3,10,6,0,26,1,1,0,4,0,0,0.279,0.337,0.506,0.844,656180
Jo Adell,24,211,Maj-AL,Los Angeles,5,14,13,2,3,1,1,1,3,1,0,6,0,0,0,0,0,0,0.231,0.286,0.692,0.978,666176
Ehire Adrianza,33,279,Maj-NL,Atlanta,5,11,10,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0.0,0.091,0.0,0.091,501303
Jes\xc3\xbas Aguilar,33,253,Maj-AL,Oakland,36,115,104,8,23,2,0,5,9,8,2,31,1,0,1,3,0,0,0.221,0.281,0.385,0.665,542583
Nick Ahmed,33,197,Maj-NL,Arizona,51,149,141,13,33,9,0,2,14,8,0,36,0,0,0,0,5,1,0.234,0.275,0.34,0.616,605113
Hanser Alberto,30,249,Maj-AL,Chicago,30,90,82,11,18,5,0,3,16,4,0,13,1,2,1,1,0,0,0.22,0.261,0.39,0.652,593643
Ozzie Albies,26,197,Maj-NL,Atlanta,97,415,371,57,95,17,3,22,66,31,2,63,5,0,6,6,7,0,0.256,0.317,0.496,0.813,645277
Jorge Alfaro,30,197,"Maj-AL,Maj-NL","Boston,Colorado",16,50,47,2,7,4,0,1,4,2,0,15,1,0,0,3,0,0,0.149,0.2,0.298,0.498,595751
Greg Allen,30,247,Maj-AL,New York,10,17,14,5,3,0,1,1,1,1,0,7,1,1,0,0,1,0,0.214,0.313,0.571,0.884,656185
Nick Allen,24,197,Maj-AL,Oakland,52,151,139,13,26,1,0,1,6,8,0,29,0,3,1,2,1,1,0.187,0.23,0.216,0.446,669397
Pete Alonso,28,197,Maj-NL,New York,90,380,332,54,70,9,2,26,63,36,0,79,11,0,1,11,3,0,0.211,0.308,0.485,0.793,624413
Jos\xc3\xa9 Altuve,33,216,Maj-AL,Houston,32,143,121,25,32,8,0,6,18,20,0,25,1,0,1,4,5,1,0.265,0.371,0.479,0.85,514888
Jake Alu,26,204,Maj-NL,Washington,5,15,14,0,3,0,0,0,0,1,0,4,0,0,0,0,1,0,0.214,0.267,0.214,0.481,666906
Francisco \xc3\x81lvarez,21,197,Maj-NL,New York,73,254,234,34,56,7,0,19,41,16,0,65,4,0,0,8,0,0,0.239,0.299,0.513,0.812,682626
Yordan \xc3\x81lvarez,26,241,Maj-AL,Houston,57,242,202,41,56,12,0,17,55,32,2,55,6,0,2,5,0,0,0.277,0.388,0.589,0.978,670541
Jacob Amaya,24,224,Maj-NL,Miami,4,9,9,1,2,0,0,0,2,0,0,1,0,0,0,0,1,0,0.222,0.222,0.222,0.444,676070
Miguel Amaya,24,198,Maj-NL,Chicago,27,89,73,11,20,4,0,2,13,6,0,24,8,1,1,1,0,0,0.274,0.386,0.411,0.797,665804
Brian Anderson,30,210,Maj-NL,Milwaukee,85,334,292,35,67,11,2,9,38,35,0,99,4,0,3,9,0,3,0.23,0.317,0.373,0.691,605119
Tim Anderson,30,197,Maj-AL,Chicago,75,326,306,33,73,10,1,0,16,17,0,67,1,0,2,12,10,1,0.239,0.279,0.278,0.557,641313
Elvis Andrus,34,197,Maj-AL,Chicago,69,251,223,20,47,8,1,2,20,21,1,42,4,1,2,1,6,4,0.211,0.288,0.283,0.571,462101
Miguel And\xc3\xbajar,28,263,Maj-NL,Pittsburgh,13,33,31,2,5,1,0,2,6,2,0,5,0,0,0,0,0,0,0.161,0.212,0.387,0.599,609280
Jonathan Aranda,25,203,Maj-AL,Tampa Bay,4,15,15,2,3,1,0,0,2,0,0,6,0,0,0,0,0,0,0.2,0.2,0.267,0.467,666018
Orlando Arcia,28,197,Maj-NL,Atlanta,76,294,272,40,78,12,0,10,34,21,0,56,1,0,0,10,1,0,0.287,0.34,0.441,0.781,606115
Nolan Arenado,32,197,Maj-NL,St. Louis,95,405,367,47,105,19,2,21,76,29,3,72,2,0,7,12,2,3,0.286,0.336,0.52,0.856,571448
Gabriel Arias,23,197,Maj-AL,Cleveland,72,162,140,14,25,5,0,4,6,22,0,52,0,0,0,5,0,3,0.179,0.29,0.3,0.59,672356
Randy Arozarena,28,197,Maj-AL,Tampa Bay,97,413,350,59,95,10,2,17,62,48,0,101,11,0,4,5,11,7,0.271,0.373,0.457,0.83,668227
Luis Arr\xc3\xa1ez,26,197,Maj-NL,Miami,94,399,363,41,136,21,2,3,47,29,8,22,4,0,3,13,1,2,0.375,0.424,0.468,0.892,650333
Christian Arroyo,28,201,Maj-AL,Boston,58,189,178,23,44,15,0,3,21,7,0,42,1,1,2,6,1,2,0.247,0.277,0.382,0.659,624414
Jos\xc3\xa9 Azocar,27,248,Maj-NL,San Diego,26,55,51,8,12,2,0,0,3,1,0,11,0,3,0,0,6,1,0.235,0.25,0.275,0.525,640492
Akil Baddoo,24,198,Maj-AL,Detroit,59,199,170,20,37,8,0,4,19,27,2,46,0,1,1,2,6,1,0.218,0.323,0.335,0.659,668731
Harrison Bader,29,197,Maj-AL,New York,50,186,174,23,43,6,2,7,31,6,0,30,3,0,3,2,9,2,0.247,0.28,0.425,0.705,664056
Ji Hwan Bae,23,218,Maj-NL,Pittsburgh,76,239,214,37,51,9,0,2,19,18,0,58,2,3,2,2,20,6,0.238,0.301,0.308,0.609,678225
Javier B\xc3\xa1ez,30,197,Maj-AL,Detroit,93,387,364,39,83,12,4,7,46,15,0,85,4,0,3,8,9,0,0.228,0.264,0.341,0.605,595879
Patrick Bailey,24,198,Maj-NL,San Francisco,47,174,163,15,43,12,1,5,29,5,0,50,3,2,1,3,1,0,0.264,0.297,0.442,0.738,672275
Luken Baker,26,214,Maj-NL,St. Louis,7,20,19,2,5,0,0,0,0,1,0,8,0,0,0,0,0,0,0.263,0.3,0.263,0.563,663609
Rylan Bannon,27,280,Maj-AL,Houston,2,6,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,676625
Austin Barnes,33,200,Maj-NL,Los Angeles,35,114,102,4,11,2,0,0,5,10,0,28,1,0,1,3,2,1,0.108,0.193,0.128,0.321,605131
Tucker Barnhart,32,200,Maj-NL,Chicago,39,114,100,5,20,3,0,1,8,12,0,37,1,0,1,3,1,0,0.2,0.29,0.26,0.55,571466
Tres Barrera,28,256,Maj-NL,St. Louis,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,668663
Jos\xc3\xa9 Barrero,25,235,Maj-NL,Cincinnati,46,149,133,15,29,8,0,2,17,15,0,44,0,0,1,1,3,2,0.218,0.295,0.323,0.619,676480
Joey Bart,26,263,Maj-NL,San Francisco,26,84,78,8,18,5,0,0,4,2,0,21,4,0,0,0,0,0,0.231,0.286,0.295,0.581,663698
Matthew Batten,28,197,Maj-NL,San Diego,5,7,5,2,2,0,0,1,2,2,0,1,0,0,0,0,0,1,0.4,0.571,1.0,1.571,676946
Brett Baty,23,197,Maj-NL,New York,73,264,238,32,57,9,0,7,26,20,0,70,2,0,1,7,2,0,0.24,0.303,0.366,0.668,683146
Jake Bauers,27,214,Maj-AL,New York,49,154,134,18,30,12,0,7,19,18,0,46,0,0,2,3,2,0,0.224,0.312,0.47,0.782,641343
Matt Beaty,30,228,"Maj-AL,Maj-NL","Kansas City,San Francisco",7,11,10,1,3,1,0,0,3,1,0,2,0,0,0,0,0,0,0.3,0.364,0.4,0.764,607461
Josh Bell,30,197,Maj-AL,Cleveland,89,361,316,23,76,18,0,11,47,42,1,76,1,0,2,4,0,1,0.241,0.33,0.402,0.732,605137
Cody Bellinger,27,197,Maj-NL,Chicago,67,283,254,52,81,15,1,13,41,22,2,47,2,0,5,3,12,3,0.319,0.371,0.539,0.91,641355
Brandon Belt,35,197,Maj-AL,Toronto,67,258,215,29,54,17,0,7,23,41,1,95,1,0,1,3,0,0,0.251,0.372,0.428,0.8,474832
Anthony Bemboom,33,217,Maj-AL,Baltimore,6,13,11,0,2,0,0,0,0,2,0,2,0,0,0,0,0,0,0.182,0.308,0.182,0.49,621532
