Name,Age,#days,Lev,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,mlbID
CJ Abrams,22,141,Maj-NL,Washington,138,553,507,76,124,22,5,18,57,28,2,110,13,3,2,6,41,4,0.245,0.3,0.414,0.714,682928
Jos\xc3\xa9 Abreu,36,141,Maj-AL,Houston,128,539,490,55,115,19,0,15,79,39,1,116,5,0,5,14,0,1,0.235,0.295,0.365,0.66,547989
Wilyer Abreu,24,141,Maj-AL,Boston,19,61,54,8,20,5,0,1,10,7,0,15,0,0,0,0,3,1,0.37,0.443,0.519,0.961,677800
Ronald Acuna Jr.,25,142,Maj-NL,Atlanta,147,685,597,135,201,32,3,37,98,78,3,78,7,0,3,15,65,13,0.337,0.418,0.586,1.004,660670
Willy Adames,27,141,Maj-NL,Milwaukee,136,584,509,67,108,23,2,24,77,61,0,151,6,0,6,11,4,3,0.212,0.301,0.407,0.707,642715
Jordyn Adams,23,141,Maj-AL,Los Angeles,17,40,39,1,5,0,0,0,1,0,0,16,0,0,1,0,1,2,0.128,0.125,0.128,0.253,677941
Riley Adams,27,151,Maj-NL,Washington,44,158,143,8,39,13,2,4,21,11,0,45,2,1,1,5,0,0,0.273,0.331,0.476,0.807,656180
Jo Adell,24,211,Maj-AL,Los Angeles,5,14,13,2,3,1,1,1,3,1,0,6,0,0,0,0,0,0,0.231,0.286,0.692,0.978,666176
Ehire Adrianza,33,279,Maj-NL,Atlanta,5,11,10,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0.0,0.091,0.0,0.091,501303
Jes\xc3\xbas Aguilar,33,253,Maj-AL,Oakland,36,115,104,8,23,2,0,5,9,8,2,31,1,0,1,3,0,0,0.221,0.281,0.385,0.665,542583
Nick Ahmed,33,152,Maj-NL,Arizona,72,210,198,14,42,10,1,2,17,12,0,52,0,0,0,0,5,1,0.212,0.257,0.303,0.56,605113
