Name,Age,#days,Lev,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,mlbID
CJ Abrams,22,161,Maj-NL,Washington,122,482,445,64,111,22,4,14,49,20,0,96,13,3,1,6,34,3,0.249,0.301,0.411,0.712,682928
Jos\xc3\xa9 Abreu,36,162,Maj-AL,Houston,113,477,436,44,102,17,0,10,59,31,1,107,5,0,5,12,0,1,0.234,0.289,0.342,0.631,547989
Wilyer Abreu,24,161,Maj-AL,Boston,5,19,17,3,6,2,0,1,5,2,0,4,0,0,0,0,0,1,0.353,0.421,0.647,1.068,677800
Ronald Acuna Jr.,25,161,Maj-NL,Atlanta,129,595,518,115,171,30,3,28,74,68,2,73,7,0,2,12,58,11,0.33,0.413,0.562,0.975,660670
Willy Adames,27,161,Maj-NL,Milwaukee,118,508,446,56,96,18,0,21,61,50,0,133,5,0,5,10,4,3,0.215,0.298,0.397,0.695,642715
Jordyn Adams,23,169,Maj-AL,Los Angeles,10,14,14,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0.143,0.143,0.143,0.286,677941
Riley Adams,27,161,Maj-NL,Washington,38,146,133,8,37,12,2,4,19,11,0,43,1,1,0,5,0,0,0.278,0.338,0.489,0.827,656180
Jo Adell,24,211,Maj-AL,Los Angeles,5,14,13,2,3,1,1,1,3,1,0,6,0,0,0,0,0,0,0.231,0.286,0.692,0.978,666176
Ehire Adrianza,33,279,Maj-NL,Atlanta,5,11,10,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0.0,0.091,0.0,0.091,501303
Jes\xc3\xbas Aguilar,33,253,Maj-AL,Oakland,36,115,104,8,23,2,0,5,9,8,2,31,1,0,1,3,0,0,0.221,0.281,0.385,0.665,542583
Nick Ahmed,33,164,Maj-NL,Arizona,65,193,183,14,41,10,1,2,17,10,0,47,0,0,0,0,5,1,0.224,0.264,0.322,0.587,605113
Hanser Alberto,30,249,Maj-AL,Chicago,30,90,82,11,18,5,0,3,16,4,0,13,1,2,1,1,0,0,0.22,0.261,0.39,0.652,593643
Ozzie Albies,26,175,Maj-NL,Atlanta,117,510,457,75,122,21,4,28,90,36,2,83,8,0,7,6,11,0,0.267,0.327,0.514,0.841,645277
Jorge Alfaro,30,188,"Maj-AL,Maj-NL","Boston,Colorado",18,52,48,2,7,4,0,1,4,2,0,15,2,0,0,3,0,0,0.146,0.212,0.292,0.503,595751
Greg Allen,30,168,Maj-AL,New York,22,28,23,6,5,1,1,1,1,2,0,10,2,1,0,0,3,1,0.217,0.333,0.478,0.812,656185
Nick Allen,24,162,Maj-AL,Oakland,78,238,219,21,45,2,1,4,16,13,0,41,1,4,1,5,4,1,0.206,0.252,0.279,0.531,669397
Abraham Almonte,34,162,Maj-NL,New York,8,16,15,1,1,1,0,0,0,1,0,8,0,0,0,0,0,0,0.067,0.125,0.133,0.258,501659
Pete Alonso,28,161,Maj-NL,New York,123,521,449,73,100,14,2,39,96,53,1,114,17,0,2,16,4,1,0.223,0.326,0.523,0.85,624413
Jos\xc3\xa9 Altuve,33,161,Maj-AL,Houston,61,276,236,52,74,15,1,9,30,37,0,47,2,0,1,5,13,2,0.314,0.409,0.5,0.909,514888
Jake Alu,26,161,Maj-NL,Washington,24,79,72,6,18,1,0,1,11,5,0,23,1,0,1,1,4,1,0.25,0.304,0.306,0.609,666906
Francisco \xc3\x81lvarez,21,161,Maj-NL,New York,98,348,316,43,68,8,0,21,47,27,0,88,5,0,0,11,0,0,0.215,0.287,0.44,0.727,682626
Yordan \xc3\x81lvarez,26,161,Maj-AL,Houston,84,362,305,58,85,16,1,21,72,47,3,72,7,0,3,6,0,0,0.279,0.384,0.544,0.928,670541
Jacob Amaya,24,224,Maj-NL,Miami,4,9,9,1,2,0,0,0,2,0,0,1,0,0,0,0,1,0,0.222,0.222,0.222,0.444,676070
Miguel Amaya,24,162,Maj-NL,Chicago,40,125,102,15,24,4,0,4,17,10,0,29,11,1,1,2,0,0,0.235,0.363,0.392,0.755,665804
Brian Anderson,30,166,Maj-NL,Milwaukee,93,355,312,37,70,11,3,9,40,36,0,107,4,0,3,10,0,3,0.224,0.31,0.365,0.675,605119
Tim Anderson,30,161,Maj-AL,Chicago,97,421,394,42,97,16,1,1,22,22,0,98,3,0,2,14,12,1,0.246,0.29,0.3,0.589,641313
Elvis Andrus,34,164,Maj-AL,Chicago,91,330,301,32,72,15,1,5,35,22,1,57,4,1,2,5,11,4,0.239,0.298,0.346,0.643,462101
Miguel And\xc3\xbajar,28,263,Maj-NL,Pittsburgh,13,33,31,2,5,1,0,2,6,2,0,5,0,0,0,0,0,0,0.161,0.212,0.387,0.599,609280
Jonathan Aranda,25,161,Maj-AL,Tampa Bay,11,33,27,4,5,1,0,1,4,4,0,12,1,0,1,1,0,0,0.185,0.303,0.333,0.636,666018
Jonathan Ara\xc3\xbaz,24,162,Maj-NL,New York,19,59,52,2,7,0,0,2,6,5,0,15,0,2,0,1,0,0,0.135,0.211,0.25,0.461,660620
Orlando Arcia,28,161,Maj-NL,Atlanta,108,412,377,53,104,17,0,15,49,31,0,78,2,0,2,13,1,0,0.276,0.333,0.44,0.773,606115
