Name,Age,#days,Lev,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,mlbID
CJ Abrams,22,298,Maj-NL,Washington,12,47,42,3,9,2,2,0,5,3,0,10,1,1,0,0,1,1,0.214,0.283,0.357,0.64,682928
Jos\xc3\xa9 Abreu,36,298,Maj-AL,Houston,13,59,55,2,16,2,0,0,4,3,1,15,1,0,0,0,0,0,0.291,0.339,0.327,0.666,547989
Ronald Acuna Jr.,25,298,Maj-NL,Atlanta,13,62,54,10,20,3,0,2,9,8,0,10,0,0,0,1,6,2,0.37,0.452,0.537,0.989,660670
Willy Adames,27,297,Maj-NL,Milwaukee,13,57,47,9,12,1,0,3,8,9,0,11,0,0,1,3,2,1,0.255,0.368,0.468,0.837,642715
Riley Adams,27,302,Maj-NL,Washington,2,9,9,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0.111,0.111,0.111,0.222,656180
Ehire Adrianza,33,298,Maj-NL,Atlanta,2,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,501303
Jes\xc3\xbas Aguilar,33,297,Maj-AL,Oakland,12,45,40,2,10,1,0,1,4,3,1,12,0,0,1,2,0,0,0.25,0.296,0.35,0.646,542583
Nick Ahmed,33,300,Maj-NL,Arizona,7,25,25,3,10,2,0,0,4,0,0,4,0,0,0,0,3,0,0.4,0.4,0.48,0.88,605113
Hanser Alberto,30,298,Maj-AL,Chicago,7,18,18,3,4,0,0,1,4,0,0,2,0,0,0,1,0,0,0.222,0.222,0.389,0.611,593643
Ozzie Albies,26,298,Maj-NL,Atlanta,13,55,52,4,12,0,0,2,6,2,0,10,0,0,1,2,0,0,0.231,0.255,0.346,0.601,645277
Nick Allen,24,297,Maj-AL,Oakland,8,17,16,2,1,0,0,0,0,1,0,2,0,0,0,1,0,0,0.063,0.118,0.063,0.18,669397
Pete Alonso,28,298,Maj-NL,New York,13,55,48,11,12,1,0,6,12,7,0,9,0,0,0,2,0,0,0.25,0.346,0.646,0.991,624413
Francisco \xc3\x81lvarez,21,299,Maj-NL,New York,2,8,8,0,1,0,0,0,1,0,0,5,0,0,0,0,0,0,0.125,0.125,0.125,0.25,682626
Yordan \xc3\x81lvarez,26,299,Maj-AL,Houston,11,50,40,8,12,2,0,3,16,7,1,11,2,0,1,1,0,0,0.3,0.42,0.575,0.995,670541
Brian Anderson,30,297,Maj-NL,Milwaukee,13,48,39,9,11,1,0,3,10,8,0,13,0,0,1,0,0,1,0.282,0.396,0.539,0.934,605119
Tim Anderson,30,300,Maj-AL,Chicago,11,49,47,9,14,5,0,0,4,2,0,10,0,0,0,0,5,0,0.298,0.327,0.404,0.731,641313
Elvis Andrus,34,298,Maj-AL,Chicago,13,51,48,3,7,1,0,0,4,1,0,9,1,0,1,0,2,0,0.146,0.177,0.167,0.343,462101
Orlando Arcia,28,298,Maj-NL,Atlanta,13,50,45,10,15,2,0,2,7,4,0,10,1,0,0,1,0,0,0.333,0.4,0.511,0.911,606115
Nolan Arenado,32,297,Maj-NL,St. Louis,13,59,53,6,17,2,0,2,13,5,1,9,0,0,1,4,0,0,0.321,0.373,0.472,0.845,571448
Gabriel Arias,23,299,Maj-AL,Cleveland,8,18,16,1,2,1,0,1,1,2,0,8,0,0,0,0,0,0,0.125,0.222,0.375,0.597,672356
Randy Arozarena,28,297,Maj-AL,Tampa Bay,13,58,51,11,16,3,0,3,16,4,0,9,2,0,1,1,2,1,0.314,0.379,0.549,0.928,668227
Luis Arr\xc3\xa1ez,26,298,Maj-NL,Miami,13,52,46,7,23,4,1,1,5,6,0,4,0,0,0,1,0,0,0.5,0.558,0.696,1.253,650333
Christian Arroyo,28,297,Maj-AL,Boston,12,40,37,3,7,2,0,0,3,2,0,9,0,1,0,2,1,0,0.189,0.231,0.243,0.474,624414
Jos\xc3\xa9 Azocar,27,297,Maj-NL,San Diego,12,23,20,4,5,1,0,0,1,1,0,4,0,2,0,0,2,0,0.25,0.286,0.3,0.586,640492
Akil Baddoo,24,297,Maj-AL,Detroit,5,20,16,2,4,1,0,0,0,4,1,4,0,0,0,0,0,0,0.25,0.4,0.313,0.713,668731
Ji Hwan Bae,23,297,Maj-NL,Pittsburgh,11,42,39,7,9,2,0,2,6,3,0,11,0,0,0,0,3,0,0.231,0.286,0.436,0.722,678225
Javier B\xc3\xa1ez,30,297,Maj-AL,Detroit,12,45,41,3,5,1,0,0,1,3,0,8,0,0,0,2,0,0,0.122,0.182,0.146,0.328,595879
Austin Barnes,33,301,Maj-NL,Los Angeles,4,11,11,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,605131
Tucker Barnhart,32,298,Maj-NL,Chicago,6,14,14,1,4,0,0,0,0,0,0,3,0,0,0,1,0,0,0.286,0.286,0.286,0.571,571466
Jos\xc3\xa9 Barrero,25,297,Maj-NL,Cincinnati,10,30,28,3,6,1,0,1,5,2,0,6,0,0,0,0,0,1,0.214,0.267,0.357,0.624,676480
Joey Bart,26,298,Maj-NL,San Francisco,3,8,8,2,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0.375,0.375,0.375,0.75,663698
Matt Beaty,30,304,Maj-NL,San Francisco,2,2,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5,0.5,0.5,1.0,607461
