Name,Age,#days,Lev,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,mlbID
Samad Taylor,24,224,Maj-AL,Kansas City,6,25,21,3,4,0,0,0,2,3,0,6,0,1,0,1,1,0,0.191,0.292,0.191,0.482,669392
Tyrone Taylor,29,246,Maj-NL,Milwaukee,27,78,75,5,12,3,0,1,4,2,0,21,0,0,1,4,4,0,0.16,0.18,0.24,0.42,621438
Rowdy Tellez,28,224,Maj-NL,Milwaukee,69,254,228,22,50,6,1,12,31,24,2,62,0,0,2,9,0,0,0.219,0.291,0.412,0.704,642133
Matt Thaiss,28,226,Maj-AL,Los Angeles,51,155,131,19,35,6,0,3,19,21,0,42,2,0,1,1,1,0,0.267,0.374,0.382,0.756,642136
Alek Thomas,23,224,Maj-NL,Arizona,44,144,134,19,29,7,2,3,13,8,0,30,1,0,1,3,3,1,0.216,0.264,0.366,0.63,677950
Lane Thomas,27,224,Maj-NL,Washington,73,314,290,50,84,19,2,12,37,18,0,80,4,0,2,2,7,2,0.29,0.338,0.493,0.831,657041
Bubba Thompson,25,247,Maj-AL,Texas,36,60,53,10,9,4,1,0,4,4,0,16,1,1,1,0,4,2,0.17,0.237,0.283,0.52,669352
Trayce Thompson,32,244,Maj-NL,Los Angeles,36,87,71,12,11,0,0,5,14,15,0,37,1,0,0,0,0,0,0.155,0.31,0.366,0.677,572204
Michael Toglia,24,253,Maj-NL,Colorado,10,25,23,5,4,1,0,0,0,2,0,9,0,0,0,1,0,0,0.174,0.24,0.217,0.457,669911
Spencer Torkelson,23,224,Maj-AL,Detroit,73,312,276,32,62,17,0,8,34,30,1,74,3,0,3,5,2,0,0.225,0.305,0.373,0.678,679529
Abraham Toro,26,236,Maj-NL,Milwaukee,5,9,8,1,4,0,0,1,5,0,0,3,1,0,0,0,0,0,0.5,0.556,0.875,1.431,647351
Luis Torrens,27,285,Maj-NL,Chicago,12,22,20,1,5,1,0,0,3,1,0,8,1,0,0,0,0,0,0.25,0.318,0.3,0.618,620443
Gleyber Torres,26,224,Maj-AL,New York,75,312,277,42,69,10,1,12,30,31,0,42,1,0,3,6,6,5,0.249,0.324,0.422,0.746,650402
Ezequiel Tovar,21,224,Maj-NL,Colorado,71,269,255,33,66,19,1,6,31,11,0,74,2,0,1,3,3,2,0.259,0.294,0.412,0.706,678662
Taylor Trammell,25,247,Maj-AL,Seattle,20,54,45,6,6,0,0,3,11,8,0,21,1,0,0,2,0,1,0.133,0.278,0.333,0.611,666211
Alan Trejo,27,237,Maj-NL,Colorado,41,119,112,10,27,8,0,0,13,5,0,27,0,1,1,2,4,0,0.241,0.271,0.313,0.584,676701
Jose Trevino,30,224,Maj-AL,New York,43,136,129,12,28,3,0,3,13,7,0,19,0,0,0,5,0,0,0.217,0.257,0.31,0.568,624431
Chadwick Tromp,28,271,Maj-NL,Atlanta,6,16,16,1,2,1,0,0,1,0,0,7,0,0,0,0,0,0,0.125,0.125,0.188,0.313,644433
Mike Trout,31,224,Maj-AL,Los Angeles,72,321,272,47,68,13,0,16,40,41,2,90,6,0,2,3,1,0,0.25,0.358,0.474,0.833,545361
Kyle Tucker,26,224,Maj-AL,Houston,74,309,267,34,73,15,0,10,42,33,2,39,0,0,5,6,14,1,0.273,0.348,0.442,0.789,663656
Brice Turang,23,241,Maj-NL,Milwaukee,57,177,166,16,34,4,2,3,14,11,0,48,0,0,0,4,9,3,0.205,0.254,0.307,0.561,668930
Justin Turner,38,224,Maj-AL,Boston,73,316,279,45,78,16,0,11,40,30,0,48,5,0,2,5,4,0,0.28,0.358,0.455,0.813,457759
Trea Turner,30,224,Maj-NL,Philadelphia,74,332,308,42,75,16,2,7,24,23,2,76,1,0,0,1,13,0,0.244,0.298,0.377,0.675,607208
Luis Ur\xc3\xadas,26,224,Maj-NL,Milwaukee,15,55,44,5,6,2,0,1,5,5,0,14,5,0,0,0,0,0,0.136,0.296,0.25,0.546,649966
Ram\xc3\xb3n Ur\xc3\xadas,29,224,Maj-AL,Baltimore,52,186,168,21,44,12,0,3,23,11,0,53,6,0,1,4,3,1,0.262,0.328,0.387,0.715,602104
Gio Urshela,31,232,Maj-AL,Los Angeles,62,228,214,22,64,8,1,2,24,10,0,36,1,0,3,9,3,2,0.299,0.329,0.374,0.703,570482
Enmanuel Valdez,24,240,Maj-AL,Boston,33,101,94,9,22,4,0,4,11,5,0,27,1,0,0,2,4,1,0.234,0.28,0.404,0.684,665839
Ildemaro Vargas,31,224,Maj-NL,Washington,25,67,65,11,18,3,1,2,10,1,0,3,0,1,0,4,0,0,0.277,0.288,0.446,0.734,545121
Miguel Vargas,23,224,Maj-NL,Los Angeles,70,271,231,32,47,14,3,7,30,33,1,53,2,1,3,1,3,2,0.204,0.305,0.381,0.686,678246
Daulton Varsho,26,224,Maj-AL,Toronto,76,306,276,35,62,11,0,12,28,25,0,66,2,0,3,3,10,2,0.225,0.291,0.395,0.686,662139
Andrew Vaughn,25,224,Maj-AL,Chicago,75,314,277,35,67,19,1,11,44,26,0,58,9,0,2,11,0,0,0.242,0.325,0.437,0.762,683734
Terrin Vavra,26,247,Maj-AL,Baltimore,27,56,49,9,12,0,0,0,5,5,0,12,0,2,0,5,1,0,0.245,0.315,0.245,0.56,679631
