Name,Age,#days,Lev,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,mlbID
CJ Abrams,22,263,Maj-NL,Washington,41,149,139,16,34,5,2,4,22,6,0,35,3,1,0,2,5,2,0.245,0.291,0.396,0.686,682928
Jos\xc3\xa9 Abreu,36,263,Maj-AL,Houston,42,175,164,10,36,7,0,0,17,10,1,42,1,0,0,4,0,0,0.22,0.269,0.262,0.531,547989
Ronald Acuna Jr.,25,263,Maj-NL,Atlanta,43,197,168,40,58,12,0,11,27,26,2,27,2,0,1,3,18,2,0.345,0.437,0.613,1.05,660670
Willy Adames,27,263,Maj-NL,Milwaukee,43,185,157,20,33,5,0,7,24,22,0,47,1,0,3,5,4,1,0.21,0.306,0.376,0.682,642715
Riley Adams,27,266,Maj-NL,Washington,7,29,26,2,5,1,0,1,5,2,0,10,0,1,0,2,0,0,0.192,0.25,0.346,0.596,656180
Ehire Adrianza,33,279,Maj-NL,Atlanta,5,11,10,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0.0,0.091,0.0,0.091,501303
Jes\xc3\xbas Aguilar,33,264,Maj-AL,Oakland,33,106,95,8,22,2,0,5,9,8,2,30,1,0,1,2,0,0,0.232,0.295,0.411,0.706,542583
Nick Ahmed,33,264,Maj-NL,Arizona,26,82,78,9,20,4,0,1,10,4,0,14,0,0,0,0,3,0,0.256,0.293,0.346,0.639,605113
Hanser Alberto,30,263,Maj-AL,Chicago,23,73,66,10,16,4,0,3,12,4,0,11,1,1,1,1,0,0,0.242,0.292,0.439,0.731,593643
Ozzie Albies,26,263,Maj-NL,Atlanta,43,181,170,19,45,9,1,10,31,7,1,30,3,0,1,4,1,0,0.265,0.304,0.506,0.81,645277
Nick Allen,24,263,Maj-AL,Oakland,24,69,62,7,13,1,0,1,2,4,0,13,0,3,0,2,0,0,0.21,0.258,0.274,0.532,669397
Pete Alonso,28,263,Maj-NL,New York,44,188,164,29,38,3,0,15,36,22,0,42,2,0,0,6,0,0,0.232,0.33,0.524,0.854,624413
Jake Alu,26,266,Maj-NL,Washington,3,10,9,0,1,0,0,0,0,1,0,3,0,0,0,0,1,0,0.111,0.2,0.111,0.311,666906
Francisco \xc3\x81lvarez,21,263,Maj-NL,New York,26,84,78,8,17,4,0,4,9,6,0,23,0,0,0,2,0,0,0.218,0.274,0.423,0.697,682626
Yordan \xc3\x81lvarez,26,263,Maj-AL,Houston,37,160,136,23,39,9,0,9,39,19,1,39,4,0,1,1,0,0,0.287,0.388,0.552,0.939,670541
Miguel Amaya,24,271,Maj-NL,Chicago,6,17,13,0,3,0,0,0,2,0,0,2,2,1,1,1,0,0,0.231,0.313,0.231,0.543,665804
Brian Anderson,30,263,Maj-NL,Milwaukee,41,163,141,21,34,5,1,6,22,18,0,45,2,0,2,4,0,3,0.241,0.331,0.418,0.75,605119
Tim Anderson,30,263,Maj-AL,Chicago,25,112,106,13,28,5,0,0,6,6,0,23,0,0,0,4,6,0,0.264,0.304,0.311,0.615,641313
Elvis Andrus,34,268,Maj-AL,Chicago,39,151,134,11,27,4,0,1,13,12,1,26,3,1,1,0,5,1,0.202,0.28,0.254,0.534,462101
Miguel And\xc3\xbajar,28,263,Maj-NL,Pittsburgh,13,33,31,2,5,1,0,2,6,2,0,5,0,0,0,0,0,0,0.161,0.212,0.387,0.599,609280
Orlando Arcia,28,263,Maj-NL,Atlanta,22,84,76,15,26,7,0,4,12,7,0,15,1,0,0,4,0,0,0.342,0.405,0.592,0.997,606115
