Name,Age,#days,Lev,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,mlbID
CJ Abrams,22,264,Maj-NL,Washington,38,138,128,14,32,5,2,3,21,6,0,29,3,1,0,2,4,2,0.25,0.299,0.391,0.69,682928
Jos\xc3\xa9 Abreu,36,264,Maj-AL,Houston,39,164,154,9,33,6,0,0,14,9,1,37,1,0,0,4,0,0,0.214,0.262,0.253,0.515,547989
Ronald Acuna Jr.,25,264,Maj-NL,Atlanta,40,183,156,36,54,12,0,8,23,24,2,24,2,0,1,3,17,2,0.346,0.437,0.577,1.014,660670
Willy Adames,27,264,Maj-NL,Milwaukee,40,172,146,20,32,4,0,7,23,20,0,41,1,0,3,5,3,1,0.219,0.312,0.39,0.702,642715
Riley Adams,27,264,Maj-NL,Washington,7,29,26,2,5,1,0,1,5,2,0,10,0,1,0,2,0,0,0.192,0.25,0.346,0.596,656180
Ehire Adrianza,33,277,Maj-NL,Atlanta,5,11,10,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0.0,0.091,0.0,0.091,501303
Jes\xc3\xbas Aguilar,33,264,Maj-AL,Oakland,32,104,93,8,22,2,0,5,9,8,2,28,1,0,1,2,0,0,0.237,0.301,0.419,0.72,542583
Nick Ahmed,33,266,Maj-NL,Arizona,25,76,72,8,19,3,0,1,9,4,0,12,0,0,0,0,3,0,0.264,0.303,0.347,0.65,605113
Hanser Alberto,30,264,Maj-AL,Chicago,21,65,59,9,14,4,0,3,12,3,0,11,1,1,1,1,0,0,0.237,0.281,0.458,0.739,593643
Ozzie Albies,26,264,Maj-NL,Atlanta,40,168,158,17,41,7,1,10,29,7,1,27,2,0,1,4,1,0,0.26,0.298,0.506,0.804,645277
Nick Allen,24,264,Maj-AL,Oakland,21,57,52,5,8,1,0,0,1,3,0,11,0,2,0,2,0,0,0.154,0.2,0.173,0.373,669397
Pete Alonso,28,264,Maj-NL,New York,41,175,151,26,35,3,0,13,31,22,0,41,2,0,0,4,0,0,0.232,0.337,0.51,0.847,624413
Jake Alu,26,264,Maj-NL,Washington,3,10,9,0,1,0,0,0,0,1,0,3,0,0,0,0,1,0,0.111,0.2,0.111,0.311,666906
Francisco \xc3\x81lvarez,21,264,Maj-NL,New York,23,73,69,7,15,3,0,3,6,4,0,21,0,0,0,2,0,0,0.217,0.26,0.391,0.652,682626
Yordan \xc3\x81lvarez,26,264,Maj-AL,Houston,34,147,125,21,36,8,0,9,37,17,1,34,4,0,1,1,0,0,0.288,0.388,0.568,0.956,670541
Miguel Amaya,24,269,Maj-NL,Chicago,6,17,13,0,3,0,0,0,2,0,0,2,2,1,1,1,0,0,0.231,0.313,0.231,0.543,665804
