Name,Age,#days,Lev,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,mlbID
CJ Abrams,22,170,Maj-NL,Washington,114,448,412,59,104,22,4,12,47,20,0,89,12,3,1,6,33,3,0.252,0.306,0.413,0.718,682928
Jos\xc3\xa9 Abreu,36,179,Maj-AL,Houston,110,464,423,43,99,16,0,10,56,31,1,105,5,0,5,12,0,1,0.234,0.291,0.343,0.634,547989
Ronald Acuna Jr.,25,170,Maj-NL,Atlanta,121,560,485,110,162,29,2,27,73,66,2,69,7,0,2,11,54,10,0.334,0.42,0.569,0.989,660670
Willy Adames,27,170,Maj-NL,Milwaukee,111,476,418,50,86,18,0,18,52,47,0,126,4,0,5,9,4,3,0.206,0.289,0.378,0.667,642715
Jordyn Adams,23,173,Maj-AL,Los Angeles,8,9,9,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,677941
Riley Adams,27,171,Maj-NL,Washington,31,122,110,8,34,11,2,4,17,10,0,31,1,1,0,5,0,0,0.309,0.372,0.555,0.926,656180
Jo Adell,24,211,Maj-AL,Los Angeles,5,14,13,2,3,1,1,1,3,1,0,6,0,0,0,0,0,0,0.231,0.286,0.692,0.978,666176
Ehire Adrianza,33,279,Maj-NL,Atlanta,5,11,10,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0.0,0.091,0.0,0.091,501303
Jes\xc3\xbas Aguilar,33,253,Maj-AL,Oakland,36,115,104,8,23,2,0,5,9,8,2,31,1,0,1,3,0,0,0.221,0.281,0.385,0.665,542583
Nick Ahmed,33,171,Maj-NL,Arizona,61,181,172,13,39,10,1,2,17,9,0,44,0,0,0,0,5,1,0.227,0.265,0.331,0.597,605113
Hanser Alberto,30,249,Maj-AL,Chicago,30,90,82,11,18,5,0,3,16,4,0,13,1,2,1,1,0,0,0.22,0.261,0.39,0.652,593643
Ozzie Albies,26,175,Maj-NL,Atlanta,117,510,457,75,122,21,4,28,90,36,2,83,8,0,7,6,11,0,0.267,0.327,0.514,0.841,645277
Jorge Alfaro,30,188,"Maj-AL,Maj-NL","Boston,Colorado",18,52,48,2,7,4,0,1,4,2,0,15,2,0,0,3,0,0,0.146,0.212,0.292,0.503,595751
Greg Allen,30,174,Maj-AL,New York,20,24,20,6,3,0,1,1,1,2,0,10,1,1,0,0,3,1,0.15,0.261,0.4,0.661,656185
Nick Allen,24,170,Maj-AL,Oakland,70,212,194,19,39,2,1,3,11,12,0,37,1,4,1,5,4,1,0.201,0.25,0.268,0.518,669397
Abraham Almonte,34,176,Maj-NL,New York,4,12,11,1,1,1,0,0,0,1,0,7,0,0,0,0,0,0,0.091,0.167,0.182,0.349,501659
Pete Alonso,28,170,Maj-NL,New York,115,487,421,68,93,12,2,37,91,49,1,102,15,0,2,16,4,1,0.221,0.322,0.523,0.845,624413
Jos\xc3\xa9 Altuve,33,170,Maj-AL,Houston,52,233,198,44,63,13,1,9,29,32,0,37,2,0,1,4,12,2,0.318,0.416,0.53,0.947,514888
Jake Alu,26,170,Maj-NL,Washington,17,59,55,4,14,1,0,1,9,2,0,20,1,0,1,0,3,0,0.255,0.288,0.327,0.615,666906
Francisco \xc3\x81lvarez,21,170,Maj-NL,New York,92,326,296,43,66,8,0,21,45,26,0,79,4,0,0,10,0,0,0.223,0.295,0.463,0.757,682626
Yordan \xc3\x81lvarez,26,170,Maj-AL,Houston,77,328,276,55,77,15,1,21,64,43,2,69,7,0,2,6,0,0,0.279,0.387,0.569,0.956,670541
Jacob Amaya,24,224,Maj-NL,Miami,4,9,9,1,2,0,0,0,2,0,0,1,0,0,0,0,1,0,0.222,0.222,0.222,0.444,676070
Miguel Amaya,24,175,Maj-NL,Chicago,36,115,94,13,23,4,0,3,16,8,0,28,11,1,1,2,0,0,0.245,0.368,0.383,0.751,665804
Brian Anderson,30,172,Maj-NL,Milwaukee,92,351,308,37,69,11,3,9,38,36,0,105,4,0,3,10,0,3,0.224,0.311,0.367,0.677,605119
Tim Anderson,30,172,Maj-AL,Chicago,92,397,370,38,88,12,1,1,21,22,0,87,3,0,2,14,11,1,0.238,0.285,0.284,0.568,641313
Elvis Andrus,34,170,Maj-AL,Chicago,85,306,278,28,66,13,1,4,34,21,1,52,4,1,2,2,9,4,0.237,0.298,0.335,0.633,462101
Miguel And\xc3\xbajar,28,263,Maj-NL,Pittsburgh,13,33,31,2,5,1,0,2,6,2,0,5,0,0,0,0,0,0,0.161,0.212,0.387,0.599,609280
Jonathan Aranda,25,203,Maj-AL,Tampa Bay,4,15,15,2,3,1,0,0,2,0,0,6,0,0,0,0,0,0,0.2,0.2,0.267,0.467,666018
Jonathan Ara\xc3\xbaz,24,170,Maj-NL,New York,12,42,38,2,4,0,0,2,5,4,0,13,0,0,0,0,0,0,0.105,0.191,0.263,0.454,660620
Orlando Arcia,28,170,Maj-NL,Atlanta,100,384,353,50,99,17,0,13,44,28,0,72,2,0,1,12,1,0,0.281,0.336,0.439,0.775,606115
Nolan Arenado,32,170,Maj-NL,St. Louis,117,499,457,57,129,22,2,25,84,32,4,87,3,0,7,18,2,3,0.282,0.329,0.503,0.832,571448
Gabriel Arias,23,170,Maj-AL,Cleveland,92,227,202,20,40,7,0,7,14,25,0,77,0,0,0,7,1,4,0.198,0.286,0.337,0.623,672356
Randy Arozarena,28,170,Maj-AL,Tampa Bay,118,505,427,71,110,13,2,18,68,60,0,121,14,0,4,7,15,9,0.258,0.364,0.424,0.788,668227
Luis Arr\xc3\xa1ez,26,170,Maj-NL,Miami,117,497,457,52,165,27,3,5,58,32,8,29,4,1,3,15,1,2,0.361,0.405,0.466,0.871,650333
Christian Arroyo,28,186,Maj-AL,Boston,66,206,195,23,47,16,0,3,24,7,0,45,1,1,2,8,1,3,0.241,0.268,0.369,0.638,624414
Jos\xc3\xa9 Azocar,27,170,Maj-NL,San Diego,30,59,55,9,13,3,0,0,3,1,0,13,0,3,0,0,6,1,0.236,0.25,0.291,0.541,640492
Akil Baddoo,24,170,Maj-AL,Detroit,80,266,232,30,52,11,0,8,26,31,2,65,0,2,1,3,7,3,0.224,0.314,0.375,0.689,668731
Harrison Bader,29,170,Maj-AL,New York,73,274,255,37,65,10,2,7,37,11,0,48,3,1,4,6,14,2,0.255,0.289,0.392,0.682,664056
Ji Hwan Bae,23,170,Maj-NL,Pittsburgh,77,244,218,37,53,10,0,2,19,19,0,59,2,3,2,2,20,6,0.243,0.307,0.317,0.624,678225
Javier B\xc3\xa1ez,30,170,Maj-AL,Detroit,110,448,420,50,94,12,4,7,50,18,0,103,6,0,3,10,11,0,0.224,0.264,0.321,0.585,595879
Patrick Bailey,24,170,Maj-NL,San Francisco,69,255,235,22,62,15,1,6,39,14,0,65,3,2,1,5,1,0,0.264,0.312,0.413,0.725,672275
Luken Baker,26,170,Maj-NL,St. Louis,10,30,29,2,6,0,0,0,0,1,0,13,0,0,0,0,0,0,0.207,0.233,0.207,0.44,663609
Rylan Bannon,27,280,Maj-AL,Houston,2,6,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,676625
Austin Barnes,33,170,Maj-NL,Los Angeles,44,142,127,6,19,2,0,1,7,11,0,32,2,1,1,6,2,1,0.15,0.227,0.189,0.416,605131
