Name,Age,#days,Lev,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,mlbID
CJ Abrams,22,302,Maj-NL,Washington,8,31,26,3,7,1,2,0,3,3,0,6,1,1,0,0,0,1,0.269,0.367,0.462,0.828,682928
Jos\xc3\xa9 Abreu,36,302,Maj-AL,Houston,9,40,37,2,12,1,0,0,3,2,0,11,1,0,0,0,0,0,0.324,0.375,0.351,0.726,547989
Ronald Acuna Jr.,25,302,Maj-NL,Atlanta,9,44,39,10,11,2,0,2,4,5,0,7,0,0,0,1,4,1,0.282,0.364,0.487,0.851,660670
Willy Adames,27,302,Maj-NL,Milwaukee,8,34,28,6,8,0,0,1,4,5,0,7,0,0,1,1,0,1,0.286,0.382,0.393,0.775,642715
Riley Adams,27,302,Maj-NL,Washington,2,9,9,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0.111,0.111,0.111,0.222,656180
Jes\xc3\xbas Aguilar,33,302,Maj-AL,Oakland,7,28,24,1,6,1,0,1,3,3,1,6,0,0,0,1,0,0,0.25,0.333,0.417,0.75,542583
Nick Ahmed,33,303,Maj-NL,Arizona,5,16,16,2,5,1,0,0,2,0,0,3,0,0,0,0,1,0,0.313,0.313,0.375,0.688,605113
Hanser Alberto,30,304,Maj-AL,Chicago,4,9,9,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.667,593643
Ozzie Albies,26,302,Maj-NL,Atlanta,9,39,36,1,8,0,0,1,4,2,0,4,0,0,1,2,0,0,0.222,0.256,0.306,0.562,645277
Nick Allen,24,302,Maj-AL,Oakland,5,12,12,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.0,0.0,0.0,0.0,669397
Pete Alonso,28,302,Maj-NL,New York,9,39,34,8,8,1,0,5,10,5,0,5,0,0,0,1,0,0,0.235,0.333,0.706,1.039,624413
Yordan \xc3\x81lvarez,26,302,Maj-AL,Houston,8,35,29,6,9,1,0,3,14,4,0,7,1,0,1,0,0,0,0.31,0.4,0.655,1.055,670541
Brian Anderson,30,302,Maj-NL,Milwaukee,8,31,24,8,10,1,0,3,10,6,0,8,0,0,1,0,0,1,0.417,0.516,0.833,1.349,605119
Tim Anderson,30,302,Maj-AL,Chicago,9,42,40,9,14,5,0,0,4,2,0,9,0,0,0,0,5,0,0.35,0.381,0.475,0.856,641313
Elvis Andrus,34,302,Maj-AL,Chicago,9,38,35,3,6,1,0,0,4,1,0,4,1,0,1,0,2,0,0.171,0.211,0.2,0.411,462101
Orlando Arcia,28,302,Maj-NL,Atlanta,9,37,35,7,10,2,0,2,4,2,0,9,0,0,0,1,0,0,0.286,0.324,0.514,0.839,606115
Nolan Arenado,32,302,Maj-NL,St. Louis,8,36,33,4,12,1,0,1,8,2,0,5,0,0,1,3,0,0,0.364,0.389,0.485,0.874,571448
Gabriel Arias,23,302,Maj-AL,Cleveland,7,15,13,1,2,1,0,1,1,2,0,6,0,0,0,0,0,0,0.154,0.267,0.462,0.728,672356
Randy Arozarena,28,302,Maj-AL,Tampa Bay,8,36,30,8,11,3,0,2,10,4,0,4,2,0,0,0,0,0,0.367,0.472,0.667,1.139,668227
Luis Arr\xc3\xa1ez,26,302,Maj-NL,Miami,9,34,30,3,14,2,0,0,3,4,0,3,0,0,0,1,0,0,0.467,0.529,0.533,1.063,650333
Christian Arroyo,28,302,Maj-AL,Boston,8,27,24,2,5,1,0,0,3,2,0,6,0,1,0,1,1,0,0.208,0.269,0.25,0.519,624414
Jos\xc3\xa9 Azocar,27,302,Maj-NL,San Diego,8,17,14,4,4,1,0,0,1,1,0,1,0,2,0,0,2,0,0.286,0.333,0.357,0.69,640492
Akil Baddoo,24,302,Maj-AL,Detroit,1,5,5,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0.4,0.4,0.4,0.8,668731
Ji Hwan Bae,23,302,Maj-NL,Pittsburgh,7,28,27,5,7,2,0,1,3,1,0,6,0,0,0,0,2,0,0.259,0.286,0.444,0.73,678225
Javier B\xc3\xa1ez,30,302,Maj-AL,Detroit,8,32,29,1,2,0,0,0,1,2,0,7,0,0,0,1,0,0,0.069,0.129,0.069,0.198,595879
Austin Barnes,33,303,Maj-NL,Los Angeles,3,9,9,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,605131
Tucker Barnhart,32,303,Maj-NL,Chicago,3,8,8,1,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0.25,0.25,0.25,0.5,571466
Jos\xc3\xa9 Barrero,25,302,Maj-NL,Cincinnati,5,14,14,0,2,0,0,0,1,0,0,3,0,0,0,0,0,1,0.143,0.143,0.143,0.286,676480
Joey Bart,26,311,Maj-NL,San Francisco,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,663698
Matt Beaty,30,304,Maj-NL,San Francisco,2,2,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5,0.5,0.5,1.0,607461
Josh Bell,30,302,Maj-AL,Cleveland,8,38,29,1,3,0,0,0,2,8,1,10,0,0,1,0,0,1,0.103,0.29,0.103,0.393,605137
