Name,Age,#days,Lev,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,mlbID
CJ Abrams,22,209,Maj-NL,Washington,80,297,277,35,66,16,3,7,34,12,0,67,7,1,0,5,13,2,0.238,0.287,0.394,0.681,682928
Jos\xc3\xa9 Abreu,36,209,Maj-AL,Houston,86,360,330,29,78,15,0,7,45,22,1,82,3,0,5,11,0,1,0.236,0.286,0.346,0.632,547989
Ronald Acuna Jr.,25,209,Maj-NL,Atlanta,88,405,355,79,119,25,1,21,55,44,2,49,4,0,2,7,40,7,0.335,0.412,0.589,1.001,660670
Willy Adames,27,209,Maj-NL,Milwaukee,80,345,301,40,64,13,0,16,46,34,0,87,3,0,5,8,4,2,0.213,0.295,0.415,0.71,642715
Riley Adams,27,210,Maj-NL,Washington,22,83,75,4,20,5,2,3,9,6,0,25,1,1,0,4,0,0,0.267,0.329,0.507,0.836,656180
Jo Adell,24,209,Maj-AL,Los Angeles,5,14,13,2,3,1,1,1,3,1,0,6,0,0,0,0,0,0,0.231,0.286,0.692,0.978,666176
Ehire Adrianza,33,277,Maj-NL,Atlanta,5,11,10,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0.0,0.091,0.0,0.091,501303
Jes\xc3\xbas Aguilar,33,251,Maj-AL,Oakland,36,115,104,8,23,2,0,5,9,8,2,31,1,0,1,3,0,0,0.221,0.281,0.385,0.665,542583
Nick Ahmed,33,210,Maj-NL,Arizona,47,141,133,12,30,7,0,2,12,8,0,33,0,0,0,0,4,1,0.226,0.27,0.323,0.593,605113
Hanser Alberto,30,247,Maj-AL,Chicago,30,90,82,11,18,5,0,3,16,4,0,13,1,2,1,1,0,0,0.22,0.261,0.39,0.652,593643
Ozzie Albies,26,209,Maj-NL,Atlanta,88,375,339,48,89,15,2,22,63,26,2,56,3,0,5,6,6,0,0.263,0.316,0.513,0.83,645277
Jorge Alfaro,30,209,"Maj-AL,Maj-NL","Boston,Colorado",11,33,32,2,5,4,0,1,4,0,0,12,1,0,0,2,0,0,0.156,0.182,0.375,0.557,595751
