Name,Age,#days,Lev,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,mlbID
CJ Abrams,22,135,Maj-NL,Washington,144,581,531,80,131,26,6,18,62,32,2,112,13,3,2,7,43,4,0.247,0.305,0.42,0.725,682928
Jos\xc3\xa9 Abreu,36,134,Maj-AL,Houston,134,565,513,58,120,20,0,17,83,40,1,124,6,0,6,15,0,1,0.234,0.294,0.372,0.666,547989
Wilyer Abreu,24,137,Maj-AL,Boston,21,62,55,8,20,5,0,1,10,7,0,16,0,0,0,0,3,1,0.364,0.436,0.509,0.945,677800
Ronald Acuna Jr.,25,135,Maj-NL,Atlanta,152,710,621,143,209,34,4,40,101,78,3,80,8,0,3,15,67,13,0.337,0.416,0.597,1.013,660670
Willy Adames,27,134,Maj-NL,Milwaukee,143,614,532,73,113,26,2,24,78,68,1,159,6,0,6,11,5,3,0.212,0.306,0.404,0.71,642715
Jordyn Adams,23,141,Maj-AL,Los Angeles,17,40,39,1,5,0,0,0,1,0,0,16,0,0,1,0,1,2,0.128,0.125,0.128,0.253,677941
Riley Adams,27,151,Maj-NL,Washington,44,158,143,8,39,13,2,4,21,11,0,45,2,1,1,5,0,0,0.273,0.331,0.476,0.807,656180
Jo Adell,24,134,Maj-AL,Los Angeles,10,35,31,6,7,2,1,3,6,4,0,14,0,0,0,1,0,0,0.226,0.314,0.645,0.96,666176
Ehire Adrianza,33,279,Maj-NL,Atlanta,5,11,10,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0.0,0.091,0.0,0.091,501303
Jes\xc3\xbas Aguilar,33,253,Maj-AL,Oakland,36,115,104,8,23,2,0,5,9,8,2,31,1,0,1,3,0,0,0.221,0.281,0.385,0.665,542583
Nick Ahmed,33,152,Maj-NL,Arizona,72,210,198,14,42,10,1,2,17,12,0,52,0,0,0,0,5,1,0.212,0.257,0.303,0.56,605113
Hanser Alberto,30,249,Maj-AL,Chicago,30,90,82,11,18,5,0,3,16,4,0,13,1,2,1,1,0,0,0.22,0.261,0.39,0.652,593643
Ozzie Albies,26,135,Maj-NL,Atlanta,140,622,563,90,155,28,4,32,104,41,2,101,8,0,8,8,13,0,0.275,0.329,0.51,0.839,645277
