Name,Age,#days,Lev,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,mlbID
CJ Abrams,22,295,Maj-NL,Washington,14,55,48,4,10,2,2,0,5,4,0,11,2,1,0,0,3,1,0.208,0.296,0.333,0.63,682928
Jos\xc3\xa9 Abreu,36,295,Maj-AL,Houston,15,67,63,3,16,2,0,0,5,3,1,18,1,0,0,0,0,0,0.254,0.299,0.286,0.584,547989
Ronald Acuna Jr.,25,295,Maj-NL,Atlanta,15,73,63,15,23,3,0,3,11,9,0,11,1,0,0,1,6,2,0.365,0.452,0.556,1.008,660670
Willy Adames,27,295,Maj-NL,Milwaukee,15,67,55,12,15,2,0,3,9,11,0,11,0,0,1,3,2,1,0.273,0.388,0.473,0.861,642715
Riley Adams,27,302,Maj-NL,Washington,2,9,9,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0.111,0.111,0.111,0.222,656180
Ehire Adrianza,33,298,Maj-NL,Atlanta,2,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,501303
Jes\xc3\xbas Aguilar,33,295,Maj-AL,Oakland,13,48,43,2,11,2,0,1,4,3,1,12,0,0,1,2,0,0,0.256,0.298,0.372,0.67,542583
Nick Ahmed,33,295,Maj-NL,Arizona,9,30,30,3,11,2,0,0,4,0,0,5,0,0,0,0,3,0,0.367,0.367,0.433,0.8,605113
Hanser Alberto,30,296,Maj-AL,Chicago,8,19,19,3,4,0,0,1,4,0,0,2,0,0,0,1,0,0,0.211,0.211,0.368,0.579,593643
Ozzie Albies,26,295,Maj-NL,Atlanta,15,64,61,4,15,0,0,2,10,2,0,12,0,0,1,2,0,0,0.246,0.266,0.344,0.61,645277
Nick Allen,24,297,Maj-AL,Oakland,8,17,16,2,1,0,0,0,0,1,0,2,0,0,0,1,0,0,0.063,0.118,0.063,0.18,669397
Pete Alonso,28,295,Maj-NL,New York,15,65,56,13,15,1,0,7,13,9,0,12,0,0,0,2,0,0,0.268,0.369,0.661,1.03,624413
Francisco \xc3\x81lvarez,21,295,Maj-NL,New York,3,11,11,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0.091,0.091,0.091,0.182,682626
Yordan \xc3\x81lvarez,26,295,Maj-AL,Houston,13,59,48,10,14,3,0,4,20,8,1,14,2,0,1,1,0,0,0.292,0.407,0.604,1.011,670541
Brian Anderson,30,295,Maj-NL,Milwaukee,15,58,49,11,14,3,0,3,13,8,0,14,0,0,1,2,0,1,0.286,0.379,0.531,0.91,605119
Tim Anderson,30,300,Maj-AL,Chicago,11,49,47,9,14,5,0,0,4,2,0,10,0,0,0,0,5,0,0.298,0.327,0.404,0.731,641313
Elvis Andrus,34,295,Maj-AL,Chicago,15,59,54,6,11,3,0,0,4,3,1,10,1,0,1,0,2,0,0.204,0.254,0.259,0.514,462101
Orlando Arcia,28,298,Maj-NL,Atlanta,13,50,45,10,15,2,0,2,7,4,0,10,1,0,0,1,0,0,0.333,0.4,0.511,0.911,606115
Nolan Arenado,32,295,Maj-NL,St. Louis,15,68,61,8,20,2,0,2,13,6,1,13,0,0,1,4,0,0,0.328,0.382,0.459,0.841,571448
Gabriel Arias,23,295,Maj-AL,Cleveland,9,18,16,1,2,1,0,1,1,2,0,8,0,0,0,0,0,0,0.125,0.222,0.375,0.597,672356
Randy Arozarena,28,295,Maj-AL,Tampa Bay,15,66,58,11,17,3,0,3,17,5,0,12,2,0,1,1,2,1,0.293,0.364,0.5,0.864,668227
Luis Arr\xc3\xa1ez,26,295,Maj-NL,Miami,14,53,47,7,24,4,1,1,6,6,0,4,0,0,0,1,0,0,0.511,0.566,0.702,1.268,650333
Christian Arroyo,28,295,Maj-AL,Boston,14,47,44,3,7,2,0,0,3,2,0,12,0,1,0,2,1,0,0.159,0.196,0.205,0.4,624414
Jos\xc3\xa9 Azocar,27,295,Maj-NL,San Diego,14,31,28,6,7,2,0,0,1,1,0,4,0,2,0,0,3,0,0.25,0.276,0.321,0.597,640492
Akil Baddoo,24,295,Maj-AL,Detroit,7,25,20,3,5,1,0,0,0,4,1,4,0,1,0,0,1,0,0.25,0.375,0.3,0.675,668731
Ji Hwan Bae,23,295,Maj-NL,Pittsburgh,13,50,46,7,10,2,0,2,6,3,0,13,1,0,0,0,4,0,0.217,0.28,0.391,0.671,678225
Javier B\xc3\xa1ez,30,295,Maj-AL,Detroit,14,55,49,5,9,3,0,0,5,5,0,10,0,0,0,2,0,0,0.184,0.259,0.245,0.504,595879
Austin Barnes,33,295,Maj-NL,Los Angeles,6,17,16,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0.0,0.059,0.0,0.059,605131
Tucker Barnhart,32,295,Maj-NL,Chicago,7,17,16,1,5,0,0,0,0,1,0,4,0,0,0,1,0,0,0.313,0.353,0.313,0.665,571466
Jos\xc3\xa9 Barrero,25,295,Maj-NL,Cincinnati,12,39,35,5,8,1,0,1,7,4,0,10,0,0,0,0,1,1,0.229,0.308,0.343,0.651,676480
Joey Bart,26,295,Maj-NL,San Francisco,5,16,16,3,6,0,0,0,0,0,0,5,0,0,0,0,0,0,0.375,0.375,0.375,0.75,663698
