Name,Age,#days,Lev,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,mlbID
CJ Abrams,22,161,Maj-NL,Washington,120,474,438,63,110,22,4,14,49,20,0,95,12,3,1,6,34,3,0.251,0.302,0.416,0.717,682928
Jos\xc3\xa9 Abreu,36,161,Maj-AL,Houston,112,472,431,44,100,17,0,10,57,31,1,107,5,0,5,12,0,1,0.232,0.288,0.341,0.629,547989
Wilyer Abreu,24,161,Maj-AL,Boston,4,15,13,3,6,2,0,1,5,2,0,3,0,0,0,0,0,1,0.462,0.533,0.846,1.38,677800
Ronald Acuna Jr.,25,161,Maj-NL,Atlanta,127,586,509,114,170,30,3,28,74,68,2,72,7,0,2,12,57,11,0.334,0.418,0.57,0.988,660670
Willy Adames,27,161,Maj-NL,Milwaukee,116,499,439,56,95,18,0,21,61,48,0,132,5,0,5,10,4,3,0.216,0.298,0.401,0.699,642715
Jordyn Adams,23,167,Maj-AL,Los Angeles,10,14,14,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0.143,0.143,0.143,0.286,677941
Riley Adams,27,161,Maj-NL,Washington,36,139,126,8,37,12,2,4,19,11,0,38,1,1,0,5,0,0,0.294,0.355,0.516,0.871,656180
Jo Adell,24,209,Maj-AL,Los Angeles,5,14,13,2,3,1,1,1,3,1,0,6,0,0,0,0,0,0,0.231,0.286,0.692,0.978,666176
Ehire Adrianza,33,277,Maj-NL,Atlanta,5,11,10,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0.0,0.091,0.0,0.091,501303
Jes\xc3\xbas Aguilar,33,251,Maj-AL,Oakland,36,115,104,8,23,2,0,5,9,8,2,31,1,0,1,3,0,0,0.221,0.281,0.385,0.665,542583
Nick Ahmed,33,162,Maj-NL,Arizona,65,193,183,14,41,10,1,2,17,10,0,47,0,0,0,0,5,1,0.224,0.264,0.322,0.587,605113
Hanser Alberto,30,247,Maj-AL,Chicago,30,90,82,11,18,5,0,3,16,4,0,13,1,2,1,1,0,0,0.22,0.261,0.39,0.652,593643
Ozzie Albies,26,173,Maj-NL,Atlanta,117,510,457,75,122,21,4,28,90,36,2,83,8,0,7,6,11,0,0.267,0.327,0.514,0.841,645277
Jorge Alfaro,30,186,"Maj-AL,Maj-NL","Boston,Colorado",18,52,48,2,7,4,0,1,4,2,0,15,2,0,0,3,0,0,0.146,0.212,0.292,0.503,595751
Greg Allen,30,166,Maj-AL,New York,22,28,23,6,5,1,1,1,1,2,0,10,2,1,0,0,3,1,0.217,0.333,0.478,0.812,656185
Nick Allen,24,161,Maj-AL,Oakland,77,234,215,21,45,2,1,4,16,13,0,39,1,4,1,5,4,1,0.209,0.257,0.284,0.54,669397
Abraham Almonte,34,163,Maj-NL,New York,7,15,14,1,1,1,0,0,0,1,0,8,0,0,0,0,0,0,0.071,0.133,0.143,0.276,501659
Pete Alonso,28,161,Maj-NL,New York,121,513,442,73,98,13,2,39,95,53,1,110,16,0,2,16,4,1,0.222,0.326,0.525,0.85,624413
Jos\xc3\xa9 Altuve,33,161,Maj-AL,Houston,59,264,227,47,71,14,1,9,30,34,0,46,2,0,1,5,13,2,0.313,0.405,0.502,0.908,514888
Jake Alu,26,162,Maj-NL,Washington,22,72,67,6,16,1,0,1,10,3,0,22,1,0,1,1,3,0,0.239,0.278,0.299,0.576,666906
Francisco \xc3\x81lvarez,21,161,Maj-NL,New York,97,344,313,43,67,8,0,21,46,27,0,87,4,0,0,11,0,0,0.214,0.285,0.441,0.726,682626
Yordan \xc3\x81lvarez,26,161,Maj-AL,Houston,82,350,294,57,81,15,1,21,68,46,3,72,7,0,3,6,0,0,0.276,0.383,0.548,0.931,670541
Jacob Amaya,24,222,Maj-NL,Miami,4,9,9,1,2,0,0,0,2,0,0,1,0,0,0,0,1,0,0.222,0.222,0.222,0.444,676070
Miguel Amaya,24,164,Maj-NL,Chicago,39,121,99,14,24,4,0,4,17,9,0,29,11,1,1,2,0,0,0.242,0.367,0.404,0.771,665804
Brian Anderson,30,164,Maj-NL,Milwaukee,93,355,312,37,70,11,3,9,40,36,0,107,4,0,3,10,0,3,0.224,0.31,0.365,0.675,605119
Tim Anderson,30,161,Maj-AL,Chicago,95,412,385,39,94,14,1,1,22,22,0,93,3,0,2,14,12,1,0.244,0.289,0.294,0.582,641313
Elvis Andrus,34,162,Maj-AL,Chicago,91,330,301,32,72,15,1,5,35,22,1,57,4,1,2,5,11,4,0.239,0.298,0.346,0.643,462101
Miguel And\xc3\xbajar,28,261,Maj-NL,Pittsburgh,13,33,31,2,5,1,0,2,6,2,0,5,0,0,0,0,0,0,0.161,0.212,0.387,0.599,609280
Jonathan Aranda,25,162,Maj-AL,Tampa Bay,9,26,23,3,4,1,0,1,3,3,0,10,0,0,0,1,0,0,0.174,0.269,0.348,0.617,666018
Jonathan Ara\xc3\xbaz,24,161,Maj-NL,New York,18,56,49,2,6,0,0,2,6,5,0,15,0,2,0,1,0,0,0.122,0.204,0.245,0.449,660620
Orlando Arcia,28,161,Maj-NL,Atlanta,106,405,371,52,102,17,0,14,47,31,0,77,2,0,1,13,1,0,0.275,0.333,0.434,0.767,606115
Nolan Arenado,32,161,Maj-NL,St. Louis,123,522,477,60,134,24,2,26,87,35,4,89,3,0,7,19,2,3,0.281,0.33,0.503,0.833,571448
Gabriel Arias,23,161,Maj-AL,Cleveland,98,250,224,23,46,7,0,8,16,26,0,84,0,0,0,7,2,4,0.205,0.288,0.344,0.632,672356
Randy Arozarena,28,161,Maj-AL,Tampa Bay,124,534,450,79,116,13,2,20,72,64,0,127,15,0,5,7,15,9,0.258,0.365,0.429,0.794,668227
Luis Arr\xc3\xa1ez,26,161,Maj-NL,Miami,123,520,480,53,170,27,3,5,58,32,8,31,4,1,3,15,2,2,0.354,0.397,0.454,0.851,650333
Christian Arroyo,28,184,Maj-AL,Boston,66,206,195,23,47,16,0,3,24,7,0,45,1,1,2,8,1,3,0.241,0.268,0.369,0.638,624414
Jos\xc3\xa9 Azocar,27,161,Maj-NL,San Diego,33,59,55,10,13,3,0,0,3,1,0,13,0,3,0,0,6,1,0.236,0.25,0.291,0.541,640492
Akil Baddoo,24,161,Maj-AL,Detroit,85,281,246,31,55,11,0,8,27,32,2,67,0,2,1,3,8,3,0.224,0.312,0.366,0.678,668731
Harrison Bader,29,161,Maj-AL,New York,79,294,273,40,68,11,2,7,37,13,0,53,3,1,4,6,16,2,0.249,0.287,0.381,0.668,664056
Ji Hwan Bae,23,161,Maj-NL,Pittsburgh,83,267,236,40,56,11,0,2,22,24,0,63,2,3,2,3,21,6,0.237,0.311,0.309,0.62,678225
Javier B\xc3\xa1ez,30,161,Maj-AL,Detroit,114,464,434,53,97,13,4,8,54,19,0,106,7,0,3,10,11,0,0.224,0.266,0.327,0.593,595879
Patrick Bailey,24,163,Maj-NL,San Francisco,74,272,250,23,64,15,1,6,39,16,0,70,3,2,1,5,1,0,0.256,0.307,0.396,0.703,672275
Luken Baker,26,165,Maj-NL,St. Louis,13,36,35,2,7,0,0,0,0,1,0,15,0,0,0,0,0,0,0.2,0.222,0.2,0.422,663609
Rylan Bannon,27,278,Maj-AL,Houston,2,6,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,676625
Austin Barnes,33,162,Maj-NL,Los Angeles,46,150,135,7,22,2,0,1,8,11,0,34,2,1,1,6,2,1,0.163,0.235,0.2,0.435,605131
Tucker Barnhart,32,170,Maj-NL,Chicago,43,123,109,6,22,3,0,1,9,12,0,42,1,0,1,4,1,0,0.202,0.285,0.257,0.542,571466
Tres Barrera,28,254,Maj-NL,St. Louis,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,668663
Jos\xc3\xa9 Barrero,25,233,Maj-NL,Cincinnati,46,149,133,15,29,8,0,2,17,15,0,44,0,0,1,1,3,2,0.218,0.295,0.323,0.619,676480
Joey Bart,26,261,Maj-NL,San Francisco,26,84,78,8,18,5,0,0,4,2,0,21,4,0,0,0,0,0,0.231,0.286,0.295,0.581,663698
Osleivis Basabe,22,161,Maj-AL,Tampa Bay,11,42,39,9,12,3,0,1,9,3,0,11,0,0,0,0,0,1,0.308,0.357,0.462,0.819,678545
Matthew Batten,28,179,Maj-NL,San Diego,13,25,23,3,6,0,0,1,3,2,0,3,0,0,0,0,0,1,0.261,0.32,0.391,0.711,676946
Brett Baty,23,180,Maj-NL,New York,86,311,278,33,60,11,0,7,27,27,0,86,2,0,1,7,2,0,0.216,0.289,0.331,0.62,683146
Jake Bauers,27,162,Maj-AL,New York,72,237,209,25,43,14,0,11,26,25,0,82,0,0,3,3,3,1,0.206,0.287,0.431,0.718,641343
Matt Beaty,30,161,"Maj-AL,Maj-NL","Kansas City,San Francisco",23,52,45,7,14,4,0,0,4,5,0,8,2,0,0,1,0,0,0.311,0.404,0.4,0.804,607461
Josh Bell,30,161,"Maj-AL,Maj-NL","Cleveland,Miami",118,482,427,41,104,22,0,18,60,52,1,105,1,0,2,9,0,1,0.244,0.326,0.422,0.747,605137
Cody Bellinger,27,161,Maj-NL,Chicago,97,409,367,72,116,21,1,20,68,30,3,62,3,0,9,3,17,4,0.316,0.364,0.542,0.907,641355
Brandon Belt,35,161,Maj-AL,Toronto,92,364,303,46,77,22,0,15,37,58,1,125,1,0,2,5,0,0,0.254,0.374,0.475,0.849,474832
Anthony Bemboom,33,215,Maj-AL,Baltimore,6,13,11,0,2,0,0,0,0,2,0,2,0,0,0,0,0,0,0.182,0.308,0.182,0.49,621532
Andrew Benintendi,28,161,Maj-AL,Chicago,121,504,454,63,125,28,1,4,37,43,5,73,3,1,3,8,13,1,0.275,0.34,0.368,0.708,643217
Will Benson,25,161,Maj-NL,Cincinnati,78,243,209,39,58,11,6,8,24,34,0,75,0,0,0,2,14,2,0.278,0.379,0.502,0.881,666181
Jon Berti,33,161,Maj-NL,Miami,106,347,324,44,91,14,2,3,25,17,2,64,1,2,3,10,13,4,0.281,0.316,0.364,0.68,542932
Christian Bethancourt,31,161,Maj-AL,Tampa Bay,87,284,267,41,60,15,0,8,27,13,0,75,0,1,3,6,0,0,0.225,0.258,0.371,0.629,542194
Mookie Betts,30,161,Maj-NL,Los Angeles,121,556,472,107,146,35,1,34,89,73,3,88,6,0,5,5,10,3,0.309,0.405,0.604,1.009,605141
Bo Bichette,25,161,Maj-AL,Toronto,112,498,476,54,150,25,2,18,61,20,0,93,2,0,0,12,3,3,0.315,0.345,0.49,0.835,666182
Cavan Biggio,28,162,Maj-AL,Toronto,82,224,198,35,43,6,0,8,25,20,0,67,6,0,0,0,4,2,0.217,0.308,0.369,0.677,624415
Charlie Blackmon,36,161,Maj-NL,Colorado,66,285,246,46,70,15,4,7,31,27,0,37,9,0,3,4,0,1,0.285,0.372,0.463,0.835,453568
Dairon Blanco,30,163,Maj-AL,Kansas City,46,99,89,13,22,6,4,1,14,7,0,24,2,1,0,1,15,5,0.247,0.316,0.438,0.755,680118
JJ Bleday,25,173,Maj-AL,Oakland,77,284,241,34,49,11,0,10,27,38,0,66,2,0,3,3,5,1,0.203,0.313,0.373,0.687,668709
Xander Bogaerts,30,161,Maj-NL,San Diego,123,523,468,57,122,20,0,14,44,48,0,90,4,0,3,17,13,1,0.261,0.333,0.393,0.726,593428
Alec Bohm,26,161,Maj-NL,Philadelphia,114,477,436,60,124,23,0,14,78,33,0,74,4,0,4,18,4,1,0.284,0.338,0.434,0.771,664761
Jackie Bradley Jr.,33,240,Maj-AL,Kansas City,43,113,105,10,14,5,0,1,6,5,0,29,2,1,0,3,0,0,0.133,0.188,0.21,0.397,598265
Alex Bregman,29,161,Maj-AL,Houston,129,575,497,78,127,19,3,20,83,73,1,75,4,0,1,15,3,0,0.256,0.355,0.427,0.781,608324
Will Brennan,25,162,Maj-AL,Cleveland,110,360,343,32,88,20,0,5,33,11,1,47,5,0,1,3,10,4,0.257,0.289,0.359,0.648,686823
Jonah Bride,27,161,Maj-AL,Oakland,34,96,79,8,13,3,0,0,5,10,0,19,4,1,2,3,0,1,0.165,0.284,0.203,0.487,681146
Mike Brosseau,29,243,Maj-NL,Milwaukee,29,78,73,4,15,2,0,4,8,4,0,20,1,0,0,2,0,0,0.206,0.256,0.397,0.654,670712
Seth Brown,30,161,Maj-AL,Oakland,83,289,261,25,56,12,1,11,42,23,0,81,2,1,2,5,2,1,0.215,0.281,0.395,0.676,664913
Vidal Bruj\xc3\xa1n,25,182,Maj-AL,Tampa Bay,28,61,57,10,11,2,0,0,5,2,0,16,1,1,0,1,2,1,0.193,0.233,0.228,0.461,660644
Kris Bryant,31,195,Maj-NL,Colorado,65,275,243,27,61,7,0,8,23,26,0,48,6,0,0,4,0,0,0.251,0.338,0.379,0.717,592178
Peyton Burdick,26,257,Maj-NL,Miami,14,37,33,4,6,2,0,1,2,3,0,18,1,0,0,0,1,0,0.182,0.27,0.333,0.604,680814
Jake Burger,27,161,"Maj-AL,Maj-NL","Chicago,Miami",109,410,373,54,90,21,1,27,63,27,0,119,8,0,2,3,1,1,0.241,0.305,0.52,0.825,669394
Alec Burleson,24,163,Maj-NL,St. Louis,91,293,266,31,66,17,1,8,29,19,0,36,2,1,2,12,0,1,0.248,0.301,0.41,0.711,676475
Michael Busch,25,161,Maj-NL,Los Angeles,18,62,54,8,10,3,0,1,6,7,0,19,0,0,1,0,1,0,0.185,0.274,0.296,0.571,683737
Lawrence Butler,22,161,Maj-AL,Oakland,14,47,46,3,11,2,0,1,3,0,0,12,1,0,0,2,0,0,0.239,0.255,0.348,0.603,671732
Byron Buxton,29,185,Maj-AL,Minnesota,85,347,304,49,63,17,1,17,42,35,2,109,4,0,4,3,9,0,0.207,0.294,0.438,0.731,621439
Jos\xc3\xa9 Caballero,26,163,Maj-AL,Seattle,86,248,200,33,48,9,1,3,24,28,0,54,16,0,4,0,25,3,0.24,0.371,0.34,0.711,676609
Trey Cabbage,26,187,Maj-AL,Los Angeles,12,35,34,2,7,2,0,1,6,0,0,17,0,0,1,1,0,1,0.206,0.2,0.353,0.553,663550
Miguel Cabrera,40,161,Maj-AL,Detroit,76,279,250,15,62,15,0,2,21,26,0,55,1,0,2,10,0,0,0.248,0.319,0.332,0.651,408234
Oswaldo Cabrera,24,162,Maj-AL,New York,87,227,206,28,43,8,0,4,23,16,1,51,2,1,2,6,7,0,0.209,0.27,0.306,0.576,665828
Kole Calhoun,35,161,Maj-AL,Cleveland,15,63,57,7,15,2,0,2,9,4,0,11,2,0,0,0,0,1,0.263,0.333,0.404,0.737,594777
Willie Calhoun,28,226,Maj-AL,New York,44,149,134,16,32,7,0,5,16,14,1,20,0,0,1,2,0,0,0.239,0.309,0.403,0.712,641432
Alex Call,28,161,Maj-NL,Washington,107,402,345,40,71,13,1,7,36,46,0,71,6,3,2,1,9,7,0.206,0.308,0.31,0.618,669743
Johan Camargo,29,164,Maj-NL,San Francisco,8,20,18,0,4,0,0,0,2,1,0,4,1,0,0,2,0,0,0.222,0.3,0.222,0.522,622666
Luis Campusano,24,164,Maj-NL,San Diego,28,95,89,14,26,4,0,4,13,4,0,12,1,0,1,4,0,0,0.292,0.326,0.472,0.798,669134
Jeimer Candelario,29,161,Maj-NL,"Chicago,Washington",120,501,440,70,118,37,3,18,61,45,1,107,12,0,3,10,8,1,0.268,0.35,0.489,0.839,600869
Mark Canha,34,161,Maj-NL,"Milwaukee,New York",109,380,323,36,79,20,1,7,39,40,1,58,11,0,6,9,7,1,0.245,0.342,0.378,0.72,592192
Dominic Canzone,25,161,"Maj-AL,Maj-NL","Arizona,Seattle",32,103,95,16,23,6,0,3,11,7,0,17,1,0,0,3,1,0,0.242,0.301,0.4,0.701,686527
Conner Capel,26,215,Maj-AL,Oakland,32,86,73,6,19,5,0,0,3,12,0,25,1,0,0,1,5,3,0.26,0.372,0.329,0.701,668843
Vinny Capra,26,162,Maj-NL,Pittsburgh,5,13,11,2,2,0,0,0,0,1,0,1,0,1,0,0,0,0,0.182,0.25,0.182,0.432,681962
V\xc3\xadctor Caratini,29,163,Maj-NL,Milwaukee,49,181,159,20,38,2,0,6,19,18,0,38,3,0,1,6,1,1,0.239,0.326,0.365,0.691,605170
Dylan Carlson,24,177,Maj-NL,St. Louis,76,255,219,27,48,8,1,5,27,26,0,49,7,0,3,4,3,0,0.219,0.318,0.333,0.651,666185
Kerry Carpenter,25,161,Maj-AL,Detroit,85,316,286,42,83,12,1,20,54,24,2,72,5,0,1,3,0,0,0.29,0.354,0.549,0.903,681481
Matt Carpenter,37,167,Maj-NL,San Diego,69,210,171,15,29,11,0,4,28,33,0,62,1,0,4,2,1,0,0.17,0.301,0.304,0.606,572761
Corbin Carroll,22,161,Maj-NL,Arizona,124,507,442,90,122,24,6,22,64,49,1,99,9,4,3,5,39,5,0.276,0.358,0.507,0.865,682998
Curt Casali,34,199,Maj-NL,Cincinnati,40,96,80,8,14,2,0,0,6,11,0,23,2,3,0,1,0,0,0.175,0.29,0.2,0.49,592200
Triston Casas,23,161,Maj-AL,Boston,114,427,367,56,93,16,2,20,49,57,2,108,1,0,2,7,0,0,0.253,0.354,0.471,0.825,671213
Nick Castellanos,31,161,Maj-NL,Philadelphia,125,537,505,65,139,31,1,21,79,26,0,150,2,0,4,12,7,2,0.275,0.311,0.465,0.776,592206
Diego Castillo,25,186,Maj-NL,Arizona,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,660636
Harold Castro,29,161,Maj-NL,Colorado,88,246,237,23,62,12,0,1,29,6,0,59,0,1,2,5,1,0,0.262,0.278,0.325,0.603,605612
Rodolfo Castro,24,167,Maj-NL,"Philadelphia,Pittsburgh",86,243,214,21,47,7,0,6,23,23,1,69,5,0,1,4,1,4,0.22,0.309,0.336,0.645,666801
Willi Castro,26,175,Maj-AL,Minnesota,101,315,278,42,67,15,3,5,26,24,1,78,10,1,2,3,29,4,0.241,0.322,0.371,0.692,650489
Jake Cave,30,161,Maj-NL,Philadelphia,46,146,134,12,32,8,0,5,19,8,0,33,1,1,2,3,3,0,0.239,0.283,0.41,0.693,595909
Yu Chang,27,180,Maj-AL,Boston,39,112,105,12,17,2,0,6,18,3,0,34,2,2,0,2,4,0,0.162,0.2,0.352,0.552,644374
Matt Chapman,30,161,Maj-AL,Toronto,123,514,451,61,112,36,1,15,49,56,1,147,5,0,2,4,3,2,0.248,0.337,0.432,0.769,656305
Michael Chavis,27,161,Maj-NL,Washington,38,87,82,12,21,3,0,2,5,5,0,29,0,0,0,2,1,0,0.256,0.299,0.366,0.665,656308
Jazz Chisholm Jr.,25,161,Maj-NL,Miami,66,259,238,31,59,6,2,12,29,17,0,79,2,1,1,2,17,3,0.248,0.302,0.441,0.744,665862
Ji Man Choi,32,175,Maj-NL,"Pittsburgh,San Diego",30,92,84,12,15,4,0,6,11,7,0,30,0,0,1,1,0,0,0.179,0.239,0.441,0.68,596847
Kody Clemens,27,216,Maj-NL,Philadelphia,47,148,139,15,32,7,0,4,13,8,0,40,1,0,0,1,0,0,0.23,0.277,0.367,0.644,665019
Ernie Clement,27,185,Maj-AL,Toronto,12,10,8,3,4,1,0,0,2,1,0,1,0,0,1,0,1,0,0.5,0.5,0.625,1.125,676391
Oscar Col\xc3\xa1s,24,161,Maj-AL,Chicago,63,218,202,27,46,8,0,3,15,11,1,59,1,2,2,3,4,3,0.228,0.269,0.312,0.58,693049
Zack Collins,28,166,Maj-AL,Cleveland,2,6,4,0,2,0,0,0,0,2,0,2,0,0,0,0,0,0,0.5,0.667,0.5,1.167,641470
Michael Conforto,30,163,Maj-NL,San Francisco,111,426,370,55,93,12,0,15,55,47,4,97,6,0,3,10,4,0,0.251,0.343,0.405,0.748,624424
William Contreras,25,161,Maj-NL,Milwaukee,107,456,406,61,112,29,1,13,59,44,1,90,5,0,1,18,1,1,0.276,0.353,0.448,0.801,661388
Willson Contreras,31,161,Maj-NL,St. Louis,108,427,369,43,95,25,0,13,51,44,0,99,12,0,2,11,6,2,0.258,0.354,0.431,0.785,575929
Garrett Cooper,32,161,Maj-NL,"Miami,San Diego",97,366,341,33,88,15,1,14,48,22,0,107,2,0,1,11,0,0,0.258,0.306,0.431,0.737,643265
Franchy Cordero,28,195,Maj-AL,New York,24,71,69,9,13,2,0,6,13,2,0,25,0,0,0,0,0,0,0.188,0.211,0.478,0.69,614173
Carlos Correa,28,161,Maj-AL,Minnesota,115,496,441,48,101,26,2,16,57,49,3,113,3,0,3,25,0,0,0.229,0.309,0.406,0.714,621043
Colton Cowser,23,175,Maj-AL,Baltimore,26,77,61,15,7,2,0,0,4,13,0,22,2,0,1,1,1,0,0.115,0.286,0.148,0.433,681297
Brandon Crawford,36,168,Maj-NL,San Francisco,77,270,242,27,47,10,1,6,32,22,1,72,2,1,3,5,3,0,0.194,0.264,0.318,0.582,543063
J.P. Crawford,28,161,Maj-AL,Seattle,111,482,400,70,106,26,0,11,40,74,1,92,3,3,2,6,1,0,0.265,0.382,0.413,0.795,641487
Kutter Crawford,27,290,Maj-AL,Boston,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,676710
C.J. Cron,33,171,"Maj-AL,Maj-NL","Colorado,Los Angeles",70,274,254,38,64,12,0,12,37,17,0,64,1,0,2,13,0,0,0.252,0.299,0.441,0.74,543068
Jake Cronenworth,29,161,Maj-NL,San Diego,127,522,458,54,105,24,7,10,48,46,2,97,11,1,5,8,6,1,0.229,0.312,0.378,0.689,630105
Nelson Cruz,42,214,Maj-NL,San Diego,49,152,143,9,35,5,1,5,23,6,1,46,2,0,1,2,1,0,0.245,0.283,0.399,0.682,443558
Oneil Cruz,24,299,Maj-NL,Pittsburgh,9,40,32,7,8,1,0,1,4,7,0,8,0,0,1,0,3,0,0.25,0.375,0.375,0.75,665833
Charlie Culberson,34,201,Maj-NL,Atlanta,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,2.0,518586
Travis d\'Arnaud,34,161,Maj-NL,Atlanta,55,218,200,25,49,11,0,9,30,16,0,48,1,0,1,5,0,0,0.245,0.303,0.435,0.738,518595
David Dahl,29,304,Maj-NL,San Diego,4,9,9,1,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0.111,0.111,0.444,0.556,621311
Bobby Dalbec,28,222,Maj-AL,Boston,9,14,12,1,2,0,0,0,0,2,0,8,0,0,0,0,1,0,0.167,0.286,0.167,0.452,666915
