Name,Age,#days,Lev,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,mlbID
CJ Abrams,22,188,Maj-NL,Washington,98,381,350,54,90,18,4,10,41,18,0,78,9,3,1,5,25,2,0.257,0.31,0.417,0.727,682928
Jos\xc3\xa9 Abreu,36,188,Maj-AL,Houston,103,433,395,40,96,16,0,10,56,30,1,95,3,0,5,12,0,1,0.243,0.298,0.36,0.657,547989
Ronald Acuna Jr.,25,188,Maj-NL,Atlanta,104,477,415,93,138,26,1,24,61,55,2,58,5,0,2,9,50,8,0.333,0.415,0.574,0.989,660670
Willy Adames,27,188,Maj-NL,Milwaukee,97,417,365,44,75,16,0,17,48,41,0,109,4,0,5,9,4,3,0.206,0.289,0.389,0.678,642715
Riley Adams,27,190,Maj-NL,Washington,26,100,92,7,28,8,2,4,15,6,0,27,1,1,0,4,0,0,0.304,0.354,0.565,0.919,656180
Jo Adell,24,211,Maj-AL,Los Angeles,5,14,13,2,3,1,1,1,3,1,0,6,0,0,0,0,0,0,0.231,0.286,0.692,0.978,666176
Ehire Adrianza,33,279,Maj-NL,Atlanta,5,11,10,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0.0,0.091,0.0,0.091,501303
Jes\xc3\xbas Aguilar,33,253,Maj-AL,Oakland,36,115,104,8,23,2,0,5,9,8,2,31,1,0,1,3,0,0,0.221,0.281,0.385,0.665,542583
Nick Ahmed,33,194,Maj-NL,Arizona,52,153,145,13,33,9,0,2,14,8,0,37,0,0,0,0,5,1,0.228,0.268,0.331,0.599,605113
Hanser Alberto,30,249,Maj-AL,Chicago,30,90,82,11,18,5,0,3,16,4,0,13,1,2,1,1,0,0,0.22,0.261,0.39,0.652,593643
Ozzie Albies,26,188,Maj-NL,Atlanta,104,446,399,63,102,18,3,24,74,32,2,71,7,0,6,6,7,0,0.256,0.318,0.496,0.814,645277
Jorge Alfaro,30,188,"Maj-AL,Maj-NL","Boston,Colorado",18,52,48,2,7,4,0,1,4,2,0,15,2,0,0,3,0,0,0.146,0.212,0.292,0.503,595751
Greg Allen,30,189,Maj-AL,New York,14,22,18,5,3,0,1,1,1,2,0,8,1,1,0,0,1,1,0.167,0.286,0.444,0.73,656185
Nick Allen,24,189,Maj-AL,Oakland,57,169,154,14,28,1,1,1,7,10,0,31,0,4,1,4,1,1,0.182,0.23,0.221,0.451,669397
Pete Alonso,28,189,Maj-NL,New York,97,411,358,59,78,9,2,30,75,38,0,85,13,0,2,11,3,0,0.218,0.314,0.506,0.82,624413
Jos\xc3\xa9 Altuve,33,188,Maj-AL,Houston,37,164,139,30,39,8,1,7,20,23,0,30,1,0,1,4,7,1,0.281,0.384,0.504,0.888,514888
Jake Alu,26,204,Maj-NL,Washington,5,15,14,0,3,0,0,0,0,1,0,4,0,0,0,0,1,0,0.214,0.267,0.214,0.481,666906
Francisco \xc3\x81lvarez,21,190,Maj-NL,New York,78,272,250,37,58,7,0,20,42,18,0,70,4,0,0,9,0,0,0.232,0.294,0.5,0.794,682626
Yordan \xc3\x81lvarez,26,188,Maj-AL,Houston,62,263,220,46,63,13,0,19,59,34,2,58,7,0,2,5,0,0,0.286,0.395,0.605,1.0,670541
Jacob Amaya,24,224,Maj-NL,Miami,4,9,9,1,2,0,0,0,2,0,0,1,0,0,0,0,1,0,0.222,0.222,0.222,0.444,676070
Miguel Amaya,24,189,Maj-NL,Chicago,31,101,83,11,21,4,0,2,13,6,0,26,10,1,1,2,0,0,0.253,0.37,0.374,0.744,665804
Brian Anderson,30,210,Maj-NL,Milwaukee,85,334,292,35,67,11,2,9,38,35,0,99,4,0,3,9,0,3,0.23,0.317,0.373,0.691,605119
Tim Anderson,30,189,Maj-AL,Chicago,82,357,335,37,82,11,1,1,19,19,0,73,1,0,2,13,10,1,0.245,0.286,0.293,0.578,641313
Elvis Andrus,34,189,Maj-AL,Chicago,71,254,226,21,47,8,1,2,20,21,1,43,4,1,2,1,6,4,0.208,0.285,0.279,0.563,462101
Miguel And\xc3\xbajar,28,263,Maj-NL,Pittsburgh,13,33,31,2,5,1,0,2,6,2,0,5,0,0,0,0,0,0,0.161,0.212,0.387,0.599,609280
Jonathan Aranda,25,203,Maj-AL,Tampa Bay,4,15,15,2,3,1,0,0,2,0,0,6,0,0,0,0,0,0,0.2,0.2,0.267,0.467,666018
Orlando Arcia,28,188,Maj-NL,Atlanta,83,319,295,42,87,13,0,10,36,23,0,61,1,0,0,10,1,0,0.295,0.348,0.441,0.789,606115
Nolan Arenado,32,189,Maj-NL,St. Louis,102,433,394,48,110,20,2,22,77,30,3,78,2,0,7,14,2,3,0.279,0.328,0.508,0.836,571448
Gabriel Arias,23,188,Maj-AL,Cleveland,78,181,158,17,33,6,0,4,6,23,0,57,0,0,0,7,1,3,0.209,0.309,0.323,0.632,672356
Randy Arozarena,28,188,Maj-AL,Tampa Bay,103,438,370,61,95,10,2,17,62,51,0,105,13,0,4,6,12,7,0.257,0.363,0.432,0.795,668227
Luis Arr\xc3\xa1ez,26,188,Maj-NL,Miami,101,430,391,43,149,24,2,3,51,31,8,24,4,1,3,13,1,2,0.381,0.429,0.476,0.905,650333
Christian Arroyo,28,188,Maj-AL,Boston,64,199,188,23,46,15,0,3,22,7,0,44,1,1,2,6,1,3,0.245,0.273,0.372,0.645,624414
Jos\xc3\xa9 Azocar,27,248,Maj-NL,San Diego,26,55,51,8,12,2,0,0,3,1,0,11,0,3,0,0,6,1,0.235,0.25,0.275,0.525,640492
Akil Baddoo,24,189,Maj-AL,Detroit,66,216,187,21,39,8,0,5,22,27,2,50,0,1,1,2,6,2,0.209,0.307,0.332,0.639,668731
Harrison Bader,29,188,Maj-AL,New York,57,213,199,28,51,7,2,7,33,6,0,34,3,1,4,4,10,2,0.256,0.283,0.417,0.7,664056
Ji Hwan Bae,23,218,Maj-NL,Pittsburgh,76,239,214,37,51,9,0,2,19,18,0,58,2,3,2,2,20,6,0.238,0.301,0.308,0.609,678225
Javier B\xc3\xa1ez,30,189,Maj-AL,Detroit,101,417,391,46,88,12,4,7,48,17,0,92,5,0,3,9,10,0,0.225,0.264,0.33,0.594,595879
Patrick Bailey,24,188,Maj-NL,San Francisco,55,206,194,17,50,14,1,5,31,6,0,56,3,2,1,5,1,0,0.258,0.289,0.418,0.707,672275
Luken Baker,26,214,Maj-NL,St. Louis,7,20,19,2,5,0,0,0,0,1,0,8,0,0,0,0,0,0,0.263,0.3,0.263,0.563,663609
Rylan Bannon,27,280,Maj-AL,Houston,2,6,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,676625
Austin Barnes,33,189,Maj-NL,Los Angeles,38,125,112,4,13,2,0,0,5,10,0,30,2,0,1,6,2,1,0.116,0.2,0.134,0.334,605131
Tucker Barnhart,32,193,Maj-NL,Chicago,40,116,102,5,21,3,0,1,9,12,0,38,1,0,1,3,1,0,0.206,0.293,0.265,0.558,571466
Tres Barrera,28,256,Maj-NL,St. Louis,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,668663
Jos\xc3\xa9 Barrero,25,235,Maj-NL,Cincinnati,46,149,133,15,29,8,0,2,17,15,0,44,0,0,1,1,3,2,0.218,0.295,0.323,0.619,676480
Joey Bart,26,263,Maj-NL,San Francisco,26,84,78,8,18,5,0,0,4,2,0,21,4,0,0,0,0,0,0.231,0.286,0.295,0.581,663698
Matthew Batten,28,188,Maj-NL,San Diego,10,19,17,2,6,0,0,1,3,2,0,2,0,0,0,0,0,1,0.353,0.421,0.529,0.951,676946
Brett Baty,23,189,Maj-NL,New York,80,288,260,33,60,11,0,7,26,22,0,78,2,0,1,7,2,0,0.231,0.295,0.354,0.649,683146
Jake Bauers,27,188,Maj-AL,New York,54,172,151,21,35,13,0,9,22,19,0,54,0,0,2,3,2,0,0.232,0.314,0.497,0.811,641343
Matt Beaty,30,228,"Maj-AL,Maj-NL","Kansas City,San Francisco",7,11,10,1,3,1,0,0,3,1,0,2,0,0,0,0,0,0,0.3,0.364,0.4,0.764,607461
Josh Bell,30,188,Maj-AL,Cleveland,97,393,347,26,81,19,0,11,48,43,1,81,1,0,2,7,0,1,0.233,0.318,0.383,0.701,605137
Cody Bellinger,27,188,Maj-NL,Chicago,75,318,284,56,89,16,1,15,46,24,2,51,3,0,7,3,12,3,0.313,0.365,0.535,0.9,641355
Brandon Belt,35,188,Maj-AL,Toronto,73,284,238,30,57,18,0,8,26,43,1,102,1,0,2,3,0,0,0.24,0.356,0.416,0.772,474832
Anthony Bemboom,33,217,Maj-AL,Baltimore,6,13,11,0,2,0,0,0,0,2,0,2,0,0,0,0,0,0,0.182,0.308,0.182,0.49,621532
Andrew Benintendi,28,189,Maj-AL,Chicago,99,416,374,51,105,24,1,2,29,36,5,59,3,1,2,5,12,1,0.281,0.347,0.366,0.713,643217
Will Benson,25,188,Maj-NL,Cincinnati,60,187,161,29,45,9,5,7,20,26,0,54,0,0,0,1,10,2,0.28,0.38,0.528,0.908,666181
Jon Berti,33,188,Maj-NL,Miami,88,294,272,40,80,12,2,2,20,17,2,55,1,2,2,9,12,4,0.294,0.336,0.375,0.711,542932
Christian Bethancourt,31,188,Maj-AL,Tampa Bay,71,234,222,31,48,13,0,7,22,9,0,62,0,1,2,5,0,0,0.216,0.245,0.369,0.614,542194
Mookie Betts,30,191,Maj-NL,Los Angeles,99,460,386,81,107,26,1,27,68,65,3,73,4,0,5,4,7,2,0.277,0.383,0.56,0.942,605141
Bo Bichette,25,188,Maj-AL,Toronto,106,471,449,50,144,25,1,17,59,20,0,86,2,0,0,12,3,3,0.321,0.352,0.494,0.847,666182
Cavan Biggio,28,188,Maj-AL,Toronto,67,173,155,26,33,5,0,7,19,14,0,52,4,0,0,0,3,2,0.213,0.295,0.381,0.675,624415
