Name,Age,#days,Lev,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,mlbID
CJ Abrams,22,287,Maj-NL,Washington,20,77,68,7,15,3,2,1,8,6,0,17,2,1,0,1,3,1,0.221,0.303,0.368,0.67,682928
Jos\xc3\xa9 Abreu,36,286,Maj-AL,Houston,23,101,96,6,24,3,0,0,10,4,1,24,1,0,0,1,0,0,0.25,0.287,0.281,0.568,547989
Ronald Acuna Jr.,25,286,Maj-NL,Atlanta,23,109,95,20,34,8,0,3,11,13,0,16,1,0,0,2,12,2,0.358,0.44,0.537,0.977,660670
Willy Adames,27,286,Maj-NL,Milwaukee,23,101,84,14,22,4,0,4,13,15,0,22,0,0,2,3,2,1,0.262,0.366,0.452,0.819,642715
Riley Adams,27,288,Maj-NL,Washington,3,14,12,1,2,0,0,0,0,1,0,2,0,1,0,2,0,0,0.167,0.231,0.167,0.398,656180
Ehire Adrianza,33,286,Maj-NL,Atlanta,3,8,7,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0.0,0.125,0.0,0.125,501303
Jes\xc3\xbas Aguilar,33,286,Maj-AL,Oakland,19,69,62,5,17,2,0,4,7,4,1,16,1,0,1,2,0,0,0.274,0.324,0.5,0.824,542583
Nick Ahmed,33,286,Maj-NL,Arizona,15,47,47,5,14,3,0,1,8,0,0,8,0,0,0,0,3,0,0.298,0.298,0.426,0.723,605113
Hanser Alberto,30,296,Maj-AL,Chicago,8,19,19,3,4,0,0,1,4,0,0,2,0,0,0,1,0,0,0.211,0.211,0.368,0.579,593643
Ozzie Albies,26,286,Maj-NL,Atlanta,23,97,91,9,23,2,1,5,21,4,0,17,1,0,1,2,0,0,0.253,0.289,0.462,0.75,645277
Nick Allen,24,297,Maj-AL,Oakland,8,17,16,2,1,0,0,0,0,1,0,2,0,0,0,1,0,0,0.063,0.118,0.063,0.18,669397
Pete Alonso,28,287,Maj-NL,New York,23,101,90,18,24,1,0,10,23,11,0,23,0,0,0,2,0,0,0.267,0.347,0.611,0.958,624413
Francisco \xc3\x81lvarez,21,287,Maj-NL,New York,8,27,27,2,4,0,0,1,2,0,0,9,0,0,0,1,0,0,0.148,0.148,0.259,0.407,682626
Yordan \xc3\x81lvarez,26,287,Maj-AL,Houston,20,90,75,14,19,3,0,6,27,11,1,25,3,0,1,1,0,0,0.253,0.367,0.533,0.9,670541
Brian Anderson,30,286,Maj-NL,Milwaukee,23,92,79,15,22,4,0,5,18,11,0,25,0,0,2,2,0,1,0.279,0.359,0.519,0.878,605119
Tim Anderson,30,300,Maj-AL,Chicago,11,49,47,9,14,5,0,0,4,2,0,10,0,0,0,0,5,0,0.298,0.327,0.404,0.731,641313
Elvis Andrus,34,286,Maj-AL,Chicago,23,89,81,7,16,3,0,0,6,5,1,17,2,0,1,0,3,1,0.198,0.258,0.235,0.493,462101
Orlando Arcia,28,298,Maj-NL,Atlanta,13,50,45,10,15,2,0,2,7,4,0,10,1,0,0,1,0,0,0.333,0.4,0.511,0.911,606115
Nolan Arenado,32,287,Maj-NL,St. Louis,22,96,88,10,25,3,0,2,14,7,1,20,0,0,1,4,1,1,0.284,0.333,0.386,0.72,571448
Gabriel Arias,23,287,Maj-AL,Cleveland,15,40,36,1,6,1,0,1,1,4,0,18,0,0,0,1,0,1,0.167,0.25,0.278,0.528,672356
Randy Arozarena,28,286,Maj-AL,Tampa Bay,22,98,85,18,30,4,1,5,24,8,0,19,3,0,2,1,3,2,0.353,0.418,0.6,1.018,668227
Luis Arr\xc3\xa1ez,26,288,Maj-NL,Miami,20,81,72,8,32,5,1,1,9,9,2,4,0,0,0,2,1,1,0.444,0.506,0.583,1.09,650333
Christian Arroyo,28,286,Maj-AL,Boston,19,56,53,5,10,3,0,0,3,2,0,13,0,1,0,3,1,0,0.189,0.218,0.245,0.464,624414
Jos\xc3\xa9 Azocar,27,289,Maj-NL,San Diego,18,40,37,6,9,2,0,0,1,1,0,7,0,2,0,0,4,0,0.243,0.263,0.297,0.561,640492
Akil Baddoo,24,286,Maj-AL,Detroit,14,47,39,5,8,1,0,0,0,7,1,12,0,1,0,1,2,0,0.205,0.326,0.231,0.557,668731
Ji Hwan Bae,23,287,Maj-NL,Pittsburgh,21,70,63,11,13,2,0,2,8,5,0,19,1,1,0,1,5,1,0.206,0.275,0.333,0.609,678225
Javier B\xc3\xa1ez,30,286,Maj-AL,Detroit,20,80,72,6,16,3,0,0,8,6,0,15,0,0,1,3,2,0,0.222,0.279,0.264,0.542,595879
Austin Barnes,33,287,Maj-NL,Los Angeles,11,35,32,3,2,0,0,0,0,3,0,9,0,0,0,1,1,0,0.063,0.143,0.063,0.205,605131
Tucker Barnhart,32,288,Maj-NL,Chicago,10,28,25,1,5,0,0,0,1,1,0,8,1,0,1,1,0,0,0.2,0.25,0.2,0.45,571466
Jos\xc3\xa9 Barrero,25,286,Maj-NL,Cincinnati,20,65,57,7,13,2,0,1,9,7,0,17,0,0,1,0,2,2,0.228,0.308,0.316,0.624,676480
Joey Bart,26,286,Maj-NL,San Francisco,12,37,33,4,10,2,0,0,0,1,0,10,3,0,0,0,0,0,0.303,0.378,0.364,0.742,663698
Brett Baty,23,287,Maj-NL,New York,6,22,21,1,5,0,0,0,2,1,0,6,0,0,0,0,0,0,0.238,0.273,0.238,0.511,683146
Matt Beaty,30,293,Maj-NL,San Francisco,4,5,5,1,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0.2,0.2,0.2,0.4,607461
Josh Bell,30,286,Maj-AL,Cleveland,22,97,82,6,18,8,0,2,11,14,1,21,0,0,1,0,0,1,0.22,0.33,0.39,0.72,605137
Cody Bellinger,27,287,Maj-NL,Chicago,21,92,80,18,24,5,0,5,15,9,0,13,2,0,1,1,4,1,0.3,0.38,0.55,0.93,641355
Brandon Belt,35,286,Maj-AL,Toronto,14,54,50,4,10,4,0,1,5,4,0,23,0,0,0,2,0,0,0.2,0.259,0.34,0.599,474832
Anthony Bemboom,33,301,Maj-AL,Baltimore,2,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.333,0.0,0.333,621532
Andrew Benintendi,28,286,Maj-AL,Chicago,20,88,81,13,24,5,0,0,5,7,1,12,0,0,0,0,2,0,0.296,0.352,0.358,0.71,643217
Will Benson,25,298,Maj-NL,Cincinnati,8,21,20,0,1,0,0,0,0,1,0,12,0,0,0,0,0,0,0.05,0.095,0.05,0.145,666181
Jon Berti,33,286,Maj-NL,Miami,22,76,70,9,16,3,0,2,7,4,0,14,0,1,1,1,4,0,0.229,0.267,0.357,0.624,542932
Christian Bethancourt,31,286,Maj-AL,Tampa Bay,14,54,49,11,14,4,0,4,9,5,0,13,0,0,0,1,0,0,0.286,0.352,0.612,0.964,542194
Mookie Betts,30,287,Maj-NL,Los Angeles,21,93,78,15,21,7,0,3,10,14,0,20,1,0,0,1,1,1,0.269,0.387,0.474,0.862,605141
Bo Bichette,25,286,Maj-AL,Toronto,23,104,98,13,32,5,0,4,12,5,0,14,1,0,0,1,0,2,0.327,0.365,0.5,0.865,666182
Cavan Biggio,28,286,Maj-AL,Toronto,14,43,39,5,5,0,0,2,4,3,0,16,1,0,0,0,1,0,0.128,0.209,0.282,0.491,624415
Charlie Blackmon,36,286,Maj-NL,Colorado,22,95,79,10,21,5,0,1,4,12,0,12,4,0,0,2,0,1,0.266,0.39,0.367,0.757,453568
Xander Bogaerts,30,287,Maj-NL,San Diego,24,103,88,17,29,4,0,5,12,12,0,10,2,0,1,3,1,0,0.33,0.418,0.546,0.963,593428
Alec Bohm,26,287,Maj-NL,Philadelphia,23,96,86,10,26,4,0,3,18,8,0,16,2,0,0,4,1,1,0.302,0.375,0.454,0.829,664761
Jackie Bradley Jr.,33,286,Maj-AL,Kansas City,15,39,35,3,4,1,0,0,1,3,0,9,1,0,0,1,0,0,0.114,0.205,0.143,0.348,598265
Alex Bregman,29,286,Maj-AL,Houston,23,107,89,15,22,4,0,3,11,17,0,12,1,0,0,2,0,0,0.247,0.374,0.393,0.767,608324
Will Brennan,25,286,Maj-AL,Cleveland,19,50,45,6,11,4,0,0,8,3,0,7,1,0,1,0,1,0,0.244,0.3,0.333,0.633,686823
Mike Brosseau,29,286,Maj-NL,Milwaukee,13,39,35,3,8,2,0,3,7,4,0,9,0,0,0,1,0,0,0.229,0.308,0.543,0.851,670712
Seth Brown,30,302,Maj-AL,Oakland,8,32,30,2,6,2,0,1,2,2,0,8,0,0,0,0,1,0,0.2,0.25,0.367,0.617,664913
Vidal Bruj\xc3\xa1n,25,288,Maj-AL,Tampa Bay,11,21,20,5,5,0,0,0,3,0,0,7,1,0,0,1,0,1,0.25,0.286,0.25,0.536,660644
Kris Bryant,31,286,Maj-NL,Colorado,22,94,84,11,25,4,0,3,6,9,0,18,1,0,0,2,0,0,0.298,0.372,0.452,0.825,592178
Jake Burger,27,286,Maj-AL,Chicago,15,49,41,6,9,3,0,5,10,5,0,16,2,0,1,1,0,0,0.22,0.327,0.659,0.985,669394
Alec Burleson,24,286,Maj-NL,St. Louis,18,70,64,7,16,4,1,2,7,4,0,9,1,0,0,3,0,0,0.25,0.304,0.438,0.742,676475
