Name,Age,#days,Lev,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,mlbID
CJ Abrams,22,246,Maj-NL,Washington,54,200,186,22,44,9,2,6,29,8,0,44,5,1,0,4,6,2,0.237,0.286,0.403,0.69,682928
Jos\xc3\xa9 Abreu,36,246,Maj-AL,Houston,57,238,216,15,46,8,0,1,23,16,1,53,3,0,3,7,0,0,0.213,0.273,0.264,0.537,547989
Ronald Acuna Jr.,25,246,Maj-NL,Atlanta,58,263,231,50,75,17,1,12,32,29,2,36,2,0,1,4,23,5,0.325,0.403,0.563,0.966,660670
Willy Adames,27,254,Maj-NL,Milwaukee,51,214,185,23,38,6,0,9,27,23,0,55,1,0,3,6,4,2,0.205,0.293,0.384,0.676,642715
Riley Adams,27,252,Maj-NL,Washington,10,40,34,3,10,3,1,2,6,5,0,13,0,1,0,2,0,0,0.294,0.385,0.618,1.002,656180
Ehire Adrianza,33,279,Maj-NL,Atlanta,5,11,10,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0.0,0.091,0.0,0.091,501303
Jes\xc3\xbas Aguilar,33,253,Maj-AL,Oakland,36,115,104,8,23,2,0,5,9,8,2,31,1,0,1,3,0,0,0.221,0.281,0.385,0.665,542583
Nick Ahmed,33,247,Maj-NL,Arizona,33,97,92,9,21,5,0,1,10,5,0,21,0,0,0,0,3,0,0.228,0.268,0.315,0.583,605113
Hanser Alberto,30,249,Maj-AL,Chicago,30,90,82,11,18,5,0,3,16,4,0,13,1,2,1,1,0,0,0.22,0.261,0.39,0.652,593643
Ozzie Albies,26,246,Maj-NL,Atlanta,58,239,221,23,54,11,1,11,36,13,1,35,3,0,2,4,1,0,0.244,0.293,0.453,0.745,645277
Greg Allen,30,247,Maj-AL,New York,10,17,14,5,3,0,1,1,1,1,0,7,1,1,0,0,1,0,0.214,0.313,0.571,0.884,656185
Nick Allen,24,246,Maj-AL,Oakland,36,104,95,8,19,1,0,1,2,6,0,18,0,3,0,2,0,0,0.2,0.248,0.242,0.49,669397
Pete Alonso,28,246,Maj-NL,New York,59,252,221,39,51,4,1,20,46,27,0,50,4,0,0,6,2,0,0.231,0.325,0.529,0.855,624413
Jos\xc3\xa9 Altuve,33,247,Maj-AL,Houston,11,49,42,8,12,3,0,2,6,7,0,13,0,0,0,2,0,0,0.286,0.388,0.5,0.888,514888
